Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
origin,-0.0038205725995871,1.84813483924553E-07,0.00203673261047633,0,0,0,0.292328945977529,0.000370577319304514,-5.39124872961443E-10,-2.48417840939183E-06,0.000369065312576164,-4.74581958190522E-10,0.000462980423990826,0,0,0,0,0,0,package://11/meshes/origin.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://11/meshes/origin.STL,,body-middle v4-1/body_middle v1-1/Component5 (1)-1;body-rear v4-1/BS Bingo_Final_Export_052726 (EDIT)_Body_Rear v1-1/Component23 (1)-1;body-front v4-1/body_front v1-1/Component18-1;body-front v4-1/body_front v1-1/Component19-1;body-middle v4-1/body_middle v1-1/Component6-1;body-rear v4-1/BS Bingo_Final_Export_052726 (EDIT)_Body_Rear v1-1/Component22 (1)-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fl_shoulder_yaw,-0.0147805081643969,0.0028233081498483,7.03383451706313E-06,0,0,0,0.0157498725221692,4.63017831887055E-06,-3.4726577477185E-09,1.96248347845695E-09,3.15395998257287E-06,9.89630364924166E-09,2.34458132913424E-06,0,0,0,0,0,0,package://11/meshes/fl_shoulder_yaw.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://11/meshes/fl_shoulder_yaw.STL,,"actuator_no-driver v1-1/gearbox_1_13 v1-1/Ring m0.6000mm_z-36, x0.7295 v1-1;actuator_no-driver v1-1/gearbox_1_13 v1-1/Carrier-1/carrier_output-1;actuator_no-driver v1-1/gearbox_1_13 v1-1/Bearing_6705_32_25_4-1;Configuration 1 v1-1",fl_SY_J,fl_shoulder_yaw,fl_SY_J,revolute,0.059094,0.022,-1.3167E-05,0,0,0,origin,-1,0,0,0,0,-0.42,0.42,,,,,,,,
fl_shoulder_pitch,-0.00498177422306309,-0.0124579078612625,-0.0176202966166022,0,0,0,0.162558169582573,0.000141955652117414,7.17058873242978E-07,-2.73366038222777E-05,0.000182453921146107,2.98284188584343E-06,6.04983242287224E-05,0,0,0,0,0,0,package://11/meshes/fl_shoulder_pitch.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://11/meshes/fl_shoulder_pitch.STL,,"leg_assembly_front_left v1-1/leg_assembly_front_left-1/upper-leg-main-structure v1 (2)-1;actuator_no-driver v1 (5)-1/T-motor mn2806 v1 (5)-1/stator mn2806-1;actuator_no-driver v1 (5)-1/T-motor mn2806 v1 (5)-1/baze mn2806-1;actuator_no-driver v1 (5)-1/T-motor mn2806 v1 (5)-1/шайба 4,2х5,5х0,7-1;NEW-hip_pitch-gearbox-housing-knee-pitch v1-3;actuator_no-driver v1 (5)-1/T-motor mn2806 v1 (5)-1/bell magnit mn2806-1;actuator_no-driver v1 (5)-1/T-motor mn2806 v1 (5)-1/bell mn2806-1;leg_assembly_front_left v1-1/leg_assembly_front_left-1/upper-leg-outer-shell v1 (2)-1;Shoulder-ball-joint_A v2-1/main-structure-and-body-mirror-1",fl_SP_J,fl_shoulder_pitch,fl_SP_J,revolute,0.026925,0.047,0,0,0,0,fl_shoulder_yaw,0,1,0,0,0,-1.56,1.56,,,,,,,,
fl_knee,0.0201575823030078,-0.0288485490717847,-0.0710189669600713,0,0,0,0.153379186965005,5.06612508109846E-05,8.55025667771799E-09,5.34910022903188E-06,5.74455865415086E-05,2.58320349994519E-07,3.16199821284653E-05,0,0,0,0,0,0,package://11/meshes/fl_knee.STL,0.690196078431373,0.690196078431373,0.690196078431373,1,0,0,0,0,0,0,package://11/meshes/fl_knee.STL,,leg_assembly_front_left v1-1/leg_assembly_front_left-1/lower-leg_assembly_front-left v3-1/Knee_pitch_pulley v1 (2)-1;leg_assembly_front_left v1-1/leg_assembly_front_left-1/lower-leg_assembly_front-left v3-1/New_leg_knee-pitch-actuator v1 (5)-1/T-motor mn2806 v1 (13)-1/stator mn2806 (2)-1;leg_assembly_front_left v1-1/leg_assembly_front_left-1/lower-leg_assembly_front-left v3-1/New_leg_knee-pitch-actuator v1 (5)-1/T-motor mn2806 v1 (13)-1/bell mn2806 (2)-1;leg_assembly_front_left v1-1/leg_assembly_front_left-1/lower-leg_assembly_front-left v3-1/NEW-leg-gearbox-housing-knee-pitch v1 (2)-1;leg_assembly_front_left v1-1/leg_assembly_front_left-1/lower-leg_assembly_front-left v3-1/lower_leg_front_left v5-1/lowe-leg-with-charging v1 (1) (1)-1/Component13 (1)-1;leg_assembly_front_left v1-1/leg_assembly_front_left-1/lower-leg_assembly_front-left v3-1/lower_leg_front_left v5-1/lowe-leg-with-charging v1 (1) (1)-1/Component15-1;leg_assembly_front_left v1-1/leg_assembly_front_left-1/lower-leg_assembly_front-left v3-1/lower_leg_front_left v5-1/lowe-leg-with-charging v1 (1) (1)-1/Component14-1;leg_assembly_front_left v1-1/leg_assembly_front_left-1/lower-leg_assembly_front-left v3-1/foot v1 v2 (4)-1/FOOT v1 (2)-1;leg_assembly_front_left v1-1/leg_assembly_front_left-1/lower-leg_assembly_front-left v3-1,fl_knee_joint,fl_knee,fl_knee,revolute,-0.025494,0.013709,-0.078466,0,0,0,fl_shoulder_pitch,0,1,0,0,0,-1.56,1.56,,,,,,,,
tail_pitch,-0.000525322683118917,2.16840434497101E-19,1.38777878078145E-17,0,0,0,1.00000000000041E-12,1.66666666666735E-23,9.52380368936647E-40,7.49377648649208E-38,1.66666666666776E-23,1.00499410244896E-39,1.66666666666746E-23,0,0,0,0,0,0,package://11/meshes/tail_pitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://11/meshes/tail_pitch.STL,,tail_dummy_pitch^full_assem_no_external_ref-1,tail_joint,tail_pitch,tail_pitch,revolute,-0.107621297365426,0,0.0350980226072767,0,-0.523305470133414,0,origin,0,-1,0,0,0,-0.6,0.6,,,,,,,,
tail_yaw,-1.78289489192879E-05,2.33082534789814E-07,0.0646037764785091,0,0,0,0.0714519832068698,4.07850247513831E-05,-1.01289076471194E-12,-8.32119766925144E-09,4.0775119829711E-05,8.92139988268443E-12,1.16247776821555E-05,0,0,0,0,0,0,package://11/meshes/tail_yaw.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://11/meshes/tail_yaw.STL,,actuated-tail v5-1/Component2-1;actuated-tail v5-1/Glass-1;actuated-tail v5-1/Component1-1,tail_joint,tail_yaw,tail_yaw,revolute,0,0,0,0,0,0,tail_pitch,-1,0,0,0,0,-0.6,0.6,,,,,,,,
bl_shoulder_yaw,0.0155275480122439,0.00323504134922284,0.00033777353636821,0,0,0,0.0142579070173631,4.23236346349181E-06,3.29058593194247E-09,2.25733293838427E-09,2.94221960484006E-06,6.05267846646983E-08,2.14170250631671E-06,0,0,0,0,0,0,package://11/meshes/bl_shoulder_yaw.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://11/meshes/bl_shoulder_yaw.STL,,"actuator_no-driver v1 (2)-1/gearbox_1_13 v1 (2)-1/Carrier (2)-1/Planet m0.60mm_z10, x0.7295_Planet_m0.40_z30,_x-0.45 v1-1;actuator_no-driver v1 (2)-1/gearbox_1_13 v1 (2)-1/Carrier (2)-1/Bearing_FR133 -2Z_4.8_2.4_2.4-1;actuator_no-driver v1 (2)-1/gearbox_1_13 v1 (2)-1/Bearing_6705_32_25_4-1;actuator_no-driver v1 (2)-1/gearbox_1_13 v1 (2)-1/Carrier (2)-1/carrier_output-1;Configuration 1 v1-2",bl_SY_J,bl_shoulder_yaw,bl_SY_J,revolute,-0.059009,0.022,-1.3167E-05,0,0,0,origin,-1,0,0,0,0,-0.42,0.42,,,,,,,,
bl_shoulder_pitch,-0.00763934958495419,-0.0117826390345597,-0.0177676492392089,0,0,0,0.160607477594294,0.000137806944238674,1.29765587400996E-06,-3.2360773604743E-05,0.00018255023412186,2.91238694565855E-06,6.46997188969962E-05,0,0,0,0,0,0,package://11/meshes/bl_shoulder_pitch.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://11/meshes/bl_shoulder_pitch.STL,,leg_assembly_rear_left v5 (1)-1/upper-leg-outer-shell v1-1;leg_assembly_rear_left v5 (1)-1/upper-leg-main-structure v1-1;leg_assembly_rear_left v5 (1)-1/Odrive v1 (9)-1;actuator_no-driver v1 (6)-1/T-motor mn2806 v1 (8)-1/bell magnit mn2806-1;actuator_no-driver v1 (6)-1/gearbox_1_13 v1 (6)-1/Hexagon Socket Countersunk Head Cap Screw DIN 7991 - M3x4 Steel 4.6 Plain v1 (2)-1;NEW-hip_pitch-gearbox-housing-knee-pitch v1-2;actuator_no-driver v1 (6)-1/T-motor mn2806 v1 (8)-1/baze mn2806-1;actuator_no-driver v1 (2)-1/T-motor mn2806 v1 (2)-1/stop-1;actuator_no-driver v1 (6)-1/T-motor mn2806 v1 (8)-1/bell mn2806-1;Shoulder-ball-joint_mirror v2 (1)-1/main-structure-and-body (1)-1,bl_SP_J,bl_shoulder_pitch,bl_SP_J,revolute,-0.026963,0.047003,-9.0894E-05,0,0,0,bl_shoulder_yaw,0,1,0,0,0,-1.57,1.57,,,,,,,,
bl_knee,0.0180635596885324,-0.0299807196557518,-0.0858807864890013,0,0,0,0.127297417730418,4.88521449443026E-05,1.44142417410572E-08,4.115213664477E-06,5.35345908497393E-05,2.44410747936264E-07,2.90170792036732E-05,0,0,0,0,0,0,package://11/meshes/bl_knee.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://11/meshes/bl_knee.STL,,leg_assembly_rear_left v5 (1)-1/lower-leg_assembly_rear-left v4 (1)-1/lower_leg_rear_left v7 (1)-1/lowe-leg-with-charging v1 (1)-1/Component3 (2)-1;leg_assembly_rear_left v5 (1)-1/lower-leg_assembly_rear-left v4 (1)-1/lower_leg_rear_left v7 (1)-1/lowe-leg-with-charging v1 (1)-1/Component5 (2)-1;leg_assembly_rear_left v5 (1)-1/lower-leg_assembly_rear-left v4 (1)-1/lower_leg_rear_left v7 (1)-1/lowe-leg-with-charging v1 (1)-1/Component4-1;leg_assembly_rear_left v5 (1)-1/lower-leg_assembly_rear-left v4 (1)-1/foot v1 v2-1/FOOT v1-1;leg_assembly_rear_left v5 (1)-1/lower-leg_assembly_rear-left v4 (1)-1/lower_leg_rear_left v7 (1)-1/lowe-leg-with-charging v1 (1)-1/charging-1,bl_knee_joint,bl_knee,bl_knee,revolute,-0.030905,0.013709,-0.076493,0,0,0,bl_shoulder_pitch,0,1,0,0,0,-1.57,1.57,,,,,,,,
fr_shoulder_yaw,-0.0146540101182524,-0.00266256792548733,7.24633130371154E-05,0,0,0,0.0160189843347469,4.63412464509911E-06,3.47994670911508E-09,1.96272243536605E-09,3.15623731445485E-06,-9.9106064006527E-09,2.34685260300606E-06,0,0,0,0,0,0,package://11/meshes/fr_shoulder_yaw.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://11/meshes/fr_shoulder_yaw.STL,,"mirrored v1-1;actuator_no-driver v1 (1)-1/gearbox_1_13 v1 (1)-1/Ring m0.6000mm_z-36, x0.7295 v1-1;actuator_no-driver v1 (1)-1/gearbox_1_13 v1 (1)-1/Bearing_6705_32_25_4-1;actuator_no-driver v1 (1)-1/gearbox_1_13 v1 (1)-1/Carrier (1)-1/Planet m0.60mm_z10, x0.7295_Planet_m0.40_z30,_x-0.45 v1-3;actuator_no-driver v1 (1)-1/gearbox_1_13 v1 (1)-1/Carrier (1)-1/carrier_output-1",fr_SY_J,fr_shoulder_yaw,fr_SY_J,revolute,0.059094,-0.022,-1.3167E-05,0,0,0,origin,1,0,0,0,0,-0.42,0.42,,,,,,,,
