Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
origin,-0.00369421850320559,-7.35632780571151E-06,0.00259980817781924,0,0,0,0.302364834397792,0.000383582823270223,8.0357520069312E-11,-2.50366801882845E-06,0.000379922050755306,-6.7902300823901E-08,0.000477553525577372,0,0,0,0,0,0,package://bingo_urdf_w_ear_joints/meshes/origin.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://bingo_urdf_w_ear_joints/meshes/origin.STL,,body-middle v4-1/body_middle v1-1/Component5 (1)-1;body-rear v4-1/BS Bingo_Final_Export_052726 (EDIT)_Body_Rear v1-1/Component23 (1)-1;body-middle v4-1/body_middle v1-1/Component6-1;body-rear v4-1/BS Bingo_Final_Export_052726 (EDIT)_Body_Rear v1-1/Component22 (1)-1;body-front v4-1/body_front v1-1/Component18-1;middle structure assembly v8-1/middle-structure v4-1;body-front v4-1/body_front v1-1/Component19-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fl_shoulder_yaw,-0.0147805081640678,0.00282330814972668,7.03383449996917E-06,0,0,0,0.0157498725219084,4.63017831884009E-06,-3.4726577553562E-09,1.96248347666093E-09,3.15395998253738E-06,9.89630364640949E-09,2.34458132911704E-06,0,0,0,0,0,0,package://bingo_urdf_w_ear_joints/meshes/fl_shoulder_yaw.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://bingo_urdf_w_ear_joints/meshes/fl_shoulder_yaw.STL,,"actuator_no-driver v1-1/gearbox_1_13 v1-1/Ring m0.6000mm_z-36, x0.7295 v1-1;actuator_no-driver v1-1/gearbox_1_13 v1-1/Carrier-1/carrier_output-1;actuator_no-driver v1-1/gearbox_1_13 v1-1/Bearing_6705_32_25_4-1;Configuration 1 v1-1",fl_SY_J,fl_shoulder_yaw,fl_SY_J,revolute,0.0590935,0.022,-1.31666669999919E-05,0,0,0,origin,-1,0,0,0,0,-0.42,0.42,,,,,,,,
fl_shoulder_pitch,-0.00498177422306434,-0.0124579078612619,-0.0176202966166028,0,0,0,0.162558169582584,0.000141955652117416,7.17058873241107E-07,-2.73366038222773E-05,0.00018245392114611,2.98284188584369E-06,6.04983242287264E-05,0,0,0,0,0,0,package://bingo_urdf_w_ear_joints/meshes/fl_shoulder_pitch.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://bingo_urdf_w_ear_joints/meshes/fl_shoulder_pitch.STL,,"leg_assembly_front_left v1-1/leg_assembly_front_left-1/upper-leg-main-structure v1 (2)-1;actuator_no-driver v1 (5)-1/T-motor mn2806 v1 (5)-1/stator mn2806-1;actuator_no-driver v1 (5)-1/T-motor mn2806 v1 (5)-1/baze mn2806-1;actuator_no-driver v1 (5)-1/T-motor mn2806 v1 (5)-1/шайба 4,2х5,5х0,7-1;NEW-hip_pitch-gearbox-housing-knee-pitch v1-3;actuator_no-driver v1 (5)-1/T-motor mn2806 v1 (5)-1/bell magnit mn2806-1;actuator_no-driver v1 (5)-1/T-motor mn2806 v1 (5)-1/bell mn2806-1;leg_assembly_front_left v1-1/leg_assembly_front_left-1/upper-leg-outer-shell v1 (2)-1;Shoulder-ball-joint_A v2-1/main-structure-and-body-mirror-1",fl_SP_J,fl_shoulder_pitch,fl_SP_J,revolute,0.026925,0.046999994556,0,0,0,0,fl_shoulder_yaw,0,1,0,0,0,-1.56,1.56,,,,,,,,
fl_knee,0.0201575823232263,-0.0288485490792351,-0.0710189669880859,0,0,0,0.153379187068528,5.06612508456175E-05,8.55026795038193E-09,5.34910021345775E-06,5.74455865749507E-05,2.58320366434824E-07,3.16199821510561E-05,0,0,0,0,0,0,package://bingo_urdf_w_ear_joints/meshes/fl_knee.STL,0.690196078431373,0.690196078431373,0.690196078431373,1,0,0,0,0,0,0,package://bingo_urdf_w_ear_joints/meshes/fl_knee.STL,,leg_assembly_front_left v1-1/leg_assembly_front_left-1/lower-leg_assembly_front-left v3-1/Knee_pitch_pulley v1 (2)-1;leg_assembly_front_left v1-1/leg_assembly_front_left-1/lower-leg_assembly_front-left v3-1/New_leg_knee-pitch-actuator v1 (5)-1/T-motor mn2806 v1 (13)-1/stator mn2806 (2)-1;leg_assembly_front_left v1-1/leg_assembly_front_left-1/lower-leg_assembly_front-left v3-1/New_leg_knee-pitch-actuator v1 (5)-1/T-motor mn2806 v1 (13)-1/bell mn2806 (2)-1;leg_assembly_front_left v1-1/leg_assembly_front_left-1/lower-leg_assembly_front-left v3-1/NEW-leg-gearbox-housing-knee-pitch v1 (2)-1;leg_assembly_front_left v1-1/leg_assembly_front_left-1/lower-leg_assembly_front-left v3-1/lower_leg_front_left v5-1/lowe-leg-with-charging v1 (1) (1)-1/Component13 (1)-1;leg_assembly_front_left v1-1/leg_assembly_front_left-1/lower-leg_assembly_front-left v3-1/lower_leg_front_left v5-1/lowe-leg-with-charging v1 (1) (1)-1/Component15-1;leg_assembly_front_left v1-1/leg_assembly_front_left-1/lower-leg_assembly_front-left v3-1/lower_leg_front_left v5-1/lowe-leg-with-charging v1 (1) (1)-1/Component14-1;leg_assembly_front_left v1-1/leg_assembly_front_left-1/lower-leg_assembly_front-left v3-1/foot v1 v2 (4)-1/FOOT v1 (2)-1;leg_assembly_front_left v1-1/leg_assembly_front_left-1/lower-leg_assembly_front-left v3-1,fl_knee_joint,fl_knee,fl_knee,revolute,-0.025493902035933,0.013709005444,-0.07846565646582,0,0,0,fl_shoulder_pitch,0,-1,0,0,0,-1.56,1.56,,,,,,,,
tail_pitch,-0.000525322683118917,2.16833274214869E-19,1.38777878078145E-17,0,0,0,1.00000000000041E-12,1.66666666666735E-23,9.52380368936647E-40,7.49377648649208E-38,1.66666666666776E-23,1.00499410244896E-39,1.66666666666746E-23,0,0,0,0,0,0,package://bingo_urdf_w_ear_joints/meshes/tail_pitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bingo_urdf_w_ear_joints/meshes/tail_pitch.STL,,tail_dummy_pitch^full_assem_no_external_ref-1,tail_joint,tail_pitch,tail_pitch,revolute,-0.107621297365426,0,0.0350980226072767,0,-0.523305470133414,0,origin,0,-1,0,0,0,-0.6,0.6,,,,,,,,
tail_yaw,-1.78289489191907E-05,2.3308253477323E-07,0.0646037764785108,0,0,0,0.0714519832068728,4.07850247513831E-05,-1.01289076278842E-12,-8.32119766927558E-09,4.07751198297111E-05,8.92139988348233E-12,1.16247776821556E-05,0,0,0,0,0,0,package://bingo_urdf_w_ear_joints/meshes/tail_yaw.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://bingo_urdf_w_ear_joints/meshes/tail_yaw.STL,,actuated-tail v5-1/Component2-1;actuated-tail v5-1/Glass-1;actuated-tail v5-1/Component1-1,tail_joint,tail_yaw,tail_yaw,revolute,0,0,0,0,0,0,tail_pitch,-1,0,0,0,0,-0.6,0.6,,,,,,,,
bl_shoulder_yaw,0.015527548011877,0.00323504134909056,0.000337773536376648,0,0,0,0.0142579070170896,4.23236346345999E-06,3.29058593998456E-09,2.25733293732424E-09,2.94221960480245E-06,6.05267846660876E-08,2.1417025062991E-06,0,0,0,0,0,0,package://bingo_urdf_w_ear_joints/meshes/bl_shoulder_yaw.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://bingo_urdf_w_ear_joints/meshes/bl_shoulder_yaw.STL,,"actuator_no-driver v1 (2)-1/gearbox_1_13 v1 (2)-1/Carrier (2)-1/Planet m0.60mm_z10, x0.7295_Planet_m0.40_z30,_x-0.45 v1-1;actuator_no-driver v1 (2)-1/gearbox_1_13 v1 (2)-1/Carrier (2)-1/Bearing_FR133 -2Z_4.8_2.4_2.4-1;actuator_no-driver v1 (2)-1/gearbox_1_13 v1 (2)-1/Bearing_6705_32_25_4-1;actuator_no-driver v1 (2)-1/gearbox_1_13 v1 (2)-1/Carrier (2)-1/carrier_output-1;Configuration 1 v1-2",bl_SY_J,bl_shoulder_yaw,bl_SY_J,revolute,-0.0590085,0.022,-1.31666669999815E-05,0,0,0,origin,1,0,0,0,0,-0.42,0.42,,,,,,,,
bl_shoulder_pitch,-0.00763934958495553,-0.0117826390345591,-0.0177676492392093,0,0,0,0.160607477594304,0.000137806944238676,1.29765587400812E-06,-3.23607736047424E-05,0.000182550234121862,2.91238694565897E-06,6.46997188970001E-05,0,0,0,0,0,0,package://bingo_urdf_w_ear_joints/meshes/bl_shoulder_pitch.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://bingo_urdf_w_ear_joints/meshes/bl_shoulder_pitch.STL,,leg_assembly_rear_left v5 (1)-1/upper-leg-outer-shell v1-1;leg_assembly_rear_left v5 (1)-1/upper-leg-main-structure v1-1;leg_assembly_rear_left v5 (1)-1/Odrive v1 (9)-1;actuator_no-driver v1 (6)-1/T-motor mn2806 v1 (8)-1/bell magnit mn2806-1;actuator_no-driver v1 (6)-1/gearbox_1_13 v1 (6)-1/Hexagon Socket Countersunk Head Cap Screw DIN 7991 - M3x4 Steel 4.6 Plain v1 (2)-1;NEW-hip_pitch-gearbox-housing-knee-pitch v1-2;actuator_no-driver v1 (6)-1/T-motor mn2806 v1 (8)-1/baze mn2806-1;actuator_no-driver v1 (2)-1/T-motor mn2806 v1 (2)-1/stop-1;actuator_no-driver v1 (6)-1/T-motor mn2806 v1 (8)-1/bell mn2806-1;Shoulder-ball-joint_mirror v2 (1)-1/main-structure-and-body (1)-1,bl_SP_J,bl_shoulder_pitch,bl_SP_J,revolute,-0.026963268343236,0.04700277995213,-9.0894081781024E-05,0,0,0,bl_shoulder_yaw,0,1,0,0,0,-1.57,1.57,,,,,,,,
bl_knee,0.0152240513857386,-0.0288466423469693,-0.0723470658970611,0,0,0,0.152929776779382,5.08607769723861E-05,1.61861375964891E-08,4.16227751836656E-06,5.69249018611076E-05,2.31616990250867E-07,3.0882957672812E-05,0,0,0,0,0,0,package://bingo_urdf_w_ear_joints/meshes/bl_knee.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://bingo_urdf_w_ear_joints/meshes/bl_knee.STL,,leg_assembly_rear_left v5 (1)-1/lower-leg_assembly_rear-left v4 (1)-1/New_leg_knee-pitch-actuator v1 (2)-1;leg_assembly_rear_left v5 (1)-1/lower-leg_assembly_rear-left v4 (1)-1/NEW-leg-gearbox-housing-knee-pitch v1-1;leg_assembly_rear_left v5 (1)-1/lower-leg_assembly_rear-left v4 (1)-1/Knee_pitch_pulley v1-1;leg_assembly_rear_left v5 (1)-1/lower-leg_assembly_rear-left v4 (1)-1/pressure-sensor-pcb v1-1;leg_assembly_rear_left v5 (1)-1/lower-leg_assembly_rear-left v4 (1)-1/Hexagon Socket Countersunk Head Cap Screw DIN 7991 - M4x6 Steel 4.6 Plain v1-1;leg_assembly_rear_left v5 (1)-1/lower-leg_assembly_rear-left v4 (1)-1/Hexagon Socket Countersunk Head Cap Screw DIN 7991 - M4x6 Steel 4.6 Plain v1-2;leg_assembly_rear_left v5 (1)-1/lower-leg_assembly_rear-left v4 (1)-1/Hexagon Socket Countersunk Head Cap Screw DIN 7991 - M4x6 Steel 4.6 Plain v1-3;leg_assembly_rear_left v5 (1)-1/lower-leg_assembly_rear-left v4 (1)-1/Foot-cable-A v1-1;leg_assembly_rear_left v5 (1)-1/lower-leg_assembly_rear-left v4 (1)-1/lower_leg_rear_left v7 (1)-1/lowe-leg-with-charging v1 (1)-1/Component4-1;leg_assembly_rear_left v5 (1)-1/lower-leg_assembly_rear-left v4 (1)-1/lower_leg_rear_left v7 (1)-1/lowe-leg-with-charging v1 (1)-1/Component3 (2)-1;leg_assembly_rear_left v5 (1)-1/lower-leg_assembly_rear-left v4 (1)-1/lower_leg_rear_left v7 (1)-1/lowe-leg-with-charging v1 (1)-1/Component5 (2)-1;leg_assembly_rear_left v5 (1)-1/lower-leg_assembly_rear-left v4 (1)-1/lower_leg_rear_left v7 (1)-1/lowe-leg-with-charging v1 (1)-1/charging-1;leg_assembly_rear_left v5 (1)-1/lower-leg_assembly_rear-left v4 (1)-1/foot v1 v2-1/FOOT v1-1,bl_knee_joint,bl_knee,bl_knee,revolute,-0.030905043956813,0.013709005444,-0.0764926680017592,0,0,0,bl_shoulder_pitch,0,-1,0,0,0,-1.57,1.57,,,,,,,,
fr_shoulder_yaw,-0.014654010118473,-0.00266256792561551,7.24633132577306E-05,0,0,0,0.0160189843349006,4.63412464514039E-06,3.47994669529837E-09,1.96272246493511E-09,3.15623731449643E-06,-9.91060637011548E-09,2.34685260303228E-06,0,0,0,0,0,0,package://bingo_urdf_w_ear_joints/meshes/fr_shoulder_yaw.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bingo_urdf_w_ear_joints/meshes/fr_shoulder_yaw.STL,,"mirrored v1-1;actuator_no-driver v1 (1)-1/gearbox_1_13 v1 (1)-1/Ring m0.6000mm_z-36, x0.7295 v1-1;actuator_no-driver v1 (1)-1/gearbox_1_13 v1 (1)-1/Bearing_6705_32_25_4-1;actuator_no-driver v1 (1)-1/gearbox_1_13 v1 (1)-1/Carrier (1)-1/Planet m0.60mm_z10, x0.7295_Planet_m0.40_z30,_x-0.45 v1-3;actuator_no-driver v1 (1)-1/gearbox_1_13 v1 (1)-1/Carrier (1)-1/carrier_output-1",fr_SY_J,fr_shoulder_yaw,fr_SY_J,revolute,0.0590935,-0.022,-1.31666669999919E-05,0,0,0,origin,1,0,0,0,0,-0.42,0.42,,,,,,,,
