case,keys,command,survival,vx_mean,vx_std,yaw_mean,joint_acceleration_rms,action_rate_rms,torque_saturation_max_pct,slip_mean,roll_rms_deg,pitch_rms_deg,height_mean,height_std,joint_limit_violation_rad,gates_pass,video
stand,none,"[0.0, 0.0]",True,-0.0011163336457684636,0.00043537141755223274,-0.006227342411875725,0.1395433396100998,0.009171816520392895,0.0,6.801764538977295e-05,5.855766208488405,8.590566268198694,0.16951154172420502,0.0001362280745524913,0.0,True,loops/loop_0006/evaluation/stand.mp4
forward,W,"[0.2, 0.0]",True,0.17637354135513306,0.04690735042095184,-0.028866643086075783,11.152495384216309,1.425751805305481,17.86723163841808,0.14596585929393768,5.063582512416932,1.8423822703518211,0.17154692113399506,0.0014360637869685888,0.0,True,loops/loop_0006/evaluation/forward.mp4
backward,S,"[-0.2, 0.0]",True,-0.18156804144382477,0.06376615911722183,0.019543463364243507,8.08814811706543,1.1018550395965576,6.7090395480225995,0.10359182953834534,5.502466135933034,1.5083225205232575,0.1705942153930664,0.0014551208587363362,0.0,True,loops/loop_0006/evaluation/backward.mp4
left,A,"[0.0, 0.4]",True,-0.008833643049001694,0.05914817005395889,0.2333444058895111,7.939914703369141,1.1031447649002075,2.6836158192090394,0.058994535356760025,7.521931092357779,2.083728285334691,0.16631825268268585,0.0032422144431620836,0.0,False,loops/loop_0006/evaluation/left.mp4
right,D,"[0.0, -0.4]",True,-0.0059938132762908936,0.05601442605257034,-0.12806831300258636,7.62060546875,1.1596810817718506,2.754237288135593,0.06899429112672806,5.762441491877113,1.6617565303686588,0.1681143045425415,0.0038086725398898125,0.0,False,loops/loop_0006/evaluation/right.mp4
forward_left,W+A,"[0.15, 0.4]",True,0.15787090361118317,0.05257973074913025,0.37359723448753357,9.806305885314941,1.5634158849716187,13.206214689265536,0.13984127342700958,7.5422628579696145,1.5822550494204144,0.1703338772058487,0.0016207080334424973,0.0,True,loops/loop_0006/evaluation/forward_left.mp4
forward_right,W+D,"[0.15, -0.4]",True,0.1329035609960556,0.04833902418613434,-0.3826186954975128,9.839043617248535,1.4546496868133545,10.94632768361582,0.11978082358837128,4.931542149155892,1.7686497379312986,0.17154516279697418,0.0015413319924846292,0.0,True,loops/loop_0006/evaluation/forward_right.mp4
backward_left,S+A,"[-0.15, 0.4]",True,-0.15496006608009338,0.08089659363031387,0.14557774364948273,9.506542205810547,1.1840710639953613,5.5790960451977405,0.11995003372430801,7.757245623416704,1.6191557867416428,0.16996343433856964,0.001661871443502605,0.0,False,loops/loop_0006/evaluation/backward_left.mp4
backward_right,S+D,"[-0.15, -0.4]",True,-0.18088087439537048,0.08487481623888016,-0.1662498563528061,8.703481674194336,1.0816607475280762,6.850282485875706,0.1136322170495987,5.615227436488067,1.5517987023027986,0.1705498844385147,0.0019158731447532773,0.0,False,loops/loop_0006/evaluation/backward_right.mp4
transitions,sequence,5-second command transitions,True,0.0017067092703655362,0.13771526515483856,0.003826289437711239,10.058839797973633,1.2003737688064575,5.720338983050848,0.09025057405233383,6.0265094117945,4.0552254635486715,0.16997070610523224,0.0028179159853607416,0.0,False,loops/loop_0006/evaluation/transitions.mp4
