campaign,role,repository_path,bytes,sha256
current_baseline,curated milestone,BASELINE_1/videos/all_commands.mp4,1605029,ac28668f5d166bb2b4507fe29d8cfb9b83619d41646af71ce7061e321e3ddff3
current_baseline,current baseline,BASELINE_1/videos/backward.mp4,2855053,69ca63571743442e38dbc62855fde930b2b8fe11a1136a76732e336013e7806c
current_baseline,current baseline,BASELINE_1/videos/backward_left.mp4,2572747,ef010d8e6feeaa5ee8ce3aa34f0b7b502af69d1985b33d94d57c14f889577701
current_baseline,current baseline,BASELINE_1/videos/backward_right.mp4,2316329,5b9c6168c518fb467c6ccbdb660694bfde2b82046cb0d3d307bdac5f8b93e404
current_baseline,current baseline,BASELINE_1/videos/forward.mp4,2351570,6e1bb199d6d414336778da7409e3b5fbf72b1a32838279ad430b05d483c99f91
current_baseline,current baseline,BASELINE_1/videos/forward_left.mp4,2318632,81ae5f6d50be4f8b592da610d9460f8962893e1a0711d4de2eaa12c84c5434da
current_baseline,current baseline,BASELINE_1/videos/forward_right.mp4,2336676,b6ea9878aeb65ae2e47fc5eba4fd58cc561bce178f4252c7c5c04f503438edb0
current_baseline,current baseline,BASELINE_1/videos/left.mp4,2168971,9deee2b1cd0028dfe5b2dfabacc503bbc8456bad865c90f7694130b4f1aac7ed
current_baseline,curated milestone,BASELINE_1/videos/locomotion_to_stand.mp4,740641,a8f0c41e606481fa81ed461f201931165c226602935d1d730cb441cb1a127540
current_baseline,current baseline,BASELINE_1/videos/right.mp4,2397098,5a39522276f4d3551699235c81935fa16ac832dec2bc9b5c9759d1ec12270189
current_baseline,current baseline,BASELINE_1/videos/stand.mp4,2114878,b276ea51e323cab2a4643d3a47760428b1bb17ef51b032add47b1727e9f18015
current_baseline,current baseline,BASELINE_1/videos/transitions.mp4,6802243,29695d48afec130f65c95e2ecc1d18e2122986411e036fb11e9d06ae1f35b38c
early_command_curriculum,curated milestone,archive/baseline_1_provenance/archive/walk_ref/command_locomotion/eval_video/closeup_forward_S6.mp4,1154014,a13a7f54be637cda58059366a0094d518dfa016a2e03cb085eda15dbcc7fb046
early_command_curriculum,archived detail; consult report,archive/baseline_1_provenance/archive/walk_ref/command_locomotion/eval_video/rl-video-step-0.mp4,4171506,4d6efa32ffe5a980a96199bd4f1fd9c50fd90d5debb07953c8b59b6eff8f2f51
reference_walk,archived detail; consult report,archive/baseline_1_provenance/archive/walk_ref/early_walk_ref/eval_video/rl-video-step-0.mp4,1479348,2b930616087b9ba6d109342eee9957fbc9ccc409995d990302d7c19e55a0cc98
reference_walk,archived detail; consult report,archive/baseline_1_provenance/archive/walk_ref/early_walk_ref/pdonly/eval_video/rl-video-step-0.mp4,1570979,385f7f56051bd0a11edd84598e135661db95bd55a6dd1ae736419cd8057cd6c7
reference_walk,archived detail; consult report,archive/baseline_1_provenance/archive/walk_ref/early_walk_ref/smooth/eval_video/rl-video-step-0.mp4,1390568,718ee00bca9c52bf562ce182c21ec272e801587c896e4dfd48874bd7fa700c5c
reference_walk,archived detail; consult report,archive/baseline_1_provenance/archive/walk_ref/loop_runs/baseline/eval.mp4,4999565,be6c946e16c63d5f51011615a44e44c922dcd6a3ff9b0cdac9970332bb8c5e0f
reference_walk,archived detail; consult report,archive/baseline_1_provenance/archive/walk_ref/loop_runs/best_render/eval.mp4,5503153,93da152cf1f47be11c5eb1bc4de20cb21b160ca5f0991d04754b13f66d60e32c
reference_walk,archived detail; consult report,archive/baseline_1_provenance/archive/walk_ref/refinement_runs/best_render/eval.mp4,5432456,90eb807b1b0ac6ab13af56c0478f56ad4a3732ab7748c53a38ad8d263887b412
july_amp,curated milestone,archive/baseline_1_provenance/docs/JulyAMPProgress/bingo_amp_FINAL_v9.mp4,1273798,95e1c4c348a34995bfeb81418a992b53065c901d8015456dc4a3a720a96d7197
backward_and_loop_infrastructure,curated milestone,archive/baseline_1_provenance/docs/experiment_loop/backward_start_vs_best.mp4,8540882,a34cacc3474aadd6774409256a6e19e3bd4ee2b5f11fcc96c7d77c3c8a9572d7
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check/backward.mp4,2435,fb151c53cc7e1979b869f245ec3a2c48112775b6302487f281bcf110bd81822d
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check/backward_left.mp4,2435,fb151c53cc7e1979b869f245ec3a2c48112775b6302487f281bcf110bd81822d
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check/backward_right.mp4,2435,fb151c53cc7e1979b869f245ec3a2c48112775b6302487f281bcf110bd81822d
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check/forward.mp4,2435,fb151c53cc7e1979b869f245ec3a2c48112775b6302487f281bcf110bd81822d
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check/forward_left.mp4,2435,fb151c53cc7e1979b869f245ec3a2c48112775b6302487f281bcf110bd81822d
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check/forward_right.mp4,2435,fb151c53cc7e1979b869f245ec3a2c48112775b6302487f281bcf110bd81822d
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check/left.mp4,2435,fb151c53cc7e1979b869f245ec3a2c48112775b6302487f281bcf110bd81822d
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check/right.mp4,2435,fb151c53cc7e1979b869f245ec3a2c48112775b6302487f281bcf110bd81822d
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check/stand.mp4,2435,fb151c53cc7e1979b869f245ec3a2c48112775b6302487f281bcf110bd81822d
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check/transitions.mp4,2435,fb151c53cc7e1979b869f245ec3a2c48112775b6302487f281bcf110bd81822d
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check2/backward.mp4,2935,3230a5dbdb5afd7bff8a3fa04faa39125343aac470e6055c8f391fbe1e086620
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check2/backward_left.mp4,2935,3230a5dbdb5afd7bff8a3fa04faa39125343aac470e6055c8f391fbe1e086620
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check2/backward_right.mp4,2935,3230a5dbdb5afd7bff8a3fa04faa39125343aac470e6055c8f391fbe1e086620
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check2/forward.mp4,2935,3230a5dbdb5afd7bff8a3fa04faa39125343aac470e6055c8f391fbe1e086620
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check2/forward_left.mp4,2935,3230a5dbdb5afd7bff8a3fa04faa39125343aac470e6055c8f391fbe1e086620
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check2/forward_right.mp4,2935,3230a5dbdb5afd7bff8a3fa04faa39125343aac470e6055c8f391fbe1e086620
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check2/left.mp4,2935,3230a5dbdb5afd7bff8a3fa04faa39125343aac470e6055c8f391fbe1e086620
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check2/right.mp4,2935,3230a5dbdb5afd7bff8a3fa04faa39125343aac470e6055c8f391fbe1e086620
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check2/stand.mp4,2935,3230a5dbdb5afd7bff8a3fa04faa39125343aac470e6055c8f391fbe1e086620
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check2/transitions.mp4,2935,3230a5dbdb5afd7bff8a3fa04faa39125343aac470e6055c8f391fbe1e086620
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check4/backward.mp4,428785,02882f24e366d5f7b99fed98ec64a1fa45461a340a594c3ba8cefb897c023f18
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check4/backward_left.mp4,410785,24bfc757578562f43bbcef42c565de6f0a6657da4af57e99a9357661d607d0e8
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check4/backward_right.mp4,410717,13581c2c42acae6b30ea083c6222870fd0814289697fba2e0f450dad36ace88b
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check4/forward.mp4,392593,5858a96c63a2e574fbda974aed52885a001fc0b8f864d53922577be59e99a04c
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check4/forward_left.mp4,394428,16fd2dc5f58716ab7ab7f14328f705f3702f57e940fdbdd6cceb3354cec07e9e
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check4/forward_right.mp4,395284,04558200a334f8258f3b59fa53654c47c25f1595792ef9474ed8e857366ba954
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check4/left.mp4,363161,00c7258394390e9f362907af41e8aa8a0f2abed1fb001c288e40c0987002468a
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check4/right.mp4,419606,f1b14e1cd04a44f8325b3db9867c343fd35431d5e1bbe5414b136b762991a675
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check4/stand.mp4,362363,2c7a9a16eb9fd861665826b9c071c9ba2201e6a11c85d4eab6e1e987bf807eb8
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/camera_check4/transitions.mp4,353031,a2a6ea37dd300795de8381ca48d887b83e169e0011d25ef97714b416016b13f3
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/distillation_evaluation/backward.mp4,6485,3b7d9f08ec147d351f173ceae59cf4d69a6d87d634253a92e4c1f0d996509cf8
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/distillation_evaluation/backward_left.mp4,6485,3b7d9f08ec147d351f173ceae59cf4d69a6d87d634253a92e4c1f0d996509cf8
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/distillation_evaluation/backward_right.mp4,6485,3b7d9f08ec147d351f173ceae59cf4d69a6d87d634253a92e4c1f0d996509cf8
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/distillation_evaluation/forward.mp4,6485,3b7d9f08ec147d351f173ceae59cf4d69a6d87d634253a92e4c1f0d996509cf8
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/distillation_evaluation/forward_left.mp4,6485,3b7d9f08ec147d351f173ceae59cf4d69a6d87d634253a92e4c1f0d996509cf8
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/distillation_evaluation/forward_right.mp4,6485,3b7d9f08ec147d351f173ceae59cf4d69a6d87d634253a92e4c1f0d996509cf8
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/distillation_evaluation/left.mp4,6485,3b7d9f08ec147d351f173ceae59cf4d69a6d87d634253a92e4c1f0d996509cf8
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/distillation_evaluation/right.mp4,6485,3b7d9f08ec147d351f173ceae59cf4d69a6d87d634253a92e4c1f0d996509cf8
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/distillation_evaluation/stand.mp4,6485,3b7d9f08ec147d351f173ceae59cf4d69a6d87d634253a92e4c1f0d996509cf8
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/distillation_evaluation/transitions.mp4,25685,b7cff667f84085a6e0a86fc8936062384c928eb41efb80aace9118e352c32117
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0001/commands.mp4,1591706,c63c9ca8a975f3cf36347b227bef667497bd6620e57d3fa6bd81b0891c99afc7
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0001/evaluation/backward.mp4,2846630,0b0cf3331daaa018c3d26740044d9db50f740d2b4bde92315491d32f7f8153d4
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0001/evaluation/backward_left.mp4,2298945,32e32e4e496ea62233c41c8b009d5744d2588b9be0444ab7239e74b3fe0514b8
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0001/evaluation/backward_right.mp4,2337813,5a4eeff4f1f2d033d84a76110b02b9f61882c9777023210b8f7055e45671c767
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0001/evaluation/forward.mp4,2369550,769207ed57521ff26330d8647a50623ab5555d920ff5f096cd9ea84799f10bbb
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0001/evaluation/forward_left.mp4,2318735,a4707880a9b245e85a78b59d8afc25e7eda5f5897ab1484d9f683d4b1ac5ab92
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0001/evaluation/forward_right.mp4,2332006,eb34f60f1efb30d79c2af0923255d229862ed0920ede0539b06cda81f5cca9b0
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0001/evaluation/left.mp4,2178599,de6822722d83eb84b49989109fbd40c1268aac592d44af56349dbfc540325e33
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0001/evaluation/right.mp4,2574191,ca11478bd5ba84be25c851605dd40a2cdd8feb0b0dfaf10fc36d101a711ccc74
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0001/evaluation/stand.mp4,2147057,eb9d21d9d0251b6bd6661129ea8f969608963a0e4c65e2780b623c1a0e40f88d
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0001/evaluation/transitions.mp4,6641124,fe6a583c87c2e2ca506426b187098c0804e7288c8f8e8bc34ed14a1ad7384a42
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0001/teacher_comparison.mp4,2005663,f41f9aa6a8f4b9ac1f190ad8768468996a08f8557f6c49f55b5c45ce3fdf5dc4
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0002/commands.mp4,1586874,d902cc00ba0984fed89e29e787728a4781710685a45246ed80a9b17b5ebf0bf3
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0002/comparison.mp4,2824872,242d01315b51fc87f38775ef621141539e990f384494da5c77298f09839e6e97
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0002/evaluation/backward.mp4,2843882,7d89ff933299c27f245f2cf3608262cc723eab7b0f3ae47a8db4d8ab1f3b05ef
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0002/evaluation/backward_left.mp4,2566247,1ee4118e690b0302fba93d8b2645dc84203920fcf4a71b0f2e9dfdb1cc180969
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0002/evaluation/backward_right.mp4,2308089,074e12947c82c3d93792fdb2f61694a2d358b0b8cd50372d6945568cc612c901
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0002/evaluation/forward.mp4,2344014,6fb3a6d1fc516791f94fd7527691e188d2b53f69d2ad461890f68f522acdf9a1
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0002/evaluation/forward_left.mp4,2321380,dca4d2920ae1ccd849f2fe953af8594a3e71fdcf4f6368fd2e336b3df36d412c
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0002/evaluation/forward_right.mp4,2333794,435c4c62a817d31c25e6fbd65607f37adec13d1793e292f2b7627948a66c8ae0
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0002/evaluation/left.mp4,2171313,8af5e3c1d406c6974b9c1b960efb0018070bb32b5386059cb023287235d6b029
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0002/evaluation/right.mp4,2396821,86920f0c02e67b848d5a9658d817069940245012a199f80bdec2430809c39c90
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0002/evaluation/stand.mp4,2148926,42b1f958690c917ca74b4ef262d497255870ee6365e84a61a21321c964513258
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0002/evaluation/transitions.mp4,6703591,a3cc64ba3614e09f4fd6457294889e944fe9dfcb78ca4d2efee857fa59e6bad8
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0002/teacher_comparison.mp4,2001343,9a9c999413da7f7a96e1b70722c899101334f33ceb3afd4cf86507e1df6039b9
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0003/commands.mp4,1592896,d5659c71d3896f4210cf9867e2cf56e8621d339021013563642ac86c8099323b
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0003/comparison.mp4,2825032,c4fb3532152c63e11b87295d3e1f923ecdee50ebef06a569c811029d104feb7a
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0003/evaluation/backward.mp4,2840295,e12c8eae087b55c340280a3bf488496a142ea642aa7afb698c0023b782981021
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0003/evaluation/backward_left.mp4,2608635,6404fbeebc1bcef18ce57ed5b34d49c3fc1844c3c8407716cf891133a212bbc5
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0003/evaluation/backward_right.mp4,2310546,81982378a396510bfb8ce80105369a17b934ac91f3de270f6c5c483532899fcb
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0003/evaluation/forward.mp4,2361414,927cd2f82aa60001efb759194e8af3dec04ed3360dd5193a2b649cf900af7974
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0003/evaluation/forward_left.mp4,2321246,9bd2fab8dac4253dfe546f8cda7792854162fb7cb4ca50486aa629b077f6c221
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0003/evaluation/forward_right.mp4,2341048,cf2b1a51dfe0c14b064bf8b3d66a7218a29374fbe994c067c33c1d85647602c5
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0003/evaluation/left.mp4,2165682,7ecf4f8aa66ef98f6929b193c377089a463d732f391e4d97889d0f04e7be3f93
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0003/evaluation/right.mp4,2398447,75b373667344a820c150f1a55d25257d1a1f8f109feec3ac7983e414897eaa41
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0003/evaluation/stand.mp4,2138751,1f3fb8f6f28d11ad17a233ccbcd0b5ca40f245cd97e3188f55ae7f20e4bf53f7
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0003/evaluation/transitions.mp4,6755989,8368b2358711716d0477b55d3c4ca3cb69f22aec6cc2e8afd1c53d5d8b590280
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0003/teacher_comparison.mp4,2003596,c4af39900bbac5c521ddaef75f1674c41e45b727e5d2ab2e35b1b64cdeb8217c
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0004/commands.mp4,1598794,23ce33ee3aada366da9f697de01c227f419fd39c15df487b480e4e5eaaa7fc77
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0004/comparison.mp4,2831512,5a35f5d09f1db13cf8f4fd3e4df9f45bffe2494de5954d02d11642d89e977677
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0004/evaluation/backward.mp4,2842918,bbf4bf7859b86255f99dd061cbb905c6c22fe800d9f00885e30042e37fb96c35
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0004/evaluation/backward_left.mp4,2587785,4300d6e543e0f403b4d57e1dbef4bf19349340a4a73adad2abe7ce8b62a2b320
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0004/evaluation/backward_right.mp4,2307798,a785833699d2a2a27b87db4dee30dfd7e7deb25589b80382cb6a89610612a28b
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0004/evaluation/forward.mp4,2361572,d87f823d612c9d8fc9285c7ca22bd4b1814507178473f2efb7078d1e793f6b8a
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0004/evaluation/forward_left.mp4,2314418,ce0537cd25832d5af7ec68dbd99a4ad1dc4a65ec1beca592639fb619eeb3a4ab
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0004/evaluation/forward_right.mp4,2335105,0921a358ec5a04be1586db13a07bb7f7d4c7578a5dc99da8372bb037b951d3e8
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0004/evaluation/left.mp4,2171708,9530404cbaa0740c714b8da253d31ed4ac247e16bc5edf12637b8db542149c7e
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0004/evaluation/right.mp4,2397859,eae7d853f89e1b7119702117df457bd8e878220dc45caf33748b630c52fadf96
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0004/evaluation/stand.mp4,2164454,f04a60447c4d8fd34dbf5543e77981ee00c9e26342442821b9a3f43b7767e20e
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0004/evaluation/transitions.mp4,6739045,6bd0abecefe0045d40ab81a7a7ac9ec81f1f617baad807f853cc4234aa6009d5
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0004/teacher_comparison.mp4,2002717,8fd1c82334ee86173ab770a8cbb8f5b56725700a144fd399e6697e6cfd110702
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0005/commands.mp4,1691425,2759643d59303a748726a760436e8dde73df96a509343e0172e7d98612ca6500
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0005/comparison.mp4,2933012,ae94a99f2a5aff786b23ea4613fff28cb42deaf09bde23a605b314b32178d9c2
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0005/evaluation/backward.mp4,2835726,5bf541c4a6c7e026b89f4b9b2eed301d668a7db5a3dc06e4366928f2209b3ff2
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0005/evaluation/backward_left.mp4,2606995,d98de35c8ee77e5fb981805408cb66c5e338f8677fd5a65e8f3d819ab7cae8a2
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0005/evaluation/backward_right.mp4,2301438,14c1d5fa0354d791c0184d49e54646b546b17e0c2b654136e205291f81057b21
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0005/evaluation/forward.mp4,2371372,b0aea381b49d62de4c5b153a58f1b66098116da7b1975f2dfe30bfab1e4e7ea0
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0005/evaluation/forward_left.mp4,2321471,a1c74e10cf55746c0b2adbea11b8906316a513a207509af6f3abb6a715721347
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0005/evaluation/forward_right.mp4,2335480,78acfd933e5ebb15cb59d26f38f17f05982ce96dd608d9878594ccca78633bb4
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0005/evaluation/left.mp4,2165959,643f562fe4020372d9d475241a36edb60658dfd328781debc81cefc845ad039b
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0005/evaluation/right.mp4,2390791,ed7bdac406cbb24988470933b582ae38e5e7b6aec188b26fe1775c2b4c2c2db0
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0005/evaluation/stand.mp4,2433942,5a9b570b0b19a9f7d9d13a1d5a82025c7511777a3783af305d42bd8cfcfbc76e
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0005/evaluation/transitions.mp4,6907538,06c659e80b7a008532be8ed0ad4c3b97124ef775759b23921c087f93c4eddb3e
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0005/teacher_comparison.mp4,2008735,4899bf982af98a643d910a9fbb63c5d5c46acce3f944426b9c73427b7d64dc03
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0006/commands.mp4,1587850,e4fd9dd82a89bd4577301bfa81ca3948fbdaccd4c7aa77442ab35c497e61f660
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0006/comparison.mp4,2820757,d88ed83758cfdeecee27d62296dd6ab18e1c7031867b65094bb2e9a2976e9ae4
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0006/evaluation/backward.mp4,2854863,ee441158732766536b567fc915002cc8c3dba6f748e53bc39121139e16e7e4be
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0006/evaluation/backward_left.mp4,2575523,56284768f04114ccc8b61a44378a4393725aac5bc00f7d5a22917d6a6c39a603
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0006/evaluation/backward_right.mp4,2314456,0b15f2e8da787244824ca5672797f969754a243beff9fbfc937af94bb5bb0a44
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0006/evaluation/forward.mp4,2351395,72d3cc05d6d36715d21a68a3bbcc1fc099bac72c534e3f7d15ad67d240cb8d2e
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0006/evaluation/forward_left.mp4,2319333,d2dfd9922609892927ba50801ad6e2c6b88b128a70743b13893f513379f02060
unified_command,archived detail; consult report,archive/baseline_1_provenance/docs/experiment_loop/command/loops/loop_0006/evaluation/forward_right.mp4,2337522,6a4790ca826c90dd45b6243107bae71570e04edc6e3aa9f6ec2c7372a40f4b6d
