frame,qerr_max,qerr_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,max_jvel,max_torque
0,0.009753,0.001387,0.000643,0.0000,0.170131,4.462,1,1.171,1.5917
1,0.016829,0.002479,0.001595,0.1106,0.169178,4.377,2,2.443,1.7250
2,0.022251,0.003523,0.002844,0.2453,0.168030,4.223,2,3.819,2.2047
3,0.026017,0.004680,0.004307,0.3902,0.166812,3.995,3,4.955,3.0000
4,0.030698,0.005153,0.005919,0.6257,0.165818,3.602,3,5.298,3.0000
5,0.030000,0.005446,0.007753,1.0676,0.165505,2.929,4,6.402,3.0000
6,0.029469,0.005739,0.010015,1.6018,0.165282,2.161,4,6.623,3.0000
7,0.029155,0.005847,0.012650,2.2096,0.165086,1.313,4,6.701,2.8255
8,0.026290,0.005807,0.015584,2.9063,0.164959,0.422,4,6.865,2.9612
9,0.025939,0.005679,0.018818,3.6688,0.164797,0.745,4,7.249,2.6505
10,0.026958,0.005501,0.022345,4.4145,0.164530,1.731,4,7.595,2.6370
11,0.024492,0.004784,0.026341,4.8874,0.164568,2.506,4,7.511,2.2897
12,0.018927,0.003958,0.030884,5.2204,0.164728,3.181,4,6.775,1.2957
13,0.010014,0.003319,0.035948,5.4870,0.165175,3.781,4,5.224,2.3889
14,0.007671,0.002842,0.041389,5.7350,0.165658,4.336,4,3.748,2.7642
15,0.007015,0.003136,0.047191,5.9660,0.166038,4.843,4,2.879,2.0526
16,0.010852,0.003357,0.053200,6.2467,0.166158,5.357,4,2.523,1.4965
17,0.018195,0.003625,0.059193,6.5598,0.166164,5.850,4,2.097,2.6951
18,0.026594,0.004154,0.065087,6.8565,0.166128,6.273,4,1.564,3.0000
19,0.039713,0.005607,0.070850,7.1279,0.166058,6.616,4,1.695,3.0000
20,0.055272,0.007819,0.076411,7.4031,0.165958,6.904,4,1.885,3.0000
21,0.064745,0.010092,0.081738,7.7037,0.165865,7.160,4,3.046,3.0000
22,0.068780,0.011610,0.086810,8.0444,0.165778,7.402,3,4.681,3.0000
23,0.079451,0.012667,0.091627,8.4349,0.165698,7.646,3,5.980,3.0000
24,0.091392,0.013756,0.096203,8.8887,0.165617,7.906,3,6.770,3.0000
25,0.105000,0.015040,0.100564,9.4187,0.165521,8.199,3,7.084,3.0000
26,0.119851,0.016427,0.104717,10.0275,0.165393,8.530,3,7.076,3.0000
27,0.134600,0.017833,0.108641,10.7023,0.165221,8.893,3,6.942,3.0000
28,0.147202,0.019162,0.112294,11.4207,0.164990,9.275,3,6.780,3.0000
29,0.155695,0.020280,0.115608,12.1590,0.164690,9.660,3,6.659,3.0000
30,0.157881,0.021037,0.118541,12.8917,0.164320,10.032,2,6.608,3.0000
31,0.175154,0.021422,0.121065,13.6014,0.163876,10.379,2,6.599,3.0000
32,0.200947,0.021409,0.123161,14.2757,0.163354,10.692,2,6.628,3.0000
33,0.230161,0.020997,0.124804,14.9129,0.162734,10.972,1,6.668,3.0000
34,0.265252,0.020748,0.126004,15.4934,0.162117,11.207,1,7.191,3.0000
35,0.302697,0.020402,0.126813,16.0420,0.161381,11.425,1,7.886,3.0000
36,0.327729,0.019805,0.127782,16.4462,0.160711,11.554,1,6.045,3.0000
37,0.339731,0.019474,0.128886,16.6739,0.160234,11.576,2,5.379,3.0000
38,0.338485,0.018839,0.130180,16.7392,0.160090,11.509,2,4.198,3.0000
39,0.319103,0.019053,0.132299,16.6419,0.161445,11.319,2,2.937,3.0000
40,0.286334,0.019180,0.134505,16.4709,0.163325,11.098,2,3.880,3.0000
41,0.240088,0.018599,0.136627,16.2051,0.165731,10.833,2,4.581,3.0000
42,0.184768,0.016488,0.138248,15.8563,0.168557,10.538,2,5.204,3.0000
43,0.120495,0.012594,0.139412,15.4782,0.171560,10.262,2,6.008,3.0000
44,0.055928,0.008890,0.140449,15.1217,0.173931,10.064,2,5.634,2.8989
45,0.016942,0.006266,0.141596,14.7993,0.175609,9.934,2,4.626,3.0000
46,0.023190,0.006853,0.142870,14.5064,0.176628,9.853,2,4.743,3.0000
47,0.035131,0.007348,0.144262,14.2305,0.176988,9.811,2,4.931,3.0000
48,0.029437,0.006853,0.145750,13.9563,0.176675,9.803,2,5.952,3.0000
49,0.028904,0.005834,0.147262,13.6729,0.175692,9.825,2,6.704,1.3278
50,0.026554,0.006021,0.148641,13.5150,0.174242,9.984,2,6.987,3.0000
51,0.023668,0.007001,0.150114,13.4228,0.173208,10.219,2,6.933,2.3323
52,0.023010,0.007345,0.151699,13.3289,0.172378,10.496,2,6.643,3.0000
53,0.023530,0.006782,0.153578,13.1909,0.172323,10.788,2,6.324,3.0000
54,0.022611,0.006616,0.155419,13.0411,0.172629,11.105,2,5.469,3.0000
55,0.022063,0.006390,0.157041,12.9683,0.172818,11.500,2,5.383,3.0000
56,0.021411,0.005916,0.158758,12.8479,0.173100,11.881,2,5.199,1.9995
57,0.019290,0.005558,0.160419,12.6883,0.173409,12.234,2,4.734,2.3576
58,0.020110,0.004956,0.162224,12.4649,0.173674,12.541,2,4.242,1.4342
59,0.021824,0.004835,0.164347,12.1673,0.173847,12.794,2,3.575,2.5618
60,0.022728,0.005140,0.166718,11.8204,0.173750,13.004,2,2.896,3.0000
61,0.022842,0.005472,0.169393,11.4221,0.173567,13.165,2,2.255,1.9752
62,0.022290,0.005904,0.172384,10.9852,0.173340,13.259,2,2.418,1.5621
63,0.021216,0.006455,0.175863,10.4948,0.173248,13.232,2,2.885,2.7257
64,0.019627,0.006563,0.179832,9.9873,0.173308,13.098,2,3.314,3.0000
65,0.017477,0.006237,0.184103,9.5369,0.173162,12.895,2,3.997,3.0000
66,0.022478,0.007549,0.188448,9.1371,0.172441,12.655,2,5.013,2.8293
67,0.031998,0.007199,0.192587,8.7248,0.171677,12.354,3,5.980,2.8335
68,0.024045,0.006959,0.196401,8.3111,0.170822,11.964,3,6.377,3.0000
69,0.027004,0.007024,0.199899,8.0024,0.169912,11.581,3,5.964,3.0000
70,0.025839,0.006940,0.202962,7.8256,0.169338,11.268,2,5.977,3.0000
71,0.026123,0.007332,0.205374,7.7789,0.168921,10.903,2,6.464,3.0000
72,0.023545,0.007643,0.207387,7.9225,0.168703,10.442,2,6.272,3.0000
73,0.021565,0.008309,0.208880,8.1732,0.168612,9.836,2,6.142,3.0000
74,0.031138,0.008429,0.209999,8.5178,0.168464,9.096,2,5.896,2.8134
75,0.040493,0.008695,0.211082,8.9934,0.167861,8.322,3,5.431,3.0090
76,0.049017,0.009408,0.212368,9.5792,0.167130,7.548,3,5.109,3.1166
77,0.056255,0.009525,0.213905,10.3062,0.166289,6.853,3,4.177,3.1182
78,0.061490,0.008625,0.216289,10.6733,0.166249,5.849,3,3.436,2.9736
79,0.064666,0.009903,0.219217,10.7967,0.166572,4.686,3,3.333,3.0000
80,0.065735,0.011938,0.222676,10.7224,0.167420,3.504,3,3.316,3.0000
81,0.064815,0.013565,0.226652,10.5139,0.168657,2.662,2,3.336,3.0000
82,0.062094,0.013688,0.230847,10.2499,0.169994,2.668,2,3.722,3.0000
83,0.057757,0.012552,0.234969,10.0070,0.171200,3.464,2,4.312,2.6296
84,0.052162,0.012651,0.238886,9.8683,0.171583,4.626,2,5.258,2.7057
85,0.045439,0.012488,0.242652,9.7713,0.171215,5.843,2,6.935,2.1488
86,0.037569,0.010259,0.246415,9.6399,0.170170,7.038,2,6.718,1.4821
87,0.028596,0.009028,0.250262,9.4935,0.168541,8.160,3,5.712,1.8952
88,0.024833,0.008152,0.254143,9.5008,0.166501,9.132,3,5.889,2.3825
89,0.028828,0.008002,0.258215,9.6724,0.165522,9.617,3,6.827,2.9419
90,0.046332,0.007875,0.261941,9.9365,0.164737,9.937,3,7.374,3.4104
91,0.078115,0.010053,0.265561,10.0827,0.164041,10.071,3,8.444,3.8427
92,0.116932,0.013510,0.268877,10.0906,0.163686,10.031,3,8.372,4.1866
93,0.150774,0.016322,0.272054,10.0409,0.163620,9.691,3,7.939,4.3848
94,0.175864,0.018604,0.275279,9.8997,0.163837,9.073,3,7.294,4.3863
95,0.192469,0.020033,0.278327,9.7659,0.164532,8.325,2,6.734,4.2980
96,0.200905,0.020922,0.281238,9.6476,0.165449,7.409,2,6.088,4.0695
97,0.202234,0.021359,0.283993,9.4899,0.166404,6.444,3,5.477,3.6821
98,0.195130,0.020871,0.286456,9.3359,0.167391,5.665,3,5.149,3.2162
99,0.177436,0.020273,0.288605,9.2165,0.168313,5.302,3,4.656,3.0000
100,0.142032,0.018685,0.290685,8.7853,0.169463,5.307,3,5.882,3.0000
101,0.076893,0.015458,0.292855,7.9281,0.171154,5.399,3,7.532,3.0000
102,0.068934,0.013441,0.294792,7.1902,0.172515,5.875,3,5.286,3.0000
103,0.064004,0.012113,0.296707,6.5848,0.173419,6.576,3,3.820,3.0000
104,0.057630,0.012431,0.298677,6.0961,0.173740,7.387,3,3.785,3.0000
105,0.049931,0.011887,0.300692,5.7631,0.173480,8.237,3,4.304,3.0000
106,0.041063,0.011169,0.302608,5.6386,0.172882,9.091,3,5.056,2.1181
107,0.031436,0.009388,0.304926,5.4739,0.173012,9.701,2,4.548,2.0249
108,0.027811,0.009508,0.308516,5.1720,0.174964,9.972,2,5.235,3.0000
109,0.057586,0.009800,0.312626,5.0439,0.177452,10.163,1,5.514,3.0000
110,0.082855,0.010452,0.317249,5.0697,0.180574,10.270,1,5.632,3.4194
111,0.096170,0.012337,0.322138,5.3566,0.183636,10.293,1,5.589,3.6754
