frame,qerr_max,qerr_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,max_jvel,max_torque
0,0.040397,0.005306,0.005730,1.2790,0.165200,4.574,4,2.367,0.0000
1,0.189598,0.045788,0.017002,3.9983,0.168174,4.613,3,10.745,3.0000
2,0.268218,0.071923,0.053210,7.4380,0.171784,7.951,1,18.921,3.0000
3,0.734926,0.123735,0.100306,12.8769,0.184242,12.238,2,24.871,3.0000
4,1.439344,0.160002,0.147914,19.7040,0.201018,19.360,2,16.209,3.1208
5,1.944274,0.259497,0.198368,23.2119,0.208738,22.372,0,27.987,3.0000
6,1.730756,0.259049,0.244340,33.1627,0.194772,30.344,0,56.339,3.0000
7,0.928657,0.244720,0.294784,52.8366,0.173202,48.732,0,33.090,3.0000
8,1.406995,0.373852,0.357975,71.0009,0.142320,66.338,1,52.160,3.0000
9,1.554180,0.273015,0.412351,75.6310,0.110825,71.329,1,51.372,3.0000
10,1.363584,0.379567,0.462273,83.7524,0.095624,79.953,2,29.807,3.0000
11,1.320188,0.290762,0.497829,103.4466,0.091499,101.481,0,68.047,3.0000
12,1.454122,0.380813,0.530555,109.1817,0.103309,110.871,0,48.414,4.1130
13,1.343606,0.248259,0.579543,115.3983,0.105578,119.438,0,33.301,3.0000
14,1.202471,0.251779,0.621346,115.5033,0.100875,119.291,0,35.728,3.0000
15,0.746809,0.218014,0.652262,118.3931,0.102398,117.662,0,45.421,3.0000
16,1.356968,0.234813,0.682145,118.3098,0.094050,109.702,0,48.840,3.0000
17,1.974944,0.312160,0.700757,115.6305,0.095126,99.396,1,41.211,3.0000
18,2.151995,0.353790,0.719467,114.4774,0.094594,95.211,1,49.038,4.5575
19,2.378409,0.355723,0.746272,113.6187,0.091248,97.943,1,37.483,5.8027
20,1.384705,0.410511,0.770622,108.0775,0.086048,100.241,0,49.029,3.0000
21,1.423719,0.400698,0.799946,107.6587,0.097737,107.282,0,36.168,3.0777
22,2.052616,0.537969,0.821081,105.0332,0.103111,102.839,0,40.095,3.5699
23,1.800500,0.384403,0.834339,104.2097,0.110190,95.380,0,50.846,3.0000
24,1.386683,0.325484,0.866393,100.5721,0.110555,87.456,0,40.211,3.2013
25,1.125286,0.276107,0.881248,107.9351,0.102447,91.005,0,50.259,3.0000
26,1.732244,0.383156,0.875630,116.8179,0.097151,95.378,1,51.155,3.0000
27,1.503883,0.427200,0.886027,114.2192,0.087863,91.123,0,49.423,4.7191
28,1.521773,0.385384,0.911016,110.7362,0.087032,93.489,0,31.606,6.0000
29,1.607022,0.450592,0.932624,112.5236,0.091862,103.444,0,49.019,6.0000
30,1.610336,0.542250,0.957812,118.0329,0.100457,114.692,0,32.177,3.0664
31,1.575228,0.414584,0.976024,112.9367,0.096846,107.566,0,49.897,6.0000
32,1.350597,0.287128,0.984988,111.7613,0.094844,98.476,0,59.631,3.0000
33,0.838706,0.254244,0.991645,110.5023,0.085400,93.360,0,48.681,5.4695
34,1.199317,0.274669,0.992612,118.2532,0.088960,99.874,0,58.657,3.0000
35,1.609754,0.398798,0.994093,128.0950,0.090024,106.967,0,47.785,3.0000
36,1.924938,0.421326,0.994252,129.9570,0.091024,104.978,0,33.953,3.4842
37,1.757441,0.467810,0.999543,127.3652,0.087170,100.009,0,47.020,3.0000
38,1.724081,0.394830,1.005670,121.6038,0.083406,98.777,0,33.291,3.0000
39,1.854223,0.413411,1.016081,126.5772,0.093087,111.512,0,62.667,3.0000
40,1.796939,0.534685,1.026664,120.2246,0.090155,103.668,0,53.448,3.0000
41,1.518106,0.495379,1.027673,117.9612,0.088066,97.734,0,27.713,3.0000
42,1.302003,0.276068,1.018262,124.7404,0.092386,100.173,0,52.500,3.0000
43,0.938268,0.310087,0.988953,128.2456,0.106340,100.962,0,47.360,3.0000
44,1.987165,0.433525,0.965722,127.2062,0.102089,104.198,0,34.627,3.0000
45,1.694924,0.522071,0.949701,133.1314,0.095438,111.100,0,47.501,3.0000
46,1.537488,0.432791,0.950832,134.9068,0.098929,114.445,0,35.131,3.0000
47,1.722569,0.448287,0.966386,136.8985,0.113396,116.674,0,47.778,3.0000
48,1.505311,0.506199,0.964303,127.9965,0.119733,98.717,0,40.774,3.0000
49,1.825912,0.624139,0.957983,127.1908,0.122577,91.634,0,47.593,3.0000
50,1.840943,0.565028,0.946070,132.2074,0.122589,96.858,0,33.291,6.0000
51,1.622188,0.469422,0.922795,134.0905,0.126108,87.099,0,47.902,5.1339
52,1.538206,0.293044,0.905032,129.0380,0.127127,74.950,1,76.793,6.0000
53,1.834313,0.409664,0.898038,132.4583,0.145588,90.314,1,27.259,3.0000
54,1.702389,0.382733,0.902520,145.3915,0.152075,116.657,0,54.066,3.1803
55,1.648590,0.247226,0.923656,142.1068,0.151457,120.663,0,56.808,3.0000
56,1.283386,0.272100,0.939235,136.8404,0.138392,120.905,0,50.944,3.6072
57,1.343982,0.346163,0.946323,133.7475,0.107035,120.350,0,51.939,3.0000
58,2.430860,0.352956,0.949518,129.2565,0.091899,115.052,0,80.463,3.0000
59,3.691932,0.459480,0.955716,120.9245,0.101423,107.291,0,29.433,3.0000
60,1.572303,0.396285,0.962860,111.1975,0.098714,96.735,1,83.039,3.0000
61,1.366869,0.328200,0.960377,107.5075,0.093359,93.160,1,65.460,3.0000
62,1.061484,0.196602,0.953351,113.9243,0.092141,100.225,1,26.903,3.0000
63,1.390126,0.314187,0.953315,121.2865,0.100066,108.820,0,53.736,3.0000
64,1.497007,0.424846,0.950898,127.7532,0.096794,117.328,0,48.325,3.0000
65,1.915454,0.445482,0.946831,128.2311,0.097414,118.893,0,55.171,3.0000
66,2.288429,0.390802,0.942855,124.1019,0.095319,115.192,0,47.447,3.0000
67,1.771881,0.350180,0.938917,110.3104,0.092249,100.936,1,34.811,3.0000
68,2.237392,0.356692,0.942997,101.3788,0.104640,93.779,1,61.473,3.0000
69,1.931086,0.320206,0.945984,109.0433,0.114304,104.095,1,34.687,3.0000
70,1.086682,0.341896,0.946443,125.2638,0.102046,117.242,0,46.033,3.0000
71,1.249091,0.335766,0.948123,130.0540,0.102200,122.328,0,37.178,3.0000
72,1.520009,0.453796,0.944430,129.3007,0.108487,122.338,0,44.538,3.0000
73,1.388121,0.420054,0.937671,125.6273,0.107485,118.909,0,47.835,3.0000
74,1.594580,0.367888,0.930666,119.4800,0.098969,116.559,0,43.872,4.3893
75,1.546210,0.287928,0.928993,100.2128,0.086405,105.249,0,45.771,6.0000
76,1.638905,0.444444,0.920017,100.7583,0.093474,108.805,1,43.515,4.9888
77,1.177586,0.391479,0.907436,110.4898,0.087639,117.163,1,36.754,6.0000
78,1.328983,0.311846,0.892486,116.1830,0.087251,122.210,0,45.488,6.0000
79,1.096169,0.349451,0.886158,110.5848,0.087676,117.439,0,37.200,6.0000
80,1.576268,0.428114,0.889245,98.4289,0.089624,106.573,1,44.491,6.0000
81,1.580205,0.494754,0.892786,95.1738,0.096209,104.438,0,40.421,6.0000
82,1.556411,0.495990,0.894616,92.6366,0.095057,103.025,0,44.377,5.4695
83,2.206572,0.492710,0.895662,93.3614,0.087380,104.682,1,46.344,6.0000
84,2.046950,0.489871,0.889760,93.1975,0.092147,104.681,0,44.674,4.9686
85,1.870185,0.448655,0.881406,101.5544,0.096636,110.938,1,54.064,4.2821
86,1.848066,0.432449,0.866304,124.9149,0.104345,127.229,0,37.727,3.0000
87,1.765426,0.492298,0.866792,128.6773,0.118989,131.515,0,52.966,3.0000
88,1.708763,0.489406,0.873416,124.5115,0.114423,128.933,0,38.612,3.8009
89,1.326057,0.411742,0.882019,118.0336,0.102052,122.255,0,42.217,3.0000
90,1.585438,0.378840,0.896850,115.0001,0.095725,119.962,0,43.139,3.0000
