frame,qerr_max,qerr_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,max_jvel,max_torque
0,0.046480,0.007251,0.003994,1.5285,0.164070,4.565,4,1.881,0.0000
1,0.257815,0.047329,0.013664,4.0006,0.167870,4.696,4,11.331,3.0000
2,0.408178,0.057835,0.028982,5.1042,0.169736,6.156,1,7.404,3.0000
3,0.343294,0.068742,0.057677,5.8061,0.183121,5.349,1,16.059,3.0000
4,0.557160,0.157720,0.088230,7.2685,0.192473,5.912,0,19.581,3.0000
5,0.780050,0.236970,0.120560,8.2739,0.181430,6.693,0,35.491,3.0000
6,0.682308,0.256565,0.159088,3.3348,0.171997,5.644,1,46.090,3.0000
7,0.827874,0.232139,0.203679,14.5517,0.172901,17.390,1,39.585,3.0000
8,0.918520,0.323229,0.241025,28.6291,0.158612,28.340,2,45.482,3.0000
9,1.165353,0.298538,0.272855,58.5179,0.138390,53.613,1,39.230,3.0000
10,0.904284,0.309641,0.296911,83.3178,0.123393,79.757,1,45.962,3.0000
11,0.943853,0.234620,0.318607,107.5289,0.113886,106.027,1,38.472,3.0000
12,1.323623,0.329689,0.341438,122.2223,0.107973,121.674,0,47.320,3.0000
13,1.702628,0.341494,0.365475,122.1836,0.101423,121.165,0,60.017,3.0000
14,2.035499,0.464211,0.389497,121.1973,0.098936,120.288,0,40.884,3.0000
15,1.733194,0.457974,0.405070,117.1111,0.098589,116.355,0,39.642,3.0000
16,1.798033,0.415608,0.415888,105.9109,0.091896,106.287,1,58.451,3.0000
17,1.619433,0.373014,0.421254,95.0666,0.090060,96.732,0,39.162,3.0000
18,1.909438,0.426456,0.432065,89.1629,0.091379,90.023,0,48.313,3.0000
19,1.621189,0.305471,0.446136,96.5968,0.096733,96.004,0,39.397,3.0000
20,2.000624,0.331787,0.459076,104.7252,0.088391,103.282,0,41.778,3.0000
21,1.725329,0.306947,0.475644,102.4307,0.089931,100.846,0,43.895,3.0000
22,1.938667,0.441922,0.496749,100.6888,0.087358,98.228,0,37.512,3.0000
23,1.774493,0.435541,0.515730,103.6490,0.086298,98.107,0,46.613,3.2271
24,1.656880,0.447319,0.535885,107.7530,0.086366,98.792,0,34.936,3.0000
25,1.539534,0.494974,0.552322,109.9797,0.095744,99.385,0,45.859,3.0000
26,1.734654,0.552561,0.569450,113.4676,0.095501,100.206,2,45.239,3.0000
27,1.558982,0.428162,0.584948,109.9850,0.088580,95.123,0,45.464,3.0000
28,1.661536,0.344505,0.590245,114.5942,0.093183,99.609,0,46.570,3.0000
29,1.604799,0.223172,0.596008,111.7458,0.090805,102.183,1,45.118,3.0000
30,1.555108,0.402434,0.608884,107.7110,0.095674,102.607,1,35.838,3.0000
31,1.656236,0.400665,0.626627,101.8204,0.095315,100.086,0,47.974,3.0000
32,1.882151,0.393721,0.645624,103.6430,0.091585,102.178,0,35.970,3.1572
33,1.900289,0.490697,0.659462,107.4058,0.093436,108.301,0,45.278,3.0000
34,1.982034,0.451821,0.674773,102.3257,0.088844,107.881,0,42.616,3.0000
35,1.719130,0.410780,0.700914,97.9092,0.087617,104.600,0,45.667,3.0000
36,1.008119,0.335640,0.724851,100.2453,0.089580,107.015,0,42.941,3.0000
37,1.528390,0.246232,0.745963,106.7978,0.091759,114.269,1,45.066,4.3716
38,1.464462,0.395769,0.769590,101.2075,0.087952,107.778,0,45.381,3.0000
39,1.841102,0.443731,0.782049,102.9279,0.087292,104.967,0,42.350,3.0000
40,1.584087,0.383641,0.794258,105.6870,0.086590,101.829,0,38.292,4.2760
41,1.954838,0.335581,0.813080,106.8074,0.088369,97.716,0,69.365,3.0000
42,1.592883,0.386384,0.827553,110.6370,0.091180,98.132,0,40.977,3.0000
43,1.923078,0.407827,0.837986,114.3473,0.088712,99.966,0,40.305,3.0000
44,1.579028,0.313519,0.840747,116.1204,0.092508,100.316,1,40.448,3.0000
45,1.935116,0.329990,0.850487,108.6381,0.088204,95.160,1,41.060,3.2639
46,1.622641,0.393461,0.863788,103.8881,0.099272,93.143,1,39.741,3.0000
47,1.990064,0.467806,0.871411,107.5875,0.111496,100.584,0,63.617,3.0000
48,1.675837,0.423930,0.877203,111.4888,0.116382,107.392,0,39.659,3.0000
49,2.022513,0.419121,0.890709,107.6260,0.103952,102.735,0,40.159,3.0000
50,1.855384,0.560245,0.909589,110.3448,0.087678,100.823,0,40.784,3.0000
51,1.988324,0.579636,0.909406,113.6953,0.085027,104.531,0,39.908,3.0000
52,1.618620,0.451753,0.909518,117.7655,0.089031,111.213,0,48.561,3.0000
53,1.940935,0.320360,0.921928,113.0905,0.093278,110.695,1,40.084,3.0000
54,1.584583,0.401396,0.944193,105.4743,0.095890,106.907,0,57.689,3.2075
55,1.902075,0.427299,0.958659,107.6880,0.094542,107.873,1,40.270,3.0000
56,1.739056,0.307783,0.965539,108.1383,0.089564,103.679,0,47.992,3.0000
57,1.849548,0.401722,0.977625,107.4551,0.088887,99.127,1,40.393,3.0000
58,1.783387,0.412758,0.988882,103.5758,0.087761,91.978,1,50.891,3.0000
59,1.772444,0.419457,0.992180,100.8174,0.090101,86.860,1,39.954,3.0000
60,1.595775,0.451853,0.997362,96.7533,0.096846,82.500,0,49.930,3.0000
61,1.829105,0.440068,1.002411,100.5848,0.099270,81.879,1,40.417,6.0000
62,1.552447,0.358024,1.004615,113.1776,0.095958,91.044,0,40.817,3.0000
63,1.683995,0.299074,1.014652,118.9113,0.087400,92.936,0,54.800,3.0000
64,1.333288,0.327203,1.026611,119.5908,0.088421,91.427,0,40.144,3.0000
65,1.657907,0.386986,1.025036,120.6746,0.087431,93.499,0,50.641,3.0000
66,1.285131,0.295225,1.015896,124.6485,0.090014,98.675,0,40.974,3.0000
67,1.610744,0.359108,1.010643,124.4651,0.101444,103.307,0,40.547,3.0000
68,1.406156,0.392670,1.019063,119.7624,0.107808,102.976,0,56.603,3.0000
69,1.808691,0.451928,1.031788,112.1809,0.092126,95.864,0,40.718,3.0000
70,1.753306,0.461219,1.032688,117.2817,0.087930,99.057,0,39.623,3.0000
71,1.655128,0.475325,1.030464,125.9767,0.089982,107.495,1,43.731,3.0000
72,1.333235,0.337517,1.030740,122.7228,0.088814,105.039,0,39.927,3.0000
73,1.701985,0.407883,1.030805,118.4862,0.087869,101.082,0,44.097,3.0000
74,2.017160,0.489457,1.028112,120.1069,0.088917,100.950,0,40.007,3.0000
75,1.819120,0.526634,1.023145,126.1401,0.087279,104.062,1,44.088,3.0000
76,1.609277,0.484690,1.027104,128.9788,0.087506,105.963,0,43.588,3.0000
77,1.822920,0.434614,1.032677,122.3925,0.089772,100.198,0,41.360,3.0000
78,1.817362,0.496351,1.029344,119.5786,0.098129,99.025,1,43.035,3.0000
79,1.875633,0.468837,1.018925,127.9313,0.090443,104.044,0,40.960,3.0000
80,1.547935,0.413175,1.020279,129.8615,0.092081,109.739,0,42.235,3.0000
81,1.907193,0.422015,1.021257,131.5079,0.098847,115.350,1,40.984,3.0000
82,1.853308,0.489738,1.021207,129.5661,0.092941,111.310,0,41.849,3.0000
83,1.981696,0.469413,1.013955,130.7472,0.094113,111.284,0,41.479,3.0000
84,1.682078,0.479122,1.014986,128.3886,0.092546,105.736,0,41.304,3.0000
85,1.990306,0.501203,1.028765,126.8432,0.089232,100.949,0,40.187,3.0000
86,1.560562,0.509119,1.037225,128.0031,0.090120,101.690,0,42.615,3.0000
87,1.803716,0.414601,1.035678,127.0109,0.086826,100.642,0,40.124,3.0000
88,1.747352,0.453512,1.025393,129.8790,0.095323,109.838,0,43.299,3.0000
89,1.615305,0.543085,1.019146,127.2975,0.106515,114.894,0,40.263,3.0000
90,1.850027,0.486374,1.026980,118.6762,0.106925,106.541,0,42.276,3.0000
91,1.684262,0.436284,1.037323,115.9496,0.100438,94.353,1,40.695,3.0000
