frame,qerr_max,qerr_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,max_jvel,max_torque
0,0.166029,0.023729,0.004844,1.1180,0.166227,4.247,3,4.473,3.0000
1,0.267930,0.038427,0.008359,3.1008,0.163345,3.533,4,7.265,3.0000
2,0.217695,0.032573,0.019401,5.3932,0.165723,6.104,4,5.890,1.9629
3,0.072590,0.014823,0.043834,6.1919,0.167241,7.751,4,1.972,2.2085
4,0.194845,0.032178,0.067692,6.5054,0.167654,7.688,3,6.178,3.0000
5,0.266675,0.048742,0.085442,7.6340,0.168806,7.412,2,7.680,3.0000
6,0.244379,0.048323,0.095179,9.1328,0.167633,6.956,2,8.364,3.0000
7,0.165183,0.030474,0.101434,9.4704,0.166085,6.385,3,4.572,3.0000
8,0.150218,0.028639,0.110682,8.4452,0.171346,5.511,2,3.869,3.0000
9,0.206468,0.045944,0.119903,6.7584,0.169967,3.501,3,5.829,0.8890
10,0.242670,0.050363,0.127222,6.5785,0.168638,4.212,3,6.584,3.0000
11,0.168144,0.034222,0.130756,5.7269,0.170122,6.308,3,4.601,2.4234
12,0.117391,0.025406,0.137381,2.9905,0.169685,7.243,4,4.311,3.0000
13,0.200187,0.047831,0.145326,2.5949,0.171685,6.729,2,5.624,0.9951
14,0.230229,0.058503,0.149343,3.2692,0.170885,3.651,2,6.224,3.0000
15,0.147032,0.046773,0.154628,3.1144,0.167466,3.769,3,4.000,2.4341
16,0.126762,0.040533,0.169672,1.5064,0.168146,8.406,3,3.558,3.0000
17,0.241288,0.051370,0.185401,4.7624,0.168251,11.265,2,6.526,3.0000
18,0.279076,0.054605,0.195304,9.8609,0.167630,8.426,2,7.566,3.6123
19,0.199437,0.049450,0.201128,10.7342,0.171240,2.492,2,5.409,3.0000
20,0.093828,0.041176,0.208180,7.5591,0.172176,5.548,4,3.668,1.4176
21,0.222777,0.053392,0.222121,6.8646,0.173039,9.677,3,9.137,3.0000
22,0.243300,0.056404,0.241331,10.4966,0.171343,9.223,3,6.855,3.2019
23,0.123747,0.043796,0.265485,14.8226,0.168926,4.800,3,3.442,1.5646
24,0.121475,0.031268,0.289426,17.8139,0.165663,3.724,3,3.355,3.0000
25,0.133507,0.043730,0.309111,18.7106,0.165461,9.367,2,3.604,3.0000
26,0.217952,0.047414,0.321763,19.9761,0.164256,12.708,2,5.828,3.0000
27,0.160394,0.058207,0.330626,21.0578,0.163082,11.428,2,3.540,4.5826
28,0.097171,0.043779,0.335936,22.0500,0.170714,7.083,3,5.896,3.4307
29,0.115154,0.041991,0.342353,22.9354,0.175746,1.829,2,6.563,1.0496
30,0.112497,0.037333,0.346554,23.9359,0.179349,4.247,2,4.025,6.0000
31,0.171802,0.045963,0.344107,23.2068,0.183323,5.854,2,4.636,6.0000
32,0.135899,0.036110,0.339708,20.7100,0.185926,4.444,3,4.257,1.7273
33,0.126371,0.026858,0.338104,15.8749,0.187651,2.174,4,3.091,2.8919
34,0.072423,0.018610,0.338489,12.1487,0.190502,2.491,3,2.032,1.4160
35,0.051003,0.016499,0.338054,11.3223,0.192802,2.483,3,1.390,1.0967
36,0.050574,0.012947,0.337137,12.3428,0.194906,2.433,3,1.352,0.6272
37,0.056518,0.010989,0.336540,13.2461,0.196358,2.701,3,1.523,0.7977
38,0.047272,0.007830,0.336897,13.3405,0.197115,3.075,3,1.276,0.8035
39,0.053326,0.007265,0.337321,13.3099,0.197650,3.468,4,1.438,0.7302
40,0.013654,0.004136,0.337709,13.6434,0.198128,3.811,4,0.399,0.7126
