frame,qerr_max,qerr_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,max_jvel,max_torque
0,0.008026,0.001225,0.001972,0.5692,0.114630,41.737,4,0.303,1.1751
1,0.008976,0.001891,0.003526,1.3878,0.114266,42.388,4,0.109,1.2558
2,0.009690,0.002276,0.004891,2.0628,0.113997,43.113,4,0.045,1.2100
3,0.007733,0.002302,0.006382,2.7992,0.113685,43.958,3,0.029,0.9188
4,0.006989,0.002206,0.008207,3.7191,0.113290,44.914,2,0.032,0.8494
5,0.011778,0.002867,0.010424,4.8581,0.112822,46.057,2,0.531,0.9357
6,0.031450,0.004210,0.012992,6.1766,0.112329,47.403,2,1.875,1.9791
7,0.051192,0.005627,0.015768,7.6063,0.112145,48.857,2,3.359,1.7846
8,0.073186,0.007797,0.016135,7.7569,0.112249,49.005,2,4.412,1.1226
9,0.091212,0.010109,0.015353,7.0330,0.111765,48.288,2,5.044,1.3822
10,0.064027,0.010564,0.014300,6.4115,0.111719,47.692,2,3.676,2.6771
11,0.052682,0.008136,0.013621,6.0115,0.111718,47.309,2,2.861,1.2791
12,0.065358,0.012283,0.014263,6.3280,0.111435,47.624,2,3.430,1.2239
13,0.106453,0.013457,0.014783,6.5704,0.111427,47.872,2,2.593,3.0336
14,0.100521,0.011766,0.014598,6.0241,0.111344,47.221,2,2.048,2.2037
15,0.078600,0.012315,0.012914,5.1811,0.111525,46.347,2,1.870,1.7428
16,0.063148,0.011226,0.010287,4.1881,0.111955,45.107,2,1.887,0.8662
17,0.054711,0.010383,0.007350,3.1905,0.112435,43.450,4,2.337,0.9763
18,0.051689,0.010476,0.005905,2.7178,0.113055,41.685,4,3.473,1.1926
19,0.103066,0.013553,0.007461,2.7618,0.113203,41.193,4,4.166,0.9441
20,0.165341,0.020582,0.008547,2.9157,0.112814,41.156,4,3.549,1.6034
21,0.160521,0.018853,0.008108,2.9542,0.112674,41.272,4,2.117,1.0909
22,0.095983,0.012447,0.007578,3.0739,0.112246,41.674,4,1.229,1.0427
23,0.058438,0.008629,0.007343,3.2471,0.112123,41.880,4,0.718,0.8049
24,0.036659,0.005931,0.007382,3.2164,0.112088,41.800,4,0.521,0.9882
25,0.024162,0.004090,0.007510,3.1847,0.112080,41.682,4,0.488,1.1645
26,0.016907,0.003111,0.007518,3.2181,0.112075,41.663,4,0.438,1.1655
27,0.012695,0.002516,0.007470,3.2713,0.112066,41.692,4,0.366,1.1067
28,0.010162,0.002254,0.007429,3.3085,0.112057,41.706,4,0.283,1.0895
29,0.009156,0.002190,0.007399,3.3244,0.112053,41.698,4,0.207,1.1083
30,0.009113,0.002114,0.007350,3.3348,0.112050,41.695,4,0.148,1.1203
31,0.008942,0.002098,0.007268,3.3470,0.112042,41.709,4,0.104,1.1151
32,0.008683,0.002308,0.007153,3.3580,0.112034,41.724,4,0.090,1.1088
33,0.008355,0.002702,0.006975,3.3745,0.112031,41.721,4,0.130,1.1009
34,0.008315,0.003770,0.006689,3.4461,0.111999,41.688,4,0.213,1.1101
35,0.017482,0.006572,0.006214,3.7213,0.111754,41.592,4,0.411,1.1468
36,0.043096,0.014151,0.005942,3.9442,0.111247,41.493,4,1.452,1.4477
37,0.041734,0.016860,0.005929,4.0608,0.110528,41.502,4,4.106,1.5397
38,0.097098,0.026536,0.006088,4.0324,0.109624,41.325,4,5.722,1.3813
39,0.215817,0.041058,0.005802,3.4968,0.108764,40.394,4,4.761,4.1693
40,0.242773,0.048033,0.002587,2.2638,0.108749,37.848,4,4.780,6.0000
41,0.178454,0.038545,0.000645,1.8750,0.109763,36.359,4,8.279,5.4794
42,0.150141,0.025655,0.002719,1.0595,0.108078,36.540,4,6.154,6.0000
43,0.098061,0.034454,0.006522,2.5835,0.107285,37.567,4,2.197,6.0000
44,0.162170,0.042474,0.006165,4.5361,0.109550,38.532,4,4.390,3.5356
45,0.176315,0.043707,0.005108,5.8028,0.115011,40.159,4,5.065,6.0000
46,0.123254,0.025451,0.007850,6.1460,0.118713,42.971,4,6.997,6.0000
47,0.038258,0.011841,0.011771,5.9774,0.118223,45.809,4,6.631,6.0000
48,0.128266,0.038203,0.005898,7.7590,0.115741,52.095,2,3.122,0.7850
