frame,qerr_max,qerr_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,max_jvel,max_torque
0,0.367108,0.129437,0.038379,4.6110,0.107485,43.206,0,7.840,0.0000
1,0.653830,0.214121,0.063512,7.9002,0.131763,40.408,1,10.153,2.0272
2,0.975558,0.290080,0.070130,11.5657,0.137698,38.288,2,10.097,3.0000
3,1.272434,0.417447,0.059467,15.3577,0.125280,37.012,0,11.550,3.0000
4,1.422902,0.461351,0.042837,23.5070,0.103661,31.522,0,10.320,3.0000
5,1.402578,0.460276,0.040667,37.6338,0.080038,22.984,0,11.941,3.0000
6,1.138497,0.400256,0.053835,45.9275,0.080360,20.877,0,8.154,3.0000
7,1.069959,0.386532,0.062429,52.8897,0.078150,20.612,0,8.168,2.5331
8,1.198649,0.356682,0.068336,56.4689,0.076460,21.785,0,7.833,3.0000
9,1.186034,0.385487,0.067541,61.8210,0.080539,17.226,0,8.060,3.0000
10,1.201053,0.448661,0.063816,65.1951,0.084557,12.981,0,8.206,3.0000
11,1.201790,0.484836,0.061308,67.9553,0.087000,9.844,0,4.212,3.0000
12,1.201904,0.494376,0.058660,69.7109,0.089605,8.251,0,6.293,3.0000
13,1.200907,0.499444,0.056469,70.2084,0.091512,8.316,0,7.176,3.0000
14,1.271623,0.484308,0.052741,65.5302,0.092007,8.586,0,7.310,2.6686
15,1.414986,0.505783,0.051146,55.5570,0.092198,8.342,0,6.132,3.0000
16,1.612116,0.596610,0.052695,45.2210,0.092127,8.522,0,4.096,3.0000
17,1.911571,0.667209,0.054157,40.6155,0.092114,8.531,0,2.728,3.0000
18,1.913946,0.662121,0.053895,40.9991,0.092168,8.459,0,6.147,3.0000
19,1.883804,0.636224,0.053351,41.9425,0.092135,8.520,0,7.481,3.0000
20,1.889415,0.625425,0.055357,43.9478,0.092140,8.498,0,4.830,3.0000
21,1.781458,0.587748,0.062610,47.1380,0.092153,8.490,0,4.390,3.0000
22,1.512309,0.511849,0.074677,51.7246,0.092135,8.510,0,6.195,3.0000
23,1.131793,0.462660,0.092569,57.7426,0.092147,8.489,0,7.803,3.0000
24,1.071417,0.472889,0.115821,63.8902,0.092144,8.496,0,8.195,3.0000
25,1.201042,0.479371,0.139767,68.6869,0.092136,8.502,0,8.100,3.0000
26,1.201035,0.474000,0.159421,70.6292,0.092140,8.498,0,7.920,3.0000
27,1.201014,0.469901,0.172095,70.6189,0.092138,8.505,0,7.484,3.0000
28,1.200983,0.469618,0.176854,70.6007,0.092142,8.500,0,7.333,3.0000
29,1.201013,0.490825,0.176910,70.5361,0.092141,8.500,0,6.910,3.0000
30,1.201044,0.502789,0.177012,70.4116,0.092139,8.501,0,3.725,3.0000
31,1.201042,0.494222,0.174336,67.2063,0.092145,8.500,0,3.361,2.9171
32,1.303673,0.475100,0.172301,59.7955,0.092140,8.502,0,6.627,3.0000
33,1.437232,0.531907,0.176037,51.0215,0.092139,8.502,0,7.674,3.0000
34,1.853838,0.619696,0.180094,43.7070,0.092141,8.505,0,6.102,3.0000
35,1.912406,0.642934,0.181892,40.6508,0.092136,8.507,0,4.576,3.0000
36,1.912718,0.636534,0.181513,40.9410,0.092137,8.504,0,5.954,3.0000
37,1.884142,0.607155,0.180592,41.9594,0.092143,8.505,0,7.503,3.0000
38,1.889344,0.559591,0.186237,43.9456,0.092141,8.500,0,7.870,3.0000
39,1.781171,0.510791,0.202913,47.1251,0.092140,8.501,0,7.762,3.0000
40,1.512564,0.461094,0.226434,51.7381,0.092145,8.499,0,7.468,3.0000
41,1.131521,0.438825,0.255974,57.7306,0.092142,8.498,0,6.660,3.0000
42,1.071451,0.463088,0.289362,63.8866,0.092140,8.498,0,5.999,3.0000
43,1.261572,0.503535,0.319919,68.6910,0.092141,8.499,0,6.274,3.0000
44,1.433182,0.536993,0.341085,70.6289,0.092139,8.500,0,5.939,3.0000
45,1.487319,0.553346,0.348537,70.6239,0.092145,8.501,0,5.918,3.0000
46,1.474369,0.549352,0.348561,70.6013,0.092142,8.500,0,3.602,3.0000
47,1.393340,0.526244,0.348621,70.5387,0.092142,8.498,0,8.044,3.0000
48,1.246978,0.508064,0.348729,70.4165,0.092142,8.498,0,7.538,3.0000
49,1.201000,0.475812,0.346077,67.2090,0.092142,8.497,0,7.603,2.9168
50,1.201030,0.430222,0.344242,59.7997,0.092140,8.499,0,6.151,3.0000
51,1.437237,0.462723,0.348383,51.0223,0.092139,8.502,0,6.796,3.0000
52,1.853918,0.543896,0.352661,43.7098,0.092137,8.503,0,6.933,3.0000
53,1.912445,0.596809,0.354504,40.6543,0.092139,8.504,0,7.426,3.0000
54,1.912699,0.627935,0.354125,40.9412,0.092139,8.504,0,7.063,3.0000
55,1.884220,0.639374,0.353187,41.9615,0.092138,8.504,0,4.531,3.0000
56,1.889328,0.626898,0.356600,43.9437,0.092138,8.502,0,4.183,3.0000
57,1.781118,0.578525,0.367588,47.1221,0.092139,8.503,0,6.877,3.0000
58,1.512493,0.499399,0.383399,51.7348,0.092145,8.502,0,7.561,3.0000
59,1.131460,0.456871,0.404809,57.7276,0.092140,8.501,0,6.678,3.0000
60,1.071451,0.459843,0.431296,63.8830,0.092138,8.501,0,3.100,3.0000
61,1.200997,0.468191,0.457748,68.6871,0.092139,8.502,0,4.541,3.0000
62,1.201030,0.470359,0.479210,70.6278,0.092138,8.500,0,6.893,3.0000
63,1.200995,0.464238,0.492982,70.6248,0.092141,8.500,0,7.646,3.0000
64,1.269072,0.476619,0.498147,70.6014,0.092139,8.500,0,7.067,3.0000
65,1.366841,0.492934,0.498209,70.5371,0.092140,8.500,0,7.045,3.0000
66,1.260492,0.496096,0.498325,70.4152,0.092140,8.498,0,6.572,3.0000
67,1.201002,0.479451,0.495683,67.2069,0.092141,8.500,0,7.508,2.9170
68,1.201032,0.459553,0.493914,59.7993,0.092140,8.499,0,7.085,3.0000
69,1.437178,0.503749,0.498159,51.0240,0.092140,8.501,0,3.685,3.0000
70,1.853848,0.584747,0.502490,43.7109,0.092138,8.502,0,1.686,3.0000
71,1.912555,0.612938,0.504347,40.6577,0.092140,8.500,0,6.424,3.0000
72,1.912867,0.616469,0.503957,40.9477,0.092142,8.499,0,8.028,3.0000
73,1.884304,0.621376,0.503023,41.9650,0.092142,8.500,0,7.648,3.0000
74,1.889331,0.613553,0.508219,43.9452,0.092141,8.502,0,6.642,3.0000
