frame,qerr_max,qerr_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,max_jvel,max_torque
0,0.028638,0.003202,0.000778,0.2747,0.150837,43.480,4,1.286,2.4572
1,0.053400,0.008509,0.001250,0.4987,0.150996,43.476,4,3.451,3.1261
2,0.064413,0.006232,0.000864,0.2921,0.150859,43.481,4,6.830,2.3869
3,0.078582,0.006748,0.003015,1.2629,0.150361,43.698,4,7.525,5.6459
4,0.021441,0.005706,0.009330,3.6295,0.149757,44.115,4,3.535,4.3343
5,0.054014,0.006953,0.013897,5.4715,0.151528,43.942,3,4.817,1.9676
6,0.065049,0.006836,0.015503,5.8601,0.152351,44.232,3,3.898,1.9913
7,0.091041,0.009652,0.012153,4.4655,0.151150,44.354,3,2.270,1.9725
8,0.113624,0.009362,0.005119,1.7836,0.150401,43.801,4,3.264,1.4648
9,0.021645,0.002708,0.003084,2.0329,0.151902,43.588,4,0.379,1.2835
10,0.005941,0.001844,0.009046,4.1944,0.153627,43.945,3,0.513,1.5522
11,0.018816,0.003431,0.014603,6.2097,0.154970,44.353,2,1.679,1.9142
12,0.037019,0.006110,0.019957,8.1048,0.156090,44.795,2,2.768,1.5862
13,0.053667,0.005538,0.024793,9.7260,0.157060,45.170,2,5.107,1.7385
14,0.064768,0.007627,0.028807,11.1177,0.157795,45.507,2,6.430,0.3768
15,0.121365,0.014836,0.031629,12.1165,0.158265,45.768,2,4.499,1.6718
16,0.192137,0.021755,0.032672,12.4385,0.158398,45.852,2,2.753,2.4893
17,0.161382,0.018066,0.031201,11.8369,0.158140,45.710,2,4.799,1.9805
18,0.055543,0.011312,0.025686,10.0556,0.157037,44.489,2,7.468,4.2183
19,0.084020,0.017758,0.015788,6.5197,0.154371,42.138,2,6.798,3.3210
20,0.099066,0.012629,0.006780,1.7067,0.150506,40.315,4,4.757,2.3238
21,0.170004,0.023619,0.010488,3.3763,0.148882,41.826,4,2.534,4.7266
22,0.158007,0.031675,0.015203,5.2477,0.150029,44.768,4,6.603,6.0000
23,0.068341,0.018200,0.016737,4.3295,0.152220,46.722,4,6.527,2.8241
24,0.067291,0.010708,0.015490,2.8891,0.152288,47.194,4,3.148,6.0000
25,0.097122,0.014601,0.013435,2.3654,0.152535,46.854,4,3.131,3.8810
26,0.094857,0.012223,0.011973,2.1968,0.152753,46.717,4,2.789,2.6775
27,0.086852,0.013495,0.012857,2.2180,0.152655,46.805,4,3.092,1.2654
28,0.107573,0.011733,0.015089,2.6184,0.152414,47.030,4,2.939,0.3241
29,0.112063,0.012699,0.017927,3.4550,0.152037,47.262,4,2.380,1.4062
30,0.095288,0.011980,0.018779,3.7973,0.152411,47.235,4,2.070,1.4268
31,0.081889,0.010178,0.018201,3.5484,0.152158,47.299,4,1.862,1.3188
32,0.077019,0.008090,0.016875,3.1639,0.152244,47.204,4,1.555,0.5448
33,0.066242,0.006793,0.016144,2.9617,0.152327,47.133,4,1.202,0.4000
34,0.053649,0.005455,0.016091,2.9419,0.152338,47.123,4,0.884,0.3863
35,0.041857,0.004634,0.016575,3.0703,0.152283,47.162,4,0.619,0.6491
36,0.031889,0.004620,0.017304,3.2850,0.152188,47.216,4,0.408,0.9313
37,0.023863,0.004884,0.017831,3.4651,0.152070,47.269,4,0.247,1.1441
38,0.023803,0.009219,0.017483,3.1470,0.151634,46.558,4,0.744,0.9839
39,0.088863,0.020586,0.018427,3.2718,0.149931,44.062,4,2.476,1.5916
40,0.155573,0.034399,0.022326,4.2405,0.145934,40.118,4,4.339,2.5845
41,0.219810,0.048124,0.027381,5.6447,0.141407,35.209,4,5.909,6.0000
42,0.335136,0.057746,0.032297,6.8957,0.136458,29.700,3,9.022,2.7915
43,0.336543,0.052650,0.031807,5.6123,0.133595,24.672,3,9.230,3.3852
44,0.272518,0.047932,0.025688,5.4077,0.132541,19.054,2,7.476,2.8256
45,0.135220,0.038996,0.023278,8.9137,0.134660,12.980,3,3.793,3.0000
46,0.188566,0.040949,0.042792,14.3557,0.146714,8.822,3,5.696,3.4054
47,0.246123,0.062388,0.091053,21.2807,0.163610,10.125,3,8.015,3.0000
48,0.171509,0.061389,0.142673,26.2217,0.187429,12.686,1,6.684,2.9093
49,0.187651,0.045489,0.195762,30.3027,0.198002,16.374,1,5.102,3.6391
50,0.147350,0.049422,0.247118,32.5124,0.191133,21.402,0,3.935,0.6557
51,0.183688,0.048073,0.294445,34.2788,0.169516,27.395,1,5.043,1.2716
52,0.164696,0.042751,0.327656,40.7816,0.151949,36.927,1,3.999,3.0000
53,0.176586,0.033403,0.351669,49.8314,0.131991,48.044,2,4.813,4.2619
54,0.197308,0.030445,0.372664,60.7638,0.122865,60.934,2,3.451,2.7567
55,0.146987,0.043683,0.394634,74.2405,0.109522,74.535,2,6.437,1.3392
56,0.169971,0.046307,0.418360,89.2789,0.089283,88.844,0,4.867,1.9129
57,0.207980,0.048564,0.429742,103.5070,0.091854,100.022,0,4.267,2.6422
58,0.216641,0.030522,0.433388,113.3071,0.096169,106.888,0,2.695,0.4335
59,0.053148,0.017891,0.435438,120.8769,0.098469,112.862,0,1.430,2.7562
60,0.166508,0.030549,0.437610,126.8421,0.099112,118.204,0,5.725,1.8631
61,0.065369,0.020523,0.441067,132.1638,0.098908,122.662,0,6.333,0.6426
62,0.114138,0.012903,0.443856,136.5340,0.099066,126.030,0,3.796,0.5465
63,0.133128,0.011079,0.446412,140.0583,0.099066,128.661,0,3.398,0.3282
64,0.125573,0.018940,0.447842,140.9268,0.099562,129.367,0,2.698,1.8436
65,0.111495,0.026743,0.446402,136.8287,0.099076,126.150,0,4.182,1.5374
66,0.073032,0.018578,0.443829,131.3977,0.099041,121.935,0,4.517,0.3261
67,0.087593,0.021302,0.438812,125.7502,0.099489,117.084,0,2.796,1.2607
68,0.193071,0.063658,0.431395,118.9036,0.099307,111.020,0,5.157,0.5763
69,0.256099,0.080574,0.421625,111.0294,0.096655,103.806,0,6.965,5.4165
70,0.181815,0.065383,0.412925,102.7900,0.089044,95.889,0,5.733,3.6562
71,0.095256,0.038196,0.407412,97.0658,0.089624,89.874,0,5.246,2.4710
72,0.060719,0.022760,0.408890,93.8980,0.091644,86.449,2,4.259,4.3692
73,0.132521,0.031732,0.414443,93.7711,0.093692,85.876,2,3.577,2.0929
74,0.170578,0.056546,0.419554,96.8437,0.092988,88.125,0,4.603,1.6678
75,0.232519,0.085700,0.417533,106.1282,0.088656,92.804,0,6.211,1.4241
76,0.309332,0.106116,0.396237,115.5888,0.087617,95.982,0,8.609,1.6289
77,0.340700,0.100501,0.351113,117.5320,0.085491,95.870,0,9.246,3.0000
78,0.334080,0.088593,0.302634,117.1169,0.084996,95.807,0,9.123,1.3436
79,0.326916,0.083192,0.277766,116.3772,0.085297,95.298,0,9.006,1.9288
80,0.310085,0.097455,0.263901,116.1481,0.085607,94.714,0,8.453,1.5994
81,0.323376,0.111852,0.243766,116.7681,0.085906,94.085,0,8.792,0.4150
82,0.341271,0.105030,0.221495,118.1609,0.086139,93.557,0,9.311,0.8726
83,0.311247,0.073455,0.208491,120.9391,0.086685,93.985,0,8.550,0.9729
84,0.215631,0.037150,0.207821,123.7288,0.086938,94.863,0,5.941,0.4761
85,0.149252,0.032073,0.211616,125.6281,0.086742,95.825,0,4.727,0.3754
86,0.216783,0.056363,0.220462,126.4226,0.086691,96.164,0,5.924,0.6924
87,0.238920,0.061014,0.242129,126.8317,0.086344,95.979,0,6.227,0.9394
88,0.313607,0.066685,0.294602,126.3117,0.085513,95.550,0,8.536,0.6625
89,0.319711,0.077567,0.380668,124.6216,0.084829,95.209,0,8.711,0.3788
90,0.339679,0.080399,0.481292,122.8918,0.085003,95.344,0,9.265,0.8593
91,0.257910,0.101887,0.576296,120.8040,0.085963,95.098,0,7.086,1.6610
92,0.277925,0.083413,0.645915,116.1997,0.086879,91.783,0,7.557,2.5131
93,0.292455,0.083089,0.692904,109.2481,0.087124,85.692,0,6.164,2.0707
94,0.311850,0.082227,0.723750,101.1884,0.086921,78.198,0,8.240,0.5331
95,0.270353,0.079172,0.745658,95.1919,0.086409,72.810,0,6.631,2.0252
96,0.190856,0.056954,0.768763,93.7946,0.087641,71.970,0,5.221,1.0688
97,0.157466,0.043841,0.791915,95.9406,0.088285,74.161,0,4.290,0.6871
98,0.191655,0.052727,0.812827,98.1514,0.087265,76.224,0,5.644,0.9676
99,0.204044,0.057432,0.833939,98.9431,0.086988,77.340,0,5.642,0.8964
100,0.151996,0.041519,0.860886,98.2090,0.087011,77.784,0,5.078,1.9506
101,0.193946,0.058607,0.897077,94.4182,0.086960,77.736,0,4.326,1.5830
102,0.279832,0.093191,0.944499,88.8190,0.088108,77.610,0,8.209,1.3257
103,0.334706,0.106119,0.996025,85.2643,0.090452,78.281,1,9.167,4.7405
104,0.277842,0.085616,1.045639,85.7766,0.092017,81.517,1,7.568,1.2389
105,0.231609,0.038767,1.086668,87.3136,0.093063,84.735,1,3.127,2.0658
106,0.354451,0.071427,1.116040,89.4124,0.095140,87.443,1,3.331,1.9081
107,0.269645,0.062492,1.130862,91.2284,0.097153,89.227,1,3.184,0.7855
108,0.109697,0.029557,1.135532,91.8347,0.097675,89.804,1,1.644,0.5754
109,0.096997,0.018468,1.134515,90.8787,0.097375,88.834,1,2.626,1.7897
110,0.068849,0.023071,1.132658,88.8347,0.097251,86.798,1,3.288,2.5892
111,0.111264,0.020039,1.130119,87.0820,0.098178,85.077,1,3.712,1.7959
112,0.187375,0.042779,1.126003,86.6421,0.098810,84.634,1,2.358,1.9836
113,0.148630,0.054943,1.120979,87.1511,0.097838,85.023,1,4.045,1.7580
114,0.157196,0.050168,1.115501,86.8487,0.093763,84.364,1,4.282,0.4172
115,0.153361,0.044946,1.111046,87.0243,0.089911,84.059,1,4.182,0.9034
116,0.116417,0.039985,1.110843,88.7301,0.087504,85.493,0,2.323,1.8975
117,0.180050,0.054461,1.109175,90.2436,0.087636,86.622,0,4.900,2.1002
118,0.152363,0.045848,1.106387,91.7999,0.087655,87.836,0,4.153,1.2600
119,0.116887,0.031477,1.105104,92.1739,0.088045,87.874,0,3.866,2.2441
120,0.250363,0.027787,1.103929,91.4493,0.088699,86.916,0,3.740,1.1672
121,0.403297,0.029875,1.102559,90.3499,0.089491,85.698,0,4.454,0.4465
122,0.427558,0.027915,1.101785,89.5365,0.090093,84.854,0,2.648,0.3350
123,0.371105,0.023808,1.101425,89.3006,0.090082,84.544,0,0.933,0.5432
124,0.251060,0.016136,1.101235,89.3012,0.089799,84.455,0,2.596,0.7052
125,0.119610,0.015554,1.101151,89.5048,0.089312,84.566,0,2.804,0.6437
126,0.118113,0.016906,1.101065,89.4887,0.088845,84.647,0,2.465,1.1937
127,0.142600,0.018548,1.100661,88.8576,0.088799,84.176,0,1.503,1.6819
128,0.193114,0.018623,1.100249,87.7686,0.089278,83.214,0,1.392,0.4565
129,0.238808,0.021423,1.099990,86.9396,0.089711,82.428,0,2.296,1.2667
130,0.259693,0.022028,1.099790,86.5862,0.089809,82.062,0,2.094,0.3296
131,0.265156,0.027047,1.099415,86.3979,0.089694,81.836,0,0.678,0.4458
132,0.232470,0.025934,1.099140,86.3879,0.089472,81.795,0,1.435,0.5020
133,0.175236,0.018288,1.098985,86.5479,0.089194,81.937,0,1.937,0.4864
134,0.157146,0.014482,1.098872,86.6822,0.088947,82.057,0,0.822,0.5091
135,0.196195,0.016361,1.098876,86.6918,0.088849,82.073,0,0.284,0.5322
136,0.231668,0.015110,1.098944,86.6365,0.088932,82.047,0,0.627,0.6849
137,0.240136,0.022601,1.099053,86.6929,0.089113,82.146,0,1.495,0.9080
138,0.213911,0.022485,1.099304,87.0308,0.089226,82.535,0,1.334,0.8064
139,0.179198,0.017397,1.099597,87.4003,0.089173,82.948,0,1.357,0.6334
140,0.163472,0.015787,1.099499,87.4965,0.089045,83.046,0,0.334,0.4948
141,0.210811,0.028192,1.098252,87.0654,0.088730,82.495,0,1.808,0.2736
142,0.317548,0.062797,1.093370,85.2488,0.087171,80.296,0,4.524,3.8804
143,0.232514,0.075684,1.087548,82.9392,0.088326,76.673,0,5.077,1.1804
144,0.181028,0.052975,1.080895,82.3311,0.090939,74.596,1,4.032,3.2596
145,0.173955,0.056361,1.072974,84.7144,0.089421,76.670,1,3.962,1.6254
146,0.293083,0.065281,1.060098,91.2292,0.087032,81.217,0,7.923,0.5838
147,0.347782,0.075818,1.038356,98.5360,0.087420,82.582,0,9.516,0.7462
148,0.353852,0.089344,1.006603,107.0996,0.088546,82.672,0,9.676,1.6571
149,0.340028,0.096176,0.972906,118.5057,0.088531,82.454,1,9.296,0.6553
