frame,qerr_max,qerr_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,max_jvel,max_torque
0,0.008225,0.002044,0.001311,0.3590,0.088736,2.007,4,0.225,1.0956
1,0.032380,0.004078,0.001290,0.3087,0.088682,1.940,4,0.903,0.7830
2,0.016738,0.003069,0.001621,0.2814,0.088668,1.908,4,0.489,0.5005
3,0.041937,0.005507,0.002056,0.3145,0.088616,1.957,4,1.128,0.5645
4,0.058616,0.005781,0.001284,0.3793,0.088796,2.076,4,1.633,0.6902
5,0.009764,0.003003,0.001295,0.5214,0.088945,2.125,4,0.230,0.8773
6,0.078827,0.008812,0.001856,0.7170,0.088874,2.016,4,2.170,1.2126
7,0.113835,0.035447,0.005136,1.4598,0.094383,3.350,4,3.880,2.6662
8,0.096744,0.030363,0.005390,2.8467,0.103194,5.734,4,4.408,4.4328
9,0.309045,0.053685,0.010860,4.8808,0.110528,11.096,4,11.553,3.0000
10,0.347216,0.066494,0.028465,5.6887,0.111916,16.619,4,9.726,3.0638
11,0.329803,0.088102,0.055611,7.3720,0.133417,22.757,4,11.408,3.0000
12,0.308749,0.069134,0.091997,9.4715,0.156838,31.409,1,11.477,3.0000
13,0.137799,0.050356,0.108878,9.3122,0.170275,39.439,1,4.241,1.5980
14,0.102446,0.034404,0.123460,8.6423,0.171508,44.028,2,4.359,1.5166
15,0.093962,0.022813,0.135658,3.7412,0.168379,41.426,2,3.869,0.7892
16,0.122123,0.024844,0.149587,1.7411,0.166770,38.065,4,2.728,3.0000
17,0.120462,0.024876,0.159208,3.6727,0.171271,35.887,3,2.100,1.0623
18,0.089385,0.028092,0.166914,5.0680,0.174344,34.903,3,1.930,1.1806
19,0.076751,0.015128,0.170293,6.2622,0.175537,34.062,3,1.679,1.5594
20,0.070671,0.015211,0.172576,7.7356,0.176511,33.388,3,1.330,0.6648
21,0.061627,0.013935,0.173576,8.2566,0.176355,34.037,3,0.908,0.6210
