frame,qerr_max,qerr_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,max_jvel,max_torque
0,0.005687,0.000835,0.000641,0.0000,0.170132,4.463,1,0.683,0.9285
1,0.008875,0.001397,0.001551,0.1367,0.169221,4.372,2,1.855,1.5505
2,0.016239,0.002196,0.002885,0.2936,0.168014,4.226,2,3.140,1.7685
3,0.024347,0.002968,0.004605,0.4766,0.166605,4.018,3,4.355,2.3452
4,0.027639,0.003455,0.006450,0.7543,0.165663,3.584,3,4.601,2.9159
5,0.028505,0.004361,0.008782,1.1803,0.165163,2.938,4,6.005,3.0000
6,0.029135,0.004777,0.011701,1.7118,0.164766,2.176,4,6.541,2.3282
7,0.029631,0.005001,0.015132,2.3323,0.164434,1.313,4,6.748,2.0780
8,0.029220,0.005069,0.018974,3.0365,0.164121,0.389,4,6.870,2.0577
9,0.026814,0.004881,0.023233,3.7281,0.163908,0.641,4,7.207,2.2172
10,0.022372,0.004843,0.028097,4.2561,0.164013,1.433,4,7.497,1.8298
11,0.019073,0.004922,0.033454,4.7080,0.164146,2.190,4,7.530,1.4895
12,0.015414,0.005044,0.039242,5.0738,0.164271,2.879,4,7.020,0.9747
13,0.018646,0.005253,0.045288,5.3584,0.164406,3.481,4,5.810,1.7004
14,0.020527,0.005386,0.051520,5.6104,0.164508,4.028,4,4.415,2.2370
15,0.018808,0.005104,0.057923,5.8380,0.164594,4.519,4,3.171,2.2020
16,0.020531,0.004732,0.064444,6.0597,0.164655,4.967,4,2.743,2.0017
17,0.026624,0.004832,0.070888,6.3132,0.164620,5.401,4,2.253,2.7880
18,0.034033,0.005445,0.077174,6.5783,0.164576,5.795,4,1.803,3.0000
19,0.046017,0.006617,0.083321,6.8303,0.164511,6.121,4,1.636,3.0000
20,0.064837,0.008214,0.089306,7.0935,0.164422,6.399,4,1.809,3.0000
21,0.081103,0.009763,0.095107,7.3857,0.164339,6.649,4,2.295,3.0000
22,0.095227,0.010745,0.100696,7.7356,0.164296,6.901,3,3.844,3.0000
23,0.110223,0.011437,0.106053,8.1639,0.164280,7.175,3,5.275,3.0000
24,0.127054,0.012285,0.111198,8.6585,0.164304,7.463,3,6.313,3.0000
25,0.145904,0.013707,0.116138,9.2249,0.164340,7.775,3,6.884,3.0000
26,0.166374,0.015439,0.120886,9.8621,0.164369,8.113,3,7.077,3.0000
27,0.187182,0.017030,0.125435,10.5588,0.164365,8.473,3,7.013,3.0000
28,0.206344,0.018614,0.129753,11.2958,0.164320,8.843,3,6.874,3.0000
29,0.221705,0.020277,0.133794,12.0498,0.164228,9.212,3,6.735,3.0000
30,0.231335,0.021646,0.137508,12.7963,0.164089,9.564,3,6.646,3.0000
31,0.233817,0.022653,0.140863,13.5154,0.163900,9.887,2,6.612,3.0000
32,0.228363,0.023337,0.143824,14.1952,0.163654,10.173,2,6.618,3.0000
33,0.214557,0.023791,0.146353,14.8301,0.163342,10.416,1,6.650,3.0000
34,0.241482,0.023943,0.148425,15.4221,0.162950,10.621,1,6.666,3.0000
35,0.274288,0.023792,0.150044,15.9843,0.162462,10.801,1,6.741,3.0000
36,0.306998,0.023252,0.151227,16.5364,0.161883,10.981,1,7.369,3.0000
37,0.339818,0.022734,0.152106,17.0633,0.161321,11.162,1,7.422,3.0000
38,0.360958,0.022225,0.153088,17.4760,0.160823,11.291,1,5.964,3.0000
39,0.367621,0.021809,0.154175,17.7650,0.160441,11.377,2,4.047,3.0000
40,0.358497,0.021431,0.155414,17.8226,0.160398,11.356,2,2.386,3.0000
41,0.327918,0.021269,0.157514,17.6053,0.161904,11.174,2,2.962,3.0000
42,0.285224,0.020013,0.159551,17.3014,0.163903,10.959,2,4.413,3.0000
43,0.233202,0.018032,0.161253,16.9549,0.166355,10.737,2,4.540,3.0000
44,0.171042,0.014926,0.162524,16.6461,0.169080,10.561,2,5.358,3.0000
45,0.101658,0.010686,0.163524,16.3617,0.171714,10.418,2,5.848,2.4485
46,0.050345,0.006828,0.164609,16.1567,0.173593,10.371,2,5.195,3.0000
47,0.017937,0.004195,0.165864,15.9818,0.174798,10.381,2,5.118,3.0000
48,0.009189,0.002971,0.167263,15.8137,0.175339,10.433,2,5.318,2.9324
49,0.008701,0.002579,0.168692,15.6805,0.175275,10.550,2,6.280,1.2718
50,0.012141,0.003108,0.170098,15.7354,0.174870,10.853,2,6.809,0.9194
51,0.014988,0.003811,0.171480,15.8018,0.174281,11.193,2,6.926,1.6369
52,0.016937,0.004425,0.172826,15.8479,0.173652,11.541,2,6.754,2.4448
53,0.018663,0.004892,0.174287,15.8561,0.173220,11.883,2,6.395,2.7636
54,0.021377,0.005187,0.175858,15.8512,0.172870,12.246,2,5.854,2.9281
55,0.021729,0.005844,0.177665,15.7980,0.172955,12.620,2,5.350,2.5057
56,0.022505,0.006791,0.179550,15.7200,0.173219,13.015,2,5.166,1.6970
57,0.022314,0.007193,0.181418,15.6273,0.173472,13.414,2,4.902,2.0270
58,0.020793,0.006997,0.183383,15.4958,0.173683,13.792,2,4.475,1.3680
59,0.021316,0.006236,0.185570,15.2963,0.173858,14.116,2,3.904,1.4283
60,0.022308,0.005680,0.188101,15.0285,0.173996,14.381,2,3.236,2.6844
61,0.022576,0.005582,0.190934,14.7159,0.173989,14.592,2,2.541,3.0000
62,0.022143,0.005235,0.194076,14.3751,0.173834,14.745,2,1.844,2.9247
63,0.021076,0.004981,0.197584,14.0259,0.173656,14.835,2,2.601,2.2738
64,0.020196,0.004617,0.201516,13.6740,0.173543,14.839,2,3.112,2.3872
65,0.018290,0.004247,0.205837,13.3583,0.173403,14.770,2,3.694,2.9609
66,0.014730,0.003755,0.210229,13.0626,0.172887,14.653,2,4.565,2.8516
67,0.015668,0.004343,0.214407,12.7491,0.172286,14.483,2,5.502,3.0000
68,0.035507,0.005409,0.218303,12.4237,0.171578,14.235,2,6.123,3.0000
69,0.049330,0.006691,0.221903,12.0908,0.170741,13.899,3,6.293,3.0000
