frame,qerr_max,qerr_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,max_jvel,max_torque
0,0.012607,0.003263,0.003549,0.7563,0.076847,3.386,4,0.495,1.3279
1,0.008848,0.002320,0.003516,0.8132,0.076472,3.381,4,0.206,0.5867
2,0.005756,0.001453,0.003397,0.7860,0.076342,3.400,4,0.047,0.6110
3,0.005064,0.001295,0.003369,0.7824,0.076318,3.401,4,0.031,0.6289
4,0.005038,0.001258,0.003371,0.7827,0.076312,3.402,4,0.027,0.6395
5,0.005031,0.001203,0.003372,0.7830,0.076311,3.401,4,0.032,0.6363
6,0.005058,0.001166,0.003376,0.7836,0.076307,3.402,4,0.028,0.6442
7,0.005051,0.001153,0.003377,0.7834,0.076306,3.401,4,0.031,0.6419
8,0.004984,0.001175,0.003374,0.7826,0.076308,3.403,4,0.028,0.6494
9,0.004244,0.001285,0.003299,0.7809,0.076366,3.407,4,0.050,0.6502
10,0.006998,0.001730,0.002991,0.7653,0.076633,3.434,4,0.190,0.6173
11,0.010179,0.002307,0.002700,0.7545,0.077071,3.458,4,0.288,0.5504
12,0.006356,0.002315,0.003163,0.7679,0.077047,3.447,4,0.182,0.6375
13,0.026153,0.005992,0.004119,0.9895,0.075945,3.350,4,1.100,0.5851
14,0.050757,0.008988,0.004006,1.2911,0.074558,3.488,4,2.019,1.2720
15,0.029374,0.006687,0.004309,1.1395,0.073750,3.540,4,1.182,0.7993
16,0.014033,0.003263,0.004143,1.1507,0.073538,3.538,4,0.787,0.7758
17,0.016764,0.003143,0.003909,1.1327,0.073625,3.540,4,0.907,0.7891
18,0.019421,0.005613,0.002812,1.1174,0.074583,3.625,4,0.982,0.9383
19,0.097594,0.011757,0.002191,1.2202,0.076396,2.707,3,2.715,0.6391
20,0.023215,0.009290,0.003194,1.1742,0.078313,2.638,3,1.082,1.0935
21,0.028772,0.009186,0.008037,1.2106,0.079758,2.780,3,1.117,0.9740
22,0.035704,0.010243,0.012877,1.2354,0.080949,2.902,3,1.135,0.9109
23,0.038911,0.011151,0.017799,1.3501,0.082066,2.936,3,1.148,0.9829
24,0.042885,0.012509,0.022862,1.5910,0.083247,3.019,3,1.304,0.9432
25,0.049799,0.014044,0.028181,2.0216,0.084306,3.083,3,1.450,0.9600
26,0.058699,0.015256,0.033699,2.6161,0.085278,3.117,3,1.682,0.9237
27,0.067872,0.016036,0.039339,3.3520,0.086098,3.119,3,1.944,0.9173
28,0.072881,0.015230,0.044774,4.0616,0.086626,3.081,3,2.069,0.9913
29,0.078753,0.014301,0.048471,4.3162,0.086832,3.038,3,2.203,1.1433
30,0.075141,0.014396,0.048668,4.2953,0.086835,2.994,3,1.969,1.1168
31,0.063890,0.013256,0.048697,4.2706,0.086797,2.990,3,1.664,1.1214
32,0.056587,0.012303,0.048710,4.2474,0.086709,2.973,3,1.454,1.1548
33,0.049581,0.011257,0.048710,4.2258,0.086607,2.959,3,1.269,1.1779
34,0.041236,0.009893,0.048706,4.2056,0.086500,2.949,3,1.039,1.1945
35,0.033732,0.008503,0.048702,4.1875,0.086374,2.946,3,0.834,1.1943
36,0.028123,0.007392,0.048631,4.1754,0.086118,2.948,3,0.661,1.1572
37,0.029458,0.007821,0.048110,4.1694,0.085525,2.926,3,0.676,1.0700
38,0.079707,0.015192,0.045453,4.1734,0.084442,2.824,3,2.156,0.9429
39,0.171872,0.021832,0.040615,4.2068,0.083023,2.584,4,4.670,0.9055
40,0.066899,0.016648,0.034703,4.0914,0.081780,2.965,4,2.002,0.6965
41,0.285888,0.029915,0.026582,2.6574,0.079906,2.793,4,10.604,3.0000
42,0.210330,0.026048,0.020860,1.9827,0.077188,2.619,4,5.913,1.3795
43,0.094170,0.016221,0.016503,1.3792,0.076388,2.900,4,2.567,1.0830
44,0.020853,0.006249,0.012974,1.3510,0.075909,3.288,4,0.554,1.1325
45,0.034709,0.006723,0.009127,1.6447,0.076163,4.068,4,0.886,1.1135
46,0.057203,0.010390,0.005849,1.8537,0.077397,5.145,4,1.559,1.1714
47,0.085726,0.013964,0.004738,2.0168,0.079090,6.434,4,2.386,1.0359
48,0.151735,0.021425,0.004394,2.1735,0.080615,7.732,4,4.230,0.5597
49,0.252062,0.032905,0.004105,2.4130,0.081886,8.813,4,6.982,0.8748
50,0.255145,0.032197,0.003390,2.3358,0.082657,9.833,4,7.213,0.7511
51,0.125180,0.019978,0.002947,2.1913,0.082943,10.733,4,3.587,0.7858
52,0.068581,0.012569,0.002601,2.0126,0.083039,11.342,4,1.911,3.4796
53,0.065013,0.012337,0.002475,1.9567,0.083149,11.618,4,3.697,2.3307
54,0.076472,0.014684,0.002569,2.0021,0.083143,11.636,4,4.482,0.7563
55,0.080764,0.016067,0.002696,2.0528,0.083015,11.604,4,4.488,0.5799
56,0.078672,0.015741,0.002839,2.1221,0.082879,11.493,4,3.941,0.9769
57,0.082851,0.014634,0.002988,2.1934,0.082881,11.336,4,2.872,1.7608
58,0.065350,0.013030,0.003169,2.2079,0.083036,11.149,4,1.716,1.6810
59,0.053526,0.011636,0.003420,2.2088,0.083087,10.885,4,1.137,1.4295
60,0.042424,0.010432,0.003636,2.2067,0.082940,10.613,4,0.868,0.8462
61,0.031011,0.008700,0.003767,2.1964,0.082617,10.310,4,1.002,0.5710
62,0.042262,0.010350,0.003823,2.2029,0.082095,9.990,4,1.131,0.5858
63,0.063445,0.012145,0.003777,2.2279,0.081510,9.685,4,1.699,0.5879
64,0.035464,0.009717,0.003705,2.2526,0.081054,9.385,4,1.387,0.6174
65,0.039020,0.009713,0.003727,2.2822,0.080563,9.096,4,1.457,0.6277
66,0.040432,0.009402,0.003683,2.3057,0.080163,8.826,4,1.189,0.6263
67,0.039520,0.009114,0.003593,2.3072,0.080067,8.625,4,1.057,0.5733
68,0.040948,0.008975,0.003685,2.3177,0.080072,8.423,4,0.988,0.5944
69,0.041320,0.009205,0.003871,2.3361,0.079738,8.225,4,0.951,0.6111
70,0.040823,0.008682,0.003818,2.3556,0.079325,8.075,4,0.887,0.6184
71,0.039367,0.007718,0.003690,2.3644,0.079107,7.973,4,0.799,0.5998
72,0.037308,0.006943,0.003654,2.3753,0.078994,7.891,4,0.668,0.6203
73,0.033318,0.006215,0.003628,2.3762,0.078931,7.848,4,0.524,0.6137
74,0.028307,0.005516,0.003601,2.3745,0.078903,7.825,4,0.423,0.6090
75,0.022955,0.004919,0.003584,2.3765,0.078889,7.825,4,0.367,0.6733
76,0.017990,0.004483,0.003568,2.3802,0.078895,7.832,4,0.301,0.7249
77,0.014787,0.004155,0.003557,2.3769,0.078921,7.838,4,0.229,0.8131
78,0.012345,0.003883,0.003559,2.3780,0.078956,7.872,4,0.150,0.8380
79,0.011352,0.003666,0.003560,2.3764,0.078992,7.917,4,0.102,0.8615
80,0.010853,0.003483,0.003557,2.3690,0.079029,7.965,4,0.110,0.8544
81,0.010286,0.003285,0.003553,2.3676,0.079082,8.018,4,0.117,0.8606
82,0.009518,0.003063,0.003551,2.3615,0.079149,8.076,4,0.119,0.8680
83,0.008826,0.002877,0.003533,2.3577,0.079280,8.144,4,0.131,0.8506
84,0.008658,0.002667,0.003484,2.3422,0.079641,8.237,4,0.171,0.7768
85,0.008530,0.002731,0.003516,2.3317,0.080192,8.336,4,0.191,0.7263
86,0.008580,0.003181,0.003694,2.3239,0.080364,8.379,4,0.115,0.8117
87,0.010103,0.003872,0.003834,2.3049,0.080049,8.382,4,0.122,0.8997
88,0.008154,0.003408,0.003750,2.2705,0.079745,8.439,4,0.109,0.8474
89,0.008239,0.002879,0.003676,2.2677,0.079661,8.509,4,0.095,0.8530
90,0.008224,0.002678,0.003663,2.2682,0.079687,8.566,4,0.093,0.8655
91,0.008353,0.002593,0.003669,2.2648,0.079729,8.616,4,0.090,0.8444
92,0.008412,0.002527,0.003685,2.2639,0.079778,8.654,4,0.103,0.8198
93,0.008509,0.002530,0.003700,2.2635,0.079807,8.680,4,0.116,0.8009
94,0.008739,0.002647,0.003726,2.2629,0.079803,8.688,4,0.132,0.7633
95,0.008078,0.003007,0.003743,2.2690,0.079804,8.684,4,0.367,0.7598
96,0.013394,0.004080,0.003679,2.2906,0.079949,8.672,4,0.980,1.1731
97,0.023748,0.005906,0.003716,2.2870,0.080257,8.608,4,1.754,1.2190
98,0.037499,0.010797,0.004152,2.2725,0.080343,8.487,4,2.455,0.9866
99,0.115456,0.020882,0.004826,2.2763,0.080316,8.324,4,3.000,0.6978
100,0.226540,0.038678,0.005953,1.8610,0.080537,8.084,4,6.177,1.0272
101,0.246273,0.046504,0.006348,1.6135,0.079804,7.483,4,6.888,0.7869
102,0.138609,0.033200,0.006936,1.5450,0.078945,6.941,4,3.111,1.3407
103,0.114106,0.017820,0.007248,1.6268,0.078583,6.530,4,2.405,1.5724
104,0.084701,0.024072,0.008327,1.8244,0.078991,5.742,4,2.345,0.8067
105,0.120424,0.024828,0.010725,2.3159,0.080203,4.549,3,3.303,1.4189
106,0.062626,0.019672,0.016286,2.3134,0.082048,3.795,3,1.246,1.2563
107,0.069120,0.022797,0.022165,2.2443,0.083841,2.863,3,1.798,0.9273
108,0.072268,0.024755,0.028874,2.2939,0.085815,1.907,3,1.940,0.9602
109,0.092211,0.025656,0.036123,2.3501,0.087750,0.987,3,2.502,1.0992
110,0.115739,0.027884,0.043786,2.3587,0.089518,0.559,3,3.061,1.1087
111,0.112195,0.027724,0.051689,2.2965,0.090841,1.056,3,3.026,1.3053
112,0.067006,0.022150,0.059639,2.4287,0.091645,1.900,3,1.601,1.8457
113,0.061396,0.016736,0.066259,1.9705,0.092294,2.945,3,1.647,1.7205
114,0.069932,0.015774,0.070897,1.5166,0.092482,4.194,3,1.896,1.3575
115,0.079301,0.016127,0.071908,1.5412,0.091968,5.475,3,2.131,1.5461
116,0.081611,0.016902,0.072973,1.5137,0.091041,6.678,3,2.641,1.6958
117,0.105966,0.024000,0.076161,1.5182,0.090411,7.918,3,2.522,1.9575
118,0.159118,0.030558,0.081536,1.2259,0.088840,8.644,3,3.919,2.2745
119,0.109383,0.022422,0.086921,1.9683,0.087807,9.581,3,2.948,1.4091
120,0.048315,0.015374,0.089432,3.3186,0.087409,10.808,3,1.856,1.6585
121,0.039726,0.012962,0.087837,4.0166,0.085918,11.447,3,1.550,1.9469
122,0.043694,0.011885,0.083990,4.2730,0.083862,11.558,3,1.050,1.5859
123,0.055064,0.011877,0.079738,4.9269,0.081760,11.602,3,1.280,1.4969
124,0.073714,0.013890,0.075360,5.8057,0.079472,11.442,3,1.885,1.5110
125,0.109878,0.016658,0.069716,6.5255,0.076710,11.197,3,2.874,1.3444
126,0.158796,0.030158,0.059138,6.3567,0.074108,10.739,3,4.453,1.1376
127,0.339066,0.052816,0.041965,5.3429,0.072127,10.787,4,12.035,3.0000
128,0.267999,0.050688,0.025637,5.0979,0.066107,9.894,4,7.281,1.5860
129,0.270260,0.045090,0.013795,4.8798,0.058971,7.008,4,7.330,0.6372
130,0.171394,0.034846,0.006409,4.8784,0.052080,2.540,4,4.644,0.4135
131,0.093196,0.026029,0.008705,5.4880,0.048508,0.696,4,5.338,0.5108
132,0.158146,0.029872,0.013162,5.5405,0.049010,0.941,4,6.420,1.6413
133,0.263671,0.031829,0.017327,5.4458,0.049468,0.297,4,7.029,0.4200
134,0.228028,0.029096,0.021773,5.4868,0.049829,0.574,4,7.453,0.4936
135,0.308518,0.029736,0.023512,5.5870,0.050101,0.806,4,5.647,0.7086
136,0.218385,0.032532,0.023565,5.6957,0.050319,0.988,4,6.618,0.7954
137,0.255072,0.032474,0.023529,5.7632,0.050488,1.117,4,6.880,0.7444
138,0.233547,0.028886,0.023516,5.8033,0.050621,1.200,3,7.328,0.7633
139,0.237663,0.023030,0.023528,5.8003,0.050710,1.267,3,7.463,0.7864
140,0.324509,0.023363,0.023533,5.7826,0.050788,1.327,3,4.442,0.7701
141,0.187617,0.016104,0.023475,5.7800,0.050925,1.444,4,2.558,0.8178
142,0.107983,0.014506,0.023083,5.8518,0.051388,1.699,4,1.466,0.8741
143,0.061667,0.010346,0.023136,5.9168,0.052399,2.021,4,1.060,1.2136
144,0.034944,0.006629,0.023043,5.5544,0.053394,1.479,4,0.863,0.4527
145,0.054910,0.008318,0.023151,5.4895,0.053838,1.490,4,1.505,0.5032
146,0.049427,0.007062,0.023328,5.4078,0.054154,1.605,4,1.346,0.4729
