frame,qerr_max,qerr_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,max_jvel,max_torque
0,0.014721,0.001385,0.000957,0.0885,0.226338,0.074,4,0.664,1.2074
1,0.034163,0.002276,0.000934,0.0791,0.226348,0.075,4,2.138,2.1219
2,0.053889,0.003310,0.000938,0.0791,0.226345,0.074,4,3.575,1.6591
3,0.074015,0.004285,0.000938,0.0791,0.226345,0.074,4,4.421,0.8028
4,0.085260,0.004809,0.000939,0.0791,0.226344,0.075,4,4.635,0.2902
5,0.085465,0.004806,0.000938,0.0791,0.226345,0.076,4,4.329,0.5674
6,0.075797,0.004363,0.000939,0.0791,0.226344,0.077,4,3.595,1.0752
7,0.053792,0.003364,0.000937,0.0885,0.226346,0.078,4,2.308,1.8468
8,0.025684,0.002050,0.000938,0.0885,0.226345,0.079,4,0.575,2.3104
9,0.004505,0.001060,0.000937,0.0885,0.226346,0.079,4,1.161,2.1194
10,0.033221,0.002417,0.000938,0.0885,0.226344,0.078,4,2.544,1.5724
11,0.057298,0.003555,0.000938,0.0885,0.226345,0.077,4,3.526,1.0900
12,0.071814,0.004215,0.000939,0.0791,0.226344,0.077,4,4.065,0.5039
13,0.079546,0.004552,0.000939,0.0791,0.226345,0.076,4,4.208,0.2504
14,0.078850,0.004485,0.000939,0.0791,0.226344,0.076,4,3.988,0.4146
15,0.070483,0.004103,0.000938,0.0791,0.226345,0.075,4,3.387,0.9022
16,0.055607,0.003415,0.000938,0.0791,0.226345,0.075,4,2.442,1.3103
17,0.033647,0.002390,0.000937,0.0791,0.226346,0.075,4,1.179,1.7036
18,0.015289,0.001520,0.000938,0.0791,0.226346,0.075,4,0.052,1.2973
