frame,qerr_max,qerr_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,max_jvel,max_torque
0,0.008262,0.001077,0.000957,0.0885,0.226338,0.074,4,0.374,0.6943
1,0.021975,0.001692,0.000933,0.0791,0.226348,0.075,4,1.337,1.4366
2,0.035783,0.002445,0.000937,0.0791,0.226346,0.074,4,2.380,1.2584
3,0.051110,0.003189,0.000938,0.0791,0.226345,0.075,4,3.096,0.7490
4,0.062754,0.003754,0.000937,0.0791,0.226345,0.075,4,3.467,0.3495
5,0.068556,0.004012,0.000939,0.0791,0.226344,0.075,4,3.589,0.2933
6,0.069026,0.004013,0.000938,0.0791,0.226345,0.075,4,3.497,0.2470
7,0.064873,0.003822,0.000938,0.0791,0.226344,0.076,4,3.183,0.4865
8,0.056206,0.003448,0.000937,0.0791,0.226345,0.076,4,2.633,0.7876
9,0.042885,0.002835,0.000938,0.0885,0.226345,0.077,4,1.845,1.0854
10,0.024828,0.002002,0.000937,0.0791,0.226346,0.077,4,0.823,1.3782
11,0.004448,0.001037,0.000938,0.0885,0.226345,0.078,4,0.326,1.4768
12,0.014608,0.001529,0.000937,0.0885,0.226346,0.078,4,1.342,1.2001
13,0.032117,0.002349,0.000938,0.0791,0.226345,0.077,4,2.110,0.8761
14,0.045850,0.002997,0.000937,0.0791,0.226345,0.077,4,2.662,0.6273
15,0.055426,0.003431,0.000939,0.0791,0.226344,0.077,4,3.038,0.4151
16,0.061257,0.003690,0.000938,0.0791,0.226345,0.076,4,3.244,0.2478
17,0.063577,0.003764,0.000939,0.0791,0.226344,0.076,4,3.272,0.2961
18,0.062358,0.003697,0.000938,0.0885,0.226345,0.075,4,3.117,0.2657
19,0.057529,0.003482,0.000938,0.0885,0.226345,0.075,4,2.781,0.4959
20,0.049064,0.003103,0.000937,0.0791,0.226346,0.075,4,2.264,0.7236
21,0.036968,0.002537,0.000938,0.0791,0.226345,0.075,4,1.567,0.9505
22,0.021246,0.001803,0.000937,0.0791,0.226346,0.075,4,0.690,1.1761
23,0.009902,0.001263,0.000938,0.0885,0.226345,0.075,4,0.026,0.7647
