frame,qerr_max,qerr_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,max_jvel,max_torque
0,0.009631,0.001839,0.000956,0.1119,0.226338,0.071,4,0.388,0.5736
1,0.013519,0.001675,0.000931,0.0969,0.226354,0.070,4,1.075,0.8885
2,0.022960,0.003318,0.000934,0.0969,0.226348,0.070,4,1.891,0.7613
3,0.045196,0.006081,0.000934,0.0885,0.226347,0.069,4,2.727,0.5218
4,0.073354,0.009460,0.000934,0.0885,0.226348,0.068,4,3.603,0.4639
5,0.109106,0.013176,0.000935,0.0791,0.226348,0.070,4,4.277,0.3812
6,0.136943,0.015674,0.000935,0.0791,0.226348,0.076,4,4.777,0.5662
7,0.158245,0.016347,0.000937,0.0791,0.226345,0.084,4,5.129,1.3280
8,0.195827,0.015236,0.000952,0.2341,0.226390,0.112,4,4.483,0.3387
9,0.189184,0.013730,0.000942,0.0560,0.226356,0.067,4,3.132,0.2554
10,0.141075,0.012537,0.000917,0.0685,0.226365,0.078,4,1.849,0.2751
11,0.084823,0.009940,0.000928,0.0685,0.226359,0.075,4,1.139,0.2855
12,0.052019,0.007523,0.000922,0.0685,0.226362,0.076,4,1.209,0.2767
13,0.043133,0.006493,0.000924,0.0685,0.226361,0.076,4,1.193,0.2669
14,0.043053,0.005991,0.000923,0.0685,0.226362,0.076,4,1.078,0.2790
15,0.041497,0.004916,0.000923,0.0685,0.226361,0.076,4,0.879,0.2678
16,0.036910,0.003801,0.000923,0.0685,0.226362,0.076,4,0.605,0.2792
17,0.027209,0.002975,0.000924,0.0685,0.226361,0.076,4,0.354,0.2687
18,0.016444,0.002447,0.000923,0.0685,0.226362,0.076,4,0.204,0.2789
19,0.010211,0.002026,0.000924,0.0685,0.226361,0.076,4,0.118,0.2683
20,0.006603,0.001675,0.000923,0.0685,0.226362,0.076,4,0.069,0.2793
21,0.006288,0.001455,0.000924,0.0685,0.226361,0.076,4,0.048,0.2684
22,0.006138,0.001429,0.000923,0.0685,0.226362,0.076,4,0.038,0.2789
23,0.006047,0.001362,0.000924,0.0685,0.226361,0.076,4,0.033,0.2684
24,0.005997,0.001321,0.000923,0.0685,0.226362,0.076,4,0.038,0.2790
25,0.005966,0.001355,0.000924,0.0685,0.226361,0.076,4,0.033,0.2684
26,0.005950,0.001364,0.000923,0.0685,0.226362,0.076,4,0.038,0.2795
27,0.005938,0.001345,0.000924,0.0685,0.226361,0.076,4,0.033,0.2684
