frame,qerr_max,qerr_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,max_jvel,max_torque
0,0.012984,0.002258,0.000956,0.1187,0.226338,0.071,4,0.518,0.7641
1,0.023191,0.002654,0.000932,0.1312,0.226353,0.071,4,1.737,1.6265
2,0.037906,0.004693,0.000937,0.1312,0.226346,0.070,4,3.175,1.4338
3,0.076124,0.009300,0.000936,0.1047,0.226347,0.068,4,4.531,0.7746
4,0.129419,0.015255,0.000939,0.0885,0.226345,0.069,4,5.645,0.5070
5,0.176686,0.019612,0.000930,0.0885,0.226352,0.085,4,6.403,2.0214
6,0.240095,0.021208,0.001163,0.4942,0.226466,0.218,4,5.718,0.6878
7,0.254920,0.019986,0.001036,0.3561,0.226395,0.077,4,3.412,0.4253
8,0.151186,0.013827,0.000912,0.1312,0.226391,0.061,4,1.983,0.2871
9,0.090669,0.012436,0.000942,0.1978,0.226386,0.065,4,1.415,0.4147
10,0.055373,0.010308,0.000935,0.1813,0.226387,0.064,4,1.310,0.2805
11,0.047931,0.007529,0.000935,0.1897,0.226387,0.064,4,1.146,0.2814
12,0.044308,0.005626,0.000934,0.1897,0.226387,0.064,4,0.918,0.2786
13,0.038523,0.004997,0.000934,0.1856,0.226388,0.064,4,0.627,0.2784
14,0.028130,0.003874,0.000934,0.1897,0.226388,0.064,4,0.367,0.2789
15,0.016963,0.002619,0.000935,0.1897,0.226387,0.064,4,0.269,0.2792
16,0.010499,0.002259,0.000935,0.1856,0.226387,0.064,4,0.180,0.2790
17,0.009091,0.002175,0.000935,0.1856,0.226387,0.064,4,0.070,0.2791
18,0.006934,0.001924,0.000935,0.1856,0.226387,0.064,4,0.090,0.2789
19,0.006229,0.001614,0.000935,0.1897,0.226387,0.064,4,0.115,0.2786
20,0.006066,0.001536,0.000934,0.1897,0.226387,0.064,4,0.068,0.2790
21,0.005971,0.001562,0.000934,0.1897,0.226387,0.064,4,0.032,0.2791
22,0.005915,0.001489,0.000934,0.1897,0.226387,0.064,4,0.045,0.2792
23,0.005883,0.001432,0.000935,0.1897,0.226387,0.064,4,0.050,0.2786
24,0.005864,0.001501,0.000935,0.1856,0.226387,0.064,4,0.032,0.2792
25,0.005853,0.001514,0.000935,0.1856,0.226387,0.064,4,0.032,0.2790
26,0.005846,0.001482,0.000935,0.1897,0.226387,0.064,4,0.032,0.2792
27,0.005842,0.001438,0.000935,0.1897,0.226387,0.064,4,0.032,0.2786
28,0.005839,0.001409,0.000935,0.1856,0.226387,0.064,4,0.032,0.2789
29,0.005838,0.001405,0.000935,0.1897,0.226387,0.064,4,0.032,0.2791
30,0.005836,0.001421,0.000935,0.1897,0.226387,0.064,4,0.032,0.2790
31,0.005835,0.001439,0.000935,0.1856,0.226387,0.064,4,0.032,0.2788
32,0.005834,0.001451,0.000935,0.1856,0.226387,0.064,4,0.032,0.2788
33,0.005834,0.001450,0.000935,0.1897,0.226387,0.064,4,0.032,0.2788
34,0.005834,0.001443,0.000935,0.1897,0.226387,0.064,4,0.032,0.2791
35,0.005833,0.001435,0.000935,0.1897,0.226387,0.064,4,0.032,0.2791
36,0.005832,0.001431,0.000935,0.1897,0.226387,0.064,4,0.032,0.2787
37,0.005831,0.001431,0.000935,0.1897,0.226387,0.064,4,0.032,0.2785
38,0.005831,0.001434,0.000935,0.1856,0.226387,0.064,4,0.032,0.2790
39,0.005830,0.001437,0.000935,0.1897,0.226387,0.064,4,0.032,0.2786
40,0.005830,0.001438,0.000935,0.1897,0.226387,0.064,4,0.032,0.2791
41,0.005829,0.001437,0.000935,0.1897,0.226387,0.064,4,0.032,0.2789
42,0.005829,0.001434,0.000935,0.1856,0.226387,0.064,4,0.032,0.2788
43,0.005829,0.001433,0.000935,0.1897,0.226387,0.064,4,0.032,0.2792
44,0.005828,0.001431,0.000935,0.1897,0.226387,0.064,4,0.032,0.2783
45,0.005828,0.001431,0.000935,0.1856,0.226387,0.064,4,0.032,0.2788
46,0.005828,0.001430,0.000935,0.1897,0.226387,0.064,4,0.032,0.2790
47,0.005828,0.001431,0.000935,0.1856,0.226387,0.064,4,0.032,0.2785
48,0.005827,0.001443,0.000935,0.1856,0.226387,0.064,4,0.032,0.2786
49,0.005827,0.001448,0.000935,0.1897,0.226387,0.064,4,0.056,0.2791
50,0.006889,0.001854,0.000935,0.1897,0.226387,0.064,4,0.273,0.2790
51,0.006342,0.001722,0.000935,0.1897,0.226387,0.064,4,0.702,0.2793
52,0.010868,0.002297,0.000938,0.1978,0.226387,0.067,4,1.185,0.6524
53,0.056100,0.008745,0.001030,0.3976,0.226410,0.132,4,2.265,4.1859
54,0.047580,0.007986,0.001152,0.5539,0.226434,0.152,4,4.802,1.4783
55,0.123044,0.015204,0.000936,0.1631,0.226374,0.035,4,6.336,0.7911
56,0.200294,0.020097,0.000908,0.0396,0.226385,0.031,4,6.657,1.4353
57,0.235441,0.021825,0.000926,0.0885,0.226383,0.033,4,5.936,1.2214
58,0.234689,0.020945,0.000924,0.0791,0.226385,0.036,4,4.244,1.2283
59,0.179355,0.016447,0.000931,0.0969,0.226385,0.035,4,2.491,0.8128
60,0.103380,0.010615,0.000937,0.1312,0.226385,0.033,4,1.447,0.2977
61,0.059255,0.007144,0.000939,0.1427,0.226385,0.034,4,0.898,0.3031
62,0.033724,0.005030,0.000937,0.1371,0.226385,0.033,4,0.608,0.3041
63,0.025561,0.003558,0.000936,0.1312,0.226385,0.033,4,0.277,0.3035
64,0.020011,0.002655,0.000936,0.1312,0.226385,0.033,4,0.158,0.3028
