frame,qerr_max,qerr_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,max_jvel,max_torque
0,0.022333,0.002159,0.000971,0.0791,0.226333,0.070,4,1.103,0.8441
1,0.015622,0.001954,0.000933,0.0685,0.226348,0.071,4,3.314,1.1509
2,0.020940,0.002620,0.000945,0.0685,0.226340,0.071,4,6.018,1.3224
3,0.043033,0.004050,0.000945,0.0685,0.226339,0.070,4,7.516,0.3252
4,0.135377,0.008716,0.000941,0.0885,0.226341,0.070,4,6.600,0.8707
5,0.179188,0.010996,0.000937,0.0885,0.226344,0.069,4,2.834,2.2651
6,0.207281,0.012391,0.000934,0.0885,0.226348,0.070,4,2.070,2.2815
7,0.103457,0.007492,0.000937,0.0885,0.226345,0.071,4,6.139,1.6560
8,0.043043,0.003477,0.000939,0.0885,0.226343,0.073,4,7.932,0.7552
9,0.148501,0.009744,0.000938,0.0791,0.226343,0.074,4,7.264,0.9188
10,0.206271,0.012431,0.000935,0.0791,0.226347,0.076,4,4.887,1.3509
11,0.101663,0.007319,0.000928,0.0685,0.226355,0.078,4,1.050,1.1015
12,0.028886,0.002512,0.000932,0.0885,0.226349,0.079,4,0.729,1.4880
13,0.014396,0.001762,0.000927,0.0791,0.226355,0.079,4,1.624,0.5157
14,0.021260,0.001920,0.000939,0.0791,0.226346,0.080,4,3.326,0.9711
15,0.017997,0.002025,0.000930,0.0791,0.226352,0.081,4,5.092,1.4956
16,0.067215,0.004167,0.000931,0.0791,0.226351,0.080,4,5.938,1.6076
17,0.114287,0.006587,0.000932,0.0885,0.226349,0.079,4,5.231,1.2266
18,0.156857,0.008956,0.000931,0.0885,0.226350,0.077,4,3.251,1.0930
19,0.131817,0.007986,0.000931,0.0885,0.226350,0.077,4,1.630,1.6667
20,0.112583,0.007113,0.000930,0.0885,0.226351,0.076,4,3.045,1.3641
21,0.022805,0.002593,0.000934,0.0791,0.226347,0.076,4,5.464,0.9842
22,0.055358,0.004388,0.000936,0.0791,0.226346,0.076,4,6.523,0.3763
23,0.133876,0.008043,0.000938,0.0791,0.226345,0.076,4,6.118,0.4244
24,0.163508,0.009307,0.000939,0.0791,0.226345,0.076,4,4.461,0.9862
25,0.103738,0.006389,0.000935,0.0685,0.226348,0.075,4,1.054,0.2791
26,0.009511,0.001278,0.000948,0.0791,0.226342,0.077,4,0.792,0.4138
27,0.007086,0.001113,0.000939,0.0791,0.226348,0.075,4,1.889,0.5909
28,0.020204,0.002005,0.000950,0.0685,0.226341,0.077,4,3.599,0.9299
29,0.025681,0.002484,0.000944,0.0791,0.226345,0.075,4,5.209,0.6489
30,0.076153,0.005360,0.000943,0.0791,0.226343,0.075,4,5.878,0.2792
31,0.117847,0.007664,0.000940,0.0685,0.226345,0.075,4,5.024,0.6993
32,0.157876,0.009764,0.000935,0.0791,0.226347,0.075,4,3.021,1.0722
33,0.124281,0.008389,0.000932,0.0791,0.226349,0.075,4,1.620,1.6664
34,0.107634,0.007624,0.000933,0.0791,0.226349,0.076,4,3.239,1.3503
35,0.042573,0.003165,0.000932,0.0791,0.226349,0.077,4,5.572,0.9290
36,0.061481,0.005565,0.000934,0.0791,0.226348,0.078,4,6.516,0.7988
37,0.137733,0.009229,0.000933,0.0791,0.226348,0.079,4,6.040,0.9056
38,0.162704,0.010305,0.000931,0.0791,0.226351,0.080,4,4.325,1.1450
39,0.098689,0.007182,0.000929,0.0685,0.226352,0.080,4,1.022,1.0568
40,0.027452,0.002421,0.000929,0.0885,0.226352,0.082,4,0.805,1.5616
41,0.012400,0.001603,0.000928,0.0791,0.226354,0.081,4,2.033,0.6537
42,0.018086,0.001830,0.000936,0.0791,0.226348,0.082,4,3.783,1.2743
43,0.029621,0.002480,0.000927,0.0791,0.226355,0.083,4,5.319,1.7226
44,0.081916,0.004906,0.000929,0.0791,0.226352,0.082,4,5.880,1.6106
45,0.120576,0.007199,0.000931,0.0885,0.226350,0.080,4,4.900,1.2534
46,0.160413,0.009408,0.000930,0.0885,0.226351,0.079,4,2.851,1.0696
47,0.118834,0.007662,0.000931,0.0885,0.226351,0.078,4,1.929,1.7009
48,0.104802,0.006994,0.000931,0.0885,0.226351,0.077,4,3.505,1.3674
49,0.027296,0.002336,0.000936,0.0791,0.226347,0.077,4,5.810,0.8971
50,0.068973,0.005098,0.000941,0.0885,0.226344,0.077,4,6.666,0.2544
51,0.144784,0.008581,0.000943,0.0791,0.226344,0.077,4,6.112,0.4784
52,0.164825,0.009268,0.000950,0.0685,0.226343,0.077,4,4.250,1.1067
53,0.073130,0.004770,0.000941,0.0791,0.226348,0.076,4,0.488,0.2846
54,0.008718,0.001229,0.000944,0.0791,0.226345,0.078,4,0.094,0.3272
