frame,qerr_max,qerr_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,max_jvel,max_torque
0,0.009819,0.001413,0.000661,0.0123,0.170113,4.464,2,1.178,1.5946
1,0.016814,0.002365,0.001987,0.0472,0.168793,4.426,2,2.434,1.7164
2,0.022594,0.004033,0.003551,0.1207,0.167502,4.458,2,3.889,1.9648
3,0.024873,0.004911,0.005371,0.4235,0.166603,4.526,2,4.961,3.0000
4,0.024927,0.005334,0.007408,0.7576,0.165978,4.514,2,5.774,2.2658
5,0.024013,0.005934,0.009631,1.0907,0.165454,4.427,2,6.258,3.0000
6,0.030030,0.006369,0.011955,1.4457,0.165048,4.312,3,6.591,3.0000
7,0.037455,0.006915,0.014443,1.7558,0.164664,4.160,3,6.757,3.0000
8,0.044054,0.007431,0.017097,1.9969,0.164268,3.965,3,6.855,3.0000
9,0.050352,0.007848,0.019915,2.1828,0.163842,3.735,3,7.231,3.0000
10,0.058101,0.008241,0.022983,2.3297,0.163483,3.506,3,7.592,3.0000
11,0.067104,0.008392,0.026251,2.4476,0.163211,3.281,3,7.457,3.0000
12,0.076457,0.008245,0.029563,2.5499,0.162986,3.062,3,6.659,3.0000
13,0.085258,0.007738,0.032886,2.6195,0.162825,2.835,3,5.278,3.0000
14,0.087666,0.007248,0.036396,2.5648,0.162991,2.484,3,3.673,3.0000
15,0.084412,0.007849,0.040015,2.5481,0.163354,2.010,4,2.394,3.0000
16,0.076901,0.007760,0.043563,2.7080,0.163802,1.479,4,2.298,3.0000
17,0.064553,0.007436,0.046927,3.0269,0.164337,0.951,4,3.121,3.0000
18,0.040103,0.006682,0.050239,3.3398,0.165313,0.791,4,4.251,3.0000
19,0.015843,0.006180,0.053479,3.6089,0.166283,1.011,4,3.859,2.9024
20,0.024320,0.007185,0.056685,3.7811,0.167232,1.268,3,1.991,3.0000
21,0.027964,0.007931,0.059705,3.8872,0.168099,1.490,3,3.021,3.0000
22,0.027476,0.008031,0.062478,3.9519,0.168852,1.662,3,4.621,3.0000
23,0.028558,0.007589,0.064956,3.9937,0.169517,1.788,3,5.996,3.0000
24,0.027805,0.007020,0.067157,4.0251,0.170142,1.868,3,6.773,3.0000
25,0.026075,0.006940,0.069103,4.0590,0.170713,1.927,3,7.111,3.0000
26,0.026308,0.007029,0.070816,4.1093,0.171246,1.970,3,7.180,3.0000
27,0.030617,0.007422,0.072311,4.2005,0.171761,2.007,3,7.042,3.0000
28,0.034465,0.007717,0.073599,4.3295,0.172108,2.036,3,6.852,3.0000
