frame,qerr_max,qerr_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,max_jvel,max_torque
0,0.007479,0.001069,0.000641,0.0000,0.170132,4.464,1,0.898,1.2209
1,0.010872,0.001721,0.001514,0.1431,0.169256,4.376,2,1.631,1.0007
2,0.015653,0.002601,0.002603,0.3472,0.168198,4.228,2,2.396,1.7945
3,0.022799,0.003624,0.003817,0.5711,0.167036,4.034,3,3.136,2.6277
4,0.027867,0.004226,0.004976,0.8526,0.166028,3.721,3,3.422,3.0000
5,0.025804,0.004243,0.005895,1.2687,0.165848,3.124,4,4.359,3.0000
6,0.023196,0.004438,0.007222,1.7824,0.165697,2.438,4,4.889,2.2400
7,0.021845,0.004520,0.008949,2.3550,0.165397,1.706,4,5.013,1.8180
8,0.021038,0.004592,0.010936,2.9807,0.164970,0.936,4,5.139,2.1512
9,0.020370,0.004616,0.013161,3.6601,0.164506,0.312,4,5.179,2.1600
10,0.018337,0.004456,0.015641,4.3843,0.164076,0.964,4,5.298,2.0197
11,0.019182,0.003772,0.018556,4.9721,0.164052,1.779,4,5.442,1.3915
12,0.021409,0.003846,0.022069,5.4725,0.164264,2.528,4,5.639,1.6964
13,0.022164,0.004145,0.026077,5.8905,0.164587,3.191,4,5.786,1.2338
14,0.019876,0.004206,0.030475,6.2361,0.164901,3.781,4,5.711,1.2611
15,0.016710,0.004266,0.035049,6.5248,0.165127,4.310,4,5.407,0.9326
16,0.013533,0.004210,0.039672,6.7554,0.165353,4.773,4,4.921,1.9401
17,0.008698,0.003667,0.044321,6.9471,0.165604,5.192,4,3.900,1.7026
18,0.007922,0.003299,0.049049,7.1302,0.165832,5.593,4,3.034,1.3509
19,0.009591,0.003170,0.053811,7.3209,0.165994,5.989,4,2.235,1.2790
20,0.011899,0.003377,0.058617,7.5069,0.166094,6.367,4,2.094,1.5488
21,0.016022,0.003624,0.063409,7.6965,0.166110,6.729,4,1.910,2.3037
22,0.021361,0.003904,0.068073,7.8985,0.166048,7.073,4,1.619,3.0000
23,0.028291,0.004392,0.072598,8.1014,0.165980,7.386,4,1.329,3.0000
24,0.037745,0.005148,0.076955,8.3048,0.165898,7.668,4,1.204,3.0000
25,0.049825,0.006251,0.081139,8.5095,0.165804,7.920,4,1.308,3.0000
26,0.063886,0.008026,0.085117,8.7235,0.165711,8.146,4,1.476,3.0000
27,0.073936,0.009322,0.088878,8.9612,0.165627,8.354,4,1.918,3.0000
28,0.081536,0.010357,0.092391,9.2168,0.165551,8.550,3,2.882,3.0000
29,0.087977,0.011129,0.095647,9.4927,0.165480,8.739,3,3.802,3.0000
30,0.094687,0.011803,0.098640,9.7931,0.165413,8.924,3,4.698,3.0000
31,0.102718,0.012292,0.101388,10.1337,0.165338,9.114,3,5.154,3.0000
32,0.112250,0.012922,0.103882,10.5087,0.165243,9.312,3,5.449,3.0000
33,0.123355,0.013537,0.106121,10.9248,0.165116,9.526,3,5.532,3.0000
34,0.136114,0.014205,0.108113,11.3885,0.164952,9.761,3,5.478,3.0000
35,0.150875,0.014794,0.109835,11.8995,0.164727,10.016,3,5.375,3.0000
36,0.167701,0.015302,0.111260,12.4452,0.164443,10.286,2,5.269,3.0000
37,0.185909,0.015625,0.112365,13.0179,0.164077,10.568,2,5.446,3.0000
38,0.205131,0.015734,0.113130,13.6056,0.163632,10.854,2,5.925,3.0000
39,0.218857,0.015851,0.113804,14.1254,0.163173,11.086,2,4.952,3.0000
40,0.228379,0.015918,0.114367,14.5416,0.162793,11.236,2,5.013,3.0000
41,0.236951,0.016097,0.114845,14.8414,0.162584,11.299,1,5.037,3.0000
42,0.243828,0.016170,0.115157,15.0668,0.162351,11.310,2,5.115,3.0000
43,0.249468,0.016033,0.115236,15.2299,0.162073,11.278,2,5.121,3.0000
44,0.253826,0.015944,0.115058,15.3357,0.161728,11.213,2,5.131,3.0000
45,0.255799,0.015884,0.114603,15.3996,0.161302,11.133,3,5.104,3.0000
