frame,qerr_max,qerr_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,max_jvel,max_torque
0,0.007371,0.001712,0.001046,0.5364,0.086665,1.677,4,0.135,1.0149
1,0.006271,0.001761,0.000913,0.4635,0.086781,1.704,4,0.087,0.6290
2,0.006499,0.001978,0.000926,0.4449,0.086753,1.742,4,0.096,0.7835
3,0.008780,0.002108,0.000957,0.4308,0.086789,1.743,4,0.203,0.7845
4,0.015192,0.003027,0.001029,0.3903,0.086983,1.764,4,0.359,0.7859
5,0.021029,0.004648,0.001049,0.3434,0.087762,1.780,4,0.515,0.7283
6,0.030382,0.007138,0.001233,0.3528,0.089723,2.106,4,0.878,0.5146
7,0.052809,0.014501,0.002750,1.9485,0.093636,3.571,4,1.514,2.3546
8,0.081041,0.027815,0.005099,4.2854,0.100721,7.209,4,4.406,4.4205
9,0.124320,0.041755,0.008852,6.3377,0.110375,12.732,4,7.037,2.7474
10,0.159521,0.050435,0.011351,7.5643,0.121210,19.164,4,5.915,3.1253
11,0.195563,0.053238,0.011479,8.4807,0.133957,26.228,4,4.716,3.0000
12,0.225456,0.057774,0.009356,9.1388,0.146405,32.666,3,5.124,1.7394
13,0.193990,0.049121,0.009351,9.0474,0.154788,37.201,3,4.398,2.3591
14,0.125075,0.038576,0.011412,8.1839,0.159443,39.553,3,4.399,1.1478
15,0.094420,0.025662,0.016210,7.4006,0.159906,39.517,4,3.930,0.7331
16,0.124073,0.027303,0.022857,7.7252,0.161713,39.897,4,2.750,1.4854
17,0.123241,0.026215,0.027063,8.3030,0.163337,40.875,3,2.110,1.3462
18,0.089636,0.019332,0.028146,9.1102,0.164589,41.559,3,1.973,0.9105
19,0.076397,0.014174,0.028967,10.4998,0.165070,42.824,2,1.678,0.6427
20,0.069412,0.013996,0.033105,11.7870,0.165655,43.454,2,1.336,0.6622
21,0.059966,0.015285,0.037854,13.4202,0.165648,43.986,2,0.916,0.6054
22,0.072932,0.020801,0.042314,16.0447,0.164172,44.005,2,1.706,1.7688
23,0.168721,0.038632,0.043628,19.8988,0.159990,43.236,2,3.741,1.7818
24,0.239431,0.049928,0.041649,25.7638,0.155389,42.817,1,5.755,6.0000
25,0.227631,0.051296,0.046068,28.8762,0.153412,44.012,1,6.129,1.0623
26,0.234499,0.052694,0.064883,34.9546,0.149042,47.527,1,4.944,3.1853
27,0.219162,0.062078,0.091678,40.4987,0.140682,52.710,1,3.426,1.4498
28,0.144879,0.056467,0.118825,48.6077,0.125761,60.204,1,2.714,0.9503
29,0.180199,0.044530,0.133253,58.0066,0.113191,68.746,2,3.902,0.9709
30,0.179749,0.036065,0.136729,69.6339,0.101813,79.624,2,4.012,1.7575
31,0.108000,0.033730,0.144859,85.6708,0.091083,94.198,0,3.090,2.7192
32,0.107555,0.032343,0.172275,98.5524,0.089195,105.728,0,17.798,1.9374
33,0.187937,0.045650,0.214129,106.4076,0.096219,111.083,0,3.404,1.4019
34,0.204613,0.046372,0.246050,110.4309,0.099521,112.602,0,3.747,1.4684
35,0.195652,0.048067,0.259194,110.1500,0.097106,110.275,0,3.078,0.6091
36,0.179405,0.045405,0.259377,105.9451,0.087698,104.952,0,2.004,1.0508
37,0.105123,0.032052,0.254451,106.2163,0.087638,105.052,0,2.203,0.6697
38,0.108151,0.018911,0.253608,107.4765,0.086817,106.508,0,1.778,0.5468
39,0.164357,0.025258,0.257238,108.1447,0.086376,107.488,0,2.066,0.6505
40,0.200003,0.034706,0.260013,108.2017,0.086115,107.815,0,1.704,0.5975
41,0.184440,0.034947,0.262558,107.9910,0.086300,107.740,0,1.239,0.6068
42,0.112993,0.028095,0.264167,107.5845,0.086630,107.311,0,1.337,0.4427
43,0.082217,0.021855,0.265487,107.3751,0.086558,107.071,0,1.151,0.4567
44,0.099672,0.016875,0.266382,107.3910,0.086315,107.047,0,0.785,0.4057
45,0.145211,0.015200,0.266957,107.4911,0.086029,107.097,0,0.391,0.3960
46,0.201302,0.017638,0.267215,107.5943,0.085858,107.150,0,0.170,0.4110
47,0.249734,0.023037,0.267140,107.6460,0.085744,107.173,0,0.195,0.5298
48,0.271733,0.025580,0.266865,107.7001,0.085571,107.217,0,0.236,0.6903
49,0.275427,0.025708,0.266576,107.8131,0.085469,107.331,0,0.381,0.7536
50,0.277722,0.025992,0.266393,107.9373,0.085518,107.451,0,0.435,0.8458
51,0.285937,0.027040,0.265956,107.8743,0.085682,107.333,0,0.722,1.3591
52,0.299767,0.028278,0.263959,107.3609,0.086830,106.864,0,1.867,2.3568
53,0.297425,0.025650,0.259707,105.3729,0.089385,105.196,0,2.894,1.6507
54,0.279493,0.030113,0.254855,102.6111,0.092241,102.935,1,2.883,0.5968
55,0.255464,0.028722,0.251089,100.3017,0.094455,101.192,1,1.949,1.1852
56,0.224339,0.030679,0.249291,98.6956,0.095704,100.304,1,2.671,1.1021
57,0.219520,0.040375,0.250020,97.3466,0.095976,99.907,1,3.823,0.4731
58,0.251361,0.046382,0.252847,96.4698,0.095634,99.879,1,3.922,0.4528
59,0.251227,0.042526,0.255349,95.8755,0.095294,99.629,1,3.155,0.4897
60,0.251299,0.035364,0.257096,95.5795,0.095017,99.353,1,2.180,0.5010
61,0.251306,0.028666,0.258395,95.4321,0.094868,99.204,1,1.378,0.4963
62,0.251286,0.024132,0.259352,95.3764,0.094789,99.133,1,0.827,0.5009
63,0.251326,0.021229,0.260042,95.3682,0.094733,99.107,1,0.574,0.4902
64,0.251286,0.019454,0.260492,95.3720,0.094691,99.100,1,0.810,0.5074
65,0.251338,0.018538,0.260771,95.3698,0.094655,99.092,1,1.074,0.5159
66,0.251278,0.018233,0.260882,95.3581,0.094626,99.076,1,1.322,0.5281
67,0.251083,0.019247,0.260834,95.3528,0.094595,99.054,1,1.472,0.6354
68,0.251194,0.021089,0.260638,95.4319,0.094608,99.102,1,1.412,0.6906
69,0.250977,0.024604,0.260248,95.6341,0.094713,99.258,1,1.102,0.6807
70,0.245205,0.028957,0.259246,95.9793,0.094999,99.560,1,2.048,0.6936
71,0.220718,0.034190,0.257323,96.5961,0.095583,100.050,1,3.092,0.6290
72,0.203421,0.033715,0.255188,97.3023,0.096005,100.674,1,3.234,0.6238
73,0.206941,0.029652,0.253456,98.0945,0.095888,101.623,1,2.043,0.7280
74,0.211737,0.030595,0.254610,98.8615,0.095183,102.799,1,2.444,0.7333
75,0.235646,0.038801,0.255737,99.5158,0.094065,103.974,1,3.231,0.5992
76,0.284944,0.046423,0.258118,100.0488,0.092932,105.079,2,3.501,0.2780
77,0.308490,0.052809,0.262226,100.2492,0.092844,105.888,2,2.971,0.3441
78,0.313920,0.052246,0.267474,100.3233,0.093108,106.442,2,2.153,0.2276
79,0.313362,0.046462,0.271130,100.5515,0.093145,106.984,1,1.852,0.2273
80,0.321388,0.041178,0.274393,100.9348,0.092792,107.526,1,1.169,0.2694
81,0.339973,0.039366,0.278258,101.4296,0.092062,108.075,1,1.059,0.2561
82,0.337006,0.039443,0.282248,101.6654,0.091253,108.339,1,0.904,0.2374
83,0.289884,0.037690,0.286483,101.4803,0.090454,108.189,1,1.246,0.3472
84,0.248425,0.037054,0.290707,101.2431,0.089470,108.011,1,1.692,0.4982
85,0.252079,0.043153,0.293877,101.2268,0.089038,108.051,0,1.965,0.3106
86,0.261126,0.049141,0.296792,101.1217,0.088630,107.986,0,2.076,0.6150
87,0.256330,0.052370,0.300945,101.2671,0.088380,108.158,0,2.620,0.7186
88,0.242119,0.052144,0.306249,101.8500,0.088272,108.782,0,3.239,0.8576
89,0.255135,0.050764,0.312070,102.5908,0.088210,109.617,0,3.223,2.5469
90,0.277508,0.046661,0.318729,103.1611,0.087968,110.362,0,3.076,1.9108
91,0.280505,0.053909,0.326473,104.4040,0.087653,110.980,0,3.952,0.9404
92,0.280260,0.049943,0.333040,106.2772,0.087927,111.092,0,3.955,0.7651
93,0.257108,0.043270,0.337639,108.1535,0.088420,110.864,0,2.952,1.0552
94,0.227032,0.036213,0.341845,109.8620,0.088914,110.769,0,1.721,1.9002
95,0.153127,0.030850,0.347753,110.7972,0.089091,110.906,0,1.855,1.4661
96,0.112807,0.027410,0.351198,111.0397,0.089125,111.118,0,1.284,0.6078
97,0.112979,0.024267,0.354856,111.1889,0.089156,111.261,0,1.179,0.6799
98,0.112719,0.021696,0.357883,111.2424,0.089217,111.315,0,0.992,0.7684
99,0.112855,0.019077,0.359996,111.2625,0.089315,111.336,0,0.853,0.7851
100,0.112834,0.018494,0.361534,111.2618,0.089367,111.336,0,0.704,0.8260
101,0.113011,0.018134,0.362356,111.2802,0.089320,111.350,0,0.538,0.7962
102,0.112919,0.017089,0.362182,111.3190,0.089200,111.381,0,0.390,0.7720
103,0.112987,0.015464,0.360825,111.3534,0.089103,111.409,0,0.294,0.7212
104,0.113016,0.013931,0.360569,111.3452,0.089044,111.398,0,0.188,0.6886
