frame,qerr_max,qerr_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,max_jvel,max_torque
0,0.007371,0.001712,0.001046,0.5364,0.086665,1.677,4,0.135,1.0149
1,0.006271,0.001761,0.000913,0.4635,0.086781,1.704,4,0.087,0.6290
2,0.006499,0.001978,0.000926,0.4449,0.086753,1.742,4,0.096,0.7835
3,0.008780,0.002108,0.000957,0.4308,0.086789,1.743,4,0.203,0.7845
4,0.015192,0.003027,0.001029,0.3903,0.086983,1.764,4,0.359,0.7859
5,0.021029,0.004648,0.001049,0.3434,0.087762,1.780,4,0.515,0.7283
6,0.008793,0.002452,0.001466,0.2926,0.088496,1.800,4,0.311,0.6354
7,0.008757,0.002610,0.002172,0.2458,0.089191,1.942,4,0.294,0.5943
8,0.008841,0.002665,0.003129,0.3259,0.089854,2.063,4,0.306,0.5998
9,0.015817,0.004600,0.003635,0.7674,0.091163,2.486,4,0.546,0.7864
10,0.016360,0.004681,0.004353,0.8691,0.092447,3.013,4,0.788,0.5832
11,0.016531,0.004961,0.005299,1.0123,0.093777,3.568,4,0.799,0.6553
12,0.030273,0.009345,0.005985,1.7884,0.096142,4.772,4,1.399,1.0996
13,0.028204,0.009115,0.007219,1.8897,0.098442,6.024,4,1.893,0.9058
14,0.034375,0.009551,0.008249,1.9311,0.100879,7.188,4,1.920,0.8150
15,0.044708,0.013976,0.008769,2.5065,0.104226,8.905,4,2.149,0.7863
16,0.043421,0.013711,0.009341,2.6117,0.107379,10.733,4,2.363,0.7367
17,0.045922,0.014301,0.010167,2.7774,0.110431,12.572,4,2.380,0.7822
18,0.050477,0.017455,0.010689,3.3936,0.114115,14.886,4,1.771,1.0712
19,0.048249,0.018277,0.011083,3.6642,0.117648,17.137,4,1.303,0.9769
20,0.047962,0.019388,0.011505,3.7862,0.121183,19.149,4,1.418,1.7449
21,0.056115,0.020898,0.011440,4.2525,0.125554,21.544,4,1.437,1.9706
22,0.062059,0.022519,0.008449,4.6058,0.130651,23.936,4,1.379,1.3625
23,0.058872,0.022690,0.005376,4.7141,0.134670,25.916,4,1.385,2.0275
24,0.066137,0.022225,0.003572,4.6854,0.138634,27.864,4,1.353,1.5206
25,0.062068,0.021814,0.007777,4.4550,0.142326,29.681,4,1.380,2.4134
26,0.066103,0.021763,0.015473,4.0766,0.146343,31.696,4,1.368,1.5184
27,0.061655,0.017747,0.023453,3.4280,0.149444,33.233,4,1.329,1.1342
28,0.063836,0.017522,0.032219,3.0204,0.152059,34.712,4,1.584,1.4763
29,0.063894,0.018551,0.041344,2.8670,0.154292,36.043,4,1.951,1.3608
30,0.041212,0.014736,0.049428,2.9295,0.155656,36.805,4,1.707,1.1369
31,0.050736,0.015947,0.055479,3.1749,0.156792,37.530,4,1.258,0.9308
32,0.046243,0.015768,0.060919,3.8256,0.157857,38.215,4,1.285,0.9426
33,0.048871,0.011743,0.065298,4.6945,0.158503,38.558,4,1.228,0.7821
34,0.046129,0.011152,0.067872,5.2712,0.159083,38.927,4,1.184,0.8805
35,0.044800,0.010103,0.070111,5.6224,0.159654,39.309,4,1.158,0.9187
36,0.047961,0.009451,0.071930,5.7412,0.159963,39.529,4,0.996,0.9707
37,0.040988,0.009048,0.072552,5.7337,0.160272,39.768,4,0.895,1.0085
38,0.036974,0.008498,0.073153,5.7492,0.160567,40.000,4,0.837,1.0009
39,0.039591,0.008159,0.073667,5.8229,0.160745,40.151,4,0.687,0.9167
40,0.029587,0.007476,0.073618,5.9114,0.160939,40.306,4,0.675,0.8619
41,0.028407,0.007170,0.073548,6.0021,0.161129,40.453,4,0.671,0.8122
42,0.029168,0.007001,0.073354,6.0531,0.161281,40.553,4,0.629,0.7430
43,0.027451,0.006327,0.072360,6.0379,0.161424,40.654,4,0.605,0.7375
44,0.026425,0.005910,0.071337,5.9958,0.161560,40.757,4,0.592,0.7297
45,0.027156,0.005421,0.070350,5.9631,0.161666,40.823,4,0.530,0.6871
46,0.024541,0.004973,0.069861,5.9278,0.161779,40.885,4,0.493,0.6275
47,0.023038,0.004661,0.069369,5.8982,0.161895,40.947,4,0.472,0.5745
48,0.023792,0.004827,0.068960,5.9346,0.161951,40.969,4,0.397,0.5304
49,0.020552,0.004556,0.068721,5.9808,0.162012,40.987,4,0.351,0.4852
50,0.018674,0.004408,0.068493,6.0138,0.162064,41.009,4,0.325,0.5158
51,0.019389,0.005199,0.068358,6.1261,0.161996,40.934,4,0.235,0.4245
52,0.015471,0.004619,0.068198,6.2652,0.161955,40.860,4,0.210,0.3171
53,0.013179,0.004322,0.067979,6.3780,0.161901,40.789,4,0.212,0.3111
54,0.025334,0.007078,0.067237,6.6858,0.161416,40.391,4,0.595,0.4038
55,0.025014,0.006831,0.065473,7.1141,0.160956,40.017,4,0.523,0.3195
56,0.024995,0.007174,0.063898,7.5406,0.160462,39.634,4,0.539,0.4518
57,0.058975,0.013511,0.062232,8.1533,0.159116,38.640,4,1.268,0.7534
58,0.056700,0.012209,0.057905,8.2507,0.157958,37.689,4,1.526,0.5252
59,0.058966,0.014188,0.052851,8.7821,0.156803,36.792,4,1.882,0.9983
60,0.083272,0.019213,0.046442,9.9362,0.154990,35.430,4,2.222,2.5454
61,0.082909,0.019999,0.040235,10.6713,0.153127,33.913,4,2.397,1.4156
62,0.076352,0.022530,0.035764,11.3654,0.150360,32.790,4,2.472,1.2334
63,0.080022,0.022125,0.034917,12.0898,0.148431,31.608,4,2.568,1.9336
64,0.080612,0.023217,0.032131,12.9900,0.147399,31.171,4,2.594,1.5524
65,0.083297,0.023469,0.029295,13.5964,0.145391,30.548,4,2.610,2.0617
66,0.101564,0.021877,0.027112,13.7804,0.142915,29.732,3,1.985,3.0000
67,0.073232,0.022101,0.026540,12.7237,0.141685,28.644,3,2.209,3.0000
68,0.065197,0.021360,0.028828,11.2801,0.141843,27.407,3,2.373,3.0000
69,0.095264,0.021023,0.035400,10.4329,0.143596,26.611,2,1.620,3.0000
70,0.061514,0.018956,0.045125,12.0133,0.146598,27.719,2,1.341,1.3957
71,0.047313,0.017034,0.047594,15.0963,0.149968,30.171,1,1.279,0.9309
72,0.047879,0.017281,0.046963,18.7251,0.151691,33.523,1,0.954,1.5254
73,0.043089,0.015190,0.046418,22.6267,0.151486,37.166,1,0.966,0.8686
74,0.043005,0.014535,0.043270,27.1347,0.148045,41.207,1,0.965,1.0940
75,0.059959,0.013057,0.041989,32.7636,0.140994,45.917,1,1.284,1.1717
76,0.057602,0.012486,0.048682,39.9590,0.128225,51.750,2,1.571,0.9610
77,0.064035,0.013334,0.059940,47.6694,0.119398,58.781,2,1.472,0.9303
78,0.060587,0.012823,0.071454,55.3467,0.114375,66.208,2,1.417,1.5060
79,0.059901,0.011865,0.091339,64.9743,0.106310,75.536,2,1.361,0.4370
80,0.059912,0.011629,0.116147,77.5076,0.093864,87.646,2,1.330,0.5355
81,0.035136,0.011370,0.139522,92.3850,0.086861,101.985,0,1.177,0.3229
82,0.181614,0.026052,0.161127,99.6871,0.094119,108.579,0,3.195,0.3555
83,0.206267,0.030638,0.181295,102.7393,0.095949,110.966,0,0.807,0.2648
84,0.153230,0.024660,0.197973,101.8015,0.093575,109.351,0,1.050,0.3321
85,0.102621,0.020985,0.212343,98.8194,0.088995,105.669,0,1.477,0.4905
86,0.058089,0.017132,0.223800,96.9226,0.087619,102.983,0,1.151,0.7611
87,0.054642,0.016276,0.235932,95.5209,0.086658,100.747,0,1.124,0.5016
88,0.054121,0.015317,0.244898,96.0109,0.086332,100.586,0,1.223,0.6612
89,0.054145,0.014873,0.255352,97.9020,0.086309,101.868,0,1.197,0.4242
90,0.055445,0.014944,0.265584,99.4615,0.086556,102.793,0,1.231,0.5087
91,0.055490,0.014581,0.269582,100.3611,0.086712,103.228,0,1.234,0.5723
92,0.055498,0.014025,0.273313,100.9083,0.086802,103.298,0,1.235,0.5641
93,0.049497,0.014373,0.276658,101.1177,0.086735,103.018,0,1.174,0.6350
94,0.040148,0.013177,0.276981,101.3201,0.086808,103.044,0,1.242,0.3873
95,0.057878,0.014372,0.277583,101.8128,0.086910,103.354,0,1.136,0.4046
96,0.093866,0.016483,0.278256,102.4894,0.086904,103.845,0,0.987,0.5064
97,0.139468,0.018003,0.277735,103.0003,0.086667,104.385,0,0.727,0.8305
98,0.165606,0.018683,0.276758,103.6652,0.086345,105.075,0,1.064,0.7659
99,0.185187,0.017509,0.275442,104.3605,0.086013,105.782,0,1.031,0.6674
100,0.196693,0.018323,0.274438,104.8661,0.085809,106.304,0,0.637,0.6826
101,0.203872,0.018802,0.273737,105.1891,0.085877,106.642,0,0.495,0.6314
102,0.204995,0.016160,0.273461,105.2918,0.086042,106.757,0,0.537,0.7216
103,0.205062,0.016459,0.273860,105.3230,0.086221,106.801,0,0.564,0.8442
104,0.205724,0.016930,0.274266,105.4056,0.086392,106.895,0,0.580,0.8736
