frame,qerr_max,qerr_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,max_jvel,max_torque
0,0.007396,0.001713,0.001046,0.5364,0.086665,1.677,4,0.135,1.0106
1,0.006266,0.001757,0.000915,0.4662,0.086777,1.702,4,0.086,0.6101
2,0.006489,0.001990,0.000931,0.4609,0.086735,1.728,4,0.081,0.7486
3,0.007247,0.002014,0.000937,0.4542,0.086751,1.731,4,0.160,0.7696
4,0.014277,0.002793,0.000981,0.4137,0.086837,1.752,4,0.340,0.7721
5,0.024602,0.004730,0.000930,0.3258,0.087278,1.808,4,0.595,0.9078
6,0.011522,0.003209,0.001339,0.2999,0.087928,1.837,4,0.350,0.8223
7,0.012432,0.003462,0.002387,0.2928,0.088555,1.971,4,0.345,0.8466
8,0.018420,0.004378,0.003488,0.5410,0.089557,2.239,4,0.483,0.8634
9,0.023800,0.005661,0.004562,0.8547,0.090994,2.743,4,0.737,0.8882
10,0.023709,0.005862,0.005794,0.9786,0.092453,3.365,4,0.950,0.8746
11,0.035311,0.011422,0.006694,1.8751,0.095118,4.796,4,1.728,1.3181
12,0.034191,0.011437,0.008407,2.1203,0.097900,6.423,4,2.289,0.8900
13,0.046219,0.014398,0.009842,2.6038,0.101394,8.243,4,2.502,0.9242
14,0.053259,0.016993,0.010782,3.1173,0.105580,10.406,4,2.728,0.8103
15,0.054035,0.017440,0.011564,3.4485,0.109571,12.643,4,2.839,0.8399
16,0.063694,0.021574,0.012024,4.1324,0.114255,15.353,4,2.139,1.2632
17,0.065555,0.022675,0.011884,4.3306,0.118750,17.836,4,1.809,1.5865
18,0.062730,0.024816,0.011267,4.8147,0.123879,20.653,4,1.705,2.2492
19,0.076935,0.026568,0.008730,5.1508,0.130104,23.532,4,1.735,1.2136
20,0.073209,0.027557,0.005349,5.1877,0.134945,25.937,4,1.747,1.9857
21,0.082738,0.026918,0.006110,5.0644,0.139720,28.248,4,1.690,1.5156
22,0.081549,0.026696,0.012799,4.8707,0.144474,30.625,4,1.696,2.0707
23,0.077240,0.023296,0.021303,4.2998,0.148485,32.630,4,1.586,1.6126
24,0.079248,0.020819,0.031156,3.6671,0.151976,34.458,4,1.945,1.1513
25,0.079939,0.021443,0.041801,3.1001,0.154715,36.035,4,2.189,1.5344
26,0.050867,0.017087,0.051516,2.7000,0.156318,36.947,4,2.040,1.1553
27,0.056431,0.018745,0.059006,2.6658,0.157648,37.804,4,1.485,0.8761
28,0.053635,0.016249,0.064497,3.4009,0.158572,38.418,4,1.484,0.9517
29,0.054952,0.013674,0.068099,4.2935,0.159246,38.854,4,1.430,1.0026
30,0.053063,0.012254,0.070710,4.9705,0.159862,39.309,4,1.396,1.0292
31,0.056669,0.010832,0.072860,5.3938,0.160199,39.581,4,1.200,0.9492
32,0.048073,0.010795,0.073457,5.5806,0.160512,39.866,4,1.076,0.9739
33,0.046137,0.010529,0.073805,5.6553,0.160759,40.104,4,0.891,0.9503
34,0.041021,0.009448,0.073719,5.7223,0.160958,40.301,4,0.820,0.8290
35,0.033081,0.008327,0.073351,5.7838,0.161158,40.484,4,0.808,0.7965
36,0.033881,0.008015,0.072864,5.7735,0.161337,40.603,4,0.757,0.7139
37,0.031696,0.006971,0.071561,5.7101,0.161507,40.719,4,0.727,0.6532
38,0.031280,0.006173,0.070283,5.6640,0.161653,40.814,4,0.677,0.6380
39,0.029975,0.005660,0.069326,5.6342,0.161795,40.887,4,0.615,0.5829
40,0.027219,0.005191,0.068650,5.5832,0.161948,40.956,4,0.580,0.8953
41,0.027533,0.005095,0.068086,5.5803,0.162032,40.981,4,0.483,0.8288
42,0.023409,0.004489,0.067739,5.5666,0.162143,41.008,4,0.423,0.9003
