frame,qerr21_max,qerr21_mean,qerr_leg_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,resid_max,max_torque
0,0.208217,0.044746,0.076949,0.001816,3.7829,0.088232,4.643,3,0.262809,3.0000
1,0.208869,0.056398,0.097658,0.003419,5.0120,0.087635,4.640,4,0.318048,3.0000
2,0.229715,0.052668,0.091285,0.005915,5.7409,0.087028,5.165,4,0.295003,3.0000
3,0.282631,0.061199,0.105706,0.007061,6.0313,0.087271,5.120,4,0.298453,3.0000
4,0.303846,0.058613,0.101175,0.007613,6.2178,0.087323,5.400,4,0.295624,3.0000
5,0.241319,0.056673,0.098050,0.008021,6.3122,0.087344,5.536,4,0.300113,3.0000
6,0.205639,0.053205,0.091998,0.007099,6.2835,0.087775,5.292,4,0.311229,3.0000
7,0.197996,0.064155,0.107840,0.007650,6.9710,0.092014,7.143,3,0.306638,3.0000
8,0.242777,0.061595,0.099008,0.008531,6.9320,0.098797,8.781,4,0.219919,4.4002
9,0.299941,0.072712,0.111311,0.010063,6.8242,0.107437,12.339,4,0.222688,3.0000
10,0.196754,0.067196,0.101338,0.026108,8.2701,0.118052,18.913,3,0.202897,3.1390
11,0.338858,0.116192,0.192235,0.050300,12.3096,0.131941,26.805,4,0.165034,3.0000
12,0.407963,0.100990,0.152185,0.079620,14.5215,0.153332,35.781,3,0.257617,3.0000
13,0.248230,0.091065,0.131814,0.079774,11.3104,0.164122,41.226,1,0.359767,3.0000
14,0.386049,0.083222,0.113355,0.077883,9.5762,0.162208,43.720,1,0.431124,3.0000
15,0.578659,0.107776,0.162215,0.077498,6.6333,0.155070,40.796,2,0.573007,3.0000
16,0.498372,0.113380,0.161456,0.082848,6.3578,0.155030,39.996,3,0.427432,3.0000
17,0.555510,0.101218,0.140742,0.086599,6.0148,0.155570,39.859,3,0.559514,3.0000
18,0.404024,0.086242,0.124154,0.094121,5.4842,0.159172,39.778,3,0.374691,3.0000
19,0.394782,0.086222,0.131511,0.098643,4.9054,0.166260,39.446,1,0.395024,3.0000
20,0.334485,0.093395,0.144210,0.105080,4.9665,0.168530,39.006,1,0.332310,3.0000
21,0.368219,0.091445,0.144403,0.110773,5.0151,0.161935,37.978,3,0.367898,2.7238
22,0.425844,0.087189,0.141512,0.109384,4.9854,0.162638,38.626,2,0.427980,1.7162
23,0.714813,0.137006,0.224304,0.109832,5.5356,0.156039,38.986,1,0.395371,3.0000
24,0.574771,0.117737,0.186596,0.104407,3.2109,0.145444,33.288,3,0.329113,5.3774
25,0.498172,0.138179,0.215881,0.099006,5.0231,0.142871,25.200,3,0.367469,3.0000
26,0.475764,0.107434,0.149746,0.083132,6.0267,0.156740,21.681,3,0.339982,3.0000
27,0.346742,0.110060,0.139363,0.062300,2.8294,0.163156,16.922,2,0.381702,3.0000
28,0.435837,0.142521,0.209100,0.051251,1.2667,0.162948,12.571,3,0.456655,3.0000
29,0.381668,0.134182,0.208769,0.056233,4.0633,0.165807,9.433,2,0.407522,3.0000
30,0.374699,0.099360,0.160321,0.076400,3.8218,0.169556,8.945,2,0.329026,3.0000
31,0.345309,0.097510,0.156595,0.112046,12.4072,0.166391,17.778,2,0.328557,3.0000
32,0.435673,0.110004,0.184443,0.158413,17.7108,0.164893,21.113,1,0.467660,3.0000
33,0.541905,0.121608,0.200319,0.206181,19.1616,0.163946,19.401,2,0.410324,3.0000
34,0.443922,0.087846,0.136655,0.239257,17.8761,0.167783,14.854,2,0.396382,3.0000
35,0.372634,0.090254,0.140224,0.256618,17.3030,0.160032,10.556,3,0.386442,3.0000
36,0.360866,0.093901,0.150774,0.260484,20.6668,0.150632,12.463,3,0.380431,3.0000
37,0.220659,0.053267,0.082513,0.257310,18.0448,0.149261,8.333,2,0.203174,3.0000
38,0.248322,0.065806,0.109121,0.256899,18.8850,0.149522,8.963,3,0.239669,3.0000
39,0.239287,0.070438,0.109397,0.259083,18.2114,0.155139,8.285,2,0.241455,3.0000
40,0.253707,0.085101,0.137509,0.265211,18.7274,0.156879,9.002,2,0.294615,3.0000
41,0.352624,0.104511,0.173961,0.265413,17.6040,0.160431,9.077,2,0.358424,3.0000
42,0.378643,0.117578,0.195190,0.269112,16.6559,0.167379,8.230,2,0.384841,2.4210
43,0.397488,0.119660,0.199407,0.275703,15.6566,0.167891,8.761,3,0.393986,3.0000
44,0.424302,0.113056,0.191702,0.279949,15.8771,0.168300,10.289,3,0.421904,1.2611
45,0.387472,0.107028,0.184989,0.279479,14.8926,0.169287,8.964,3,0.385891,1.0235
46,0.393829,0.095507,0.162893,0.280101,15.7467,0.170348,9.756,3,0.378965,2.0029
47,0.359069,0.094827,0.159533,0.281169,16.4633,0.169395,9.298,3,0.350584,1.6098
48,0.364428,0.095759,0.161626,0.281146,17.1321,0.168625,9.687,3,0.367817,0.8930
49,0.371620,0.093224,0.158872,0.279897,17.0525,0.167622,9.571,3,0.370414,0.9452
50,0.383011,0.094261,0.161318,0.279039,16.6779,0.167456,9.452,3,0.377632,1.1412
51,0.386152,0.097312,0.166191,0.277643,16.4115,0.167791,9.323,3,0.382125,1.1985
52,0.384141,0.093274,0.158643,0.280103,16.3028,0.167565,8.694,3,0.378997,1.7719
53,0.365104,0.094247,0.158589,0.287023,17.2200,0.169295,9.404,4,0.344833,3.0000
54,0.343769,0.099671,0.165246,0.295645,17.7342,0.171247,8.929,4,0.323566,2.0191
55,0.348324,0.098086,0.165071,0.300351,18.5663,0.170506,10.036,4,0.334584,1.6082
56,0.368041,0.103748,0.175260,0.302033,18.3556,0.172204,10.746,3,0.356966,1.7435
57,0.344085,0.111743,0.181152,0.301778,18.1497,0.174406,9.335,3,0.327242,1.5042
58,0.328194,0.111215,0.172626,0.301435,18.0509,0.176018,9.101,3,0.298723,3.0000
59,0.295247,0.114024,0.174702,0.297535,17.9583,0.180594,8.127,3,0.277747,1.1773
60,0.307594,0.098401,0.151902,0.296302,17.7387,0.183683,9.859,3,0.298513,1.9710
61,0.294013,0.095375,0.152283,0.293591,16.3112,0.186144,10.162,3,0.293510,0.9158
62,0.329069,0.086744,0.141841,0.291940,15.5305,0.187541,11.522,3,0.325810,2.9996
63,0.331410,0.081726,0.136411,0.291233,14.9510,0.188454,11.574,3,0.320164,3.0000
64,0.334210,0.079602,0.134683,0.289896,14.4519,0.188505,12.080,3,0.325915,3.0000
65,0.340167,0.076794,0.130843,0.290853,13.8660,0.189614,12.324,3,0.328813,3.0000
66,0.333549,0.075210,0.128762,0.290020,13.4937,0.189818,12.181,3,0.323726,3.0000
67,0.337580,0.072441,0.124454,0.291093,13.0869,0.190484,12.654,3,0.325414,3.0000
68,0.326928,0.072709,0.125151,0.290619,12.4621,0.190771,12.343,3,0.317974,3.0000
69,0.334925,0.073275,0.126363,0.291120,12.2750,0.190523,12.743,3,0.323569,1.5221
70,0.323100,0.070746,0.122116,0.291550,12.3173,0.188764,12.113,3,0.315021,0.4717
71,0.327656,0.073698,0.127570,0.292032,13.7591,0.183724,12.521,3,0.330384,1.4092
72,0.330596,0.076535,0.131781,0.294299,14.5542,0.177599,11.466,3,0.335797,0.7843
73,0.363129,0.075009,0.127302,0.295329,14.5942,0.175006,9.369,4,0.344074,3.0000
74,0.340166,0.090068,0.153391,0.295355,12.9550,0.180973,8.553,2,0.338549,3.0000
75,0.365087,0.084974,0.139478,0.298809,11.1807,0.177413,9.641,4,0.315941,3.0000
76,0.319630,0.090807,0.143657,0.300531,13.4973,0.173692,13.304,4,0.322644,2.4221
77,0.306323,0.092850,0.143994,0.296481,11.3858,0.172954,11.804,3,0.306582,1.3588
