frame,qerr21_max,qerr21_mean,qerr_leg_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,resid_max,max_torque
0,0.208219,0.045170,0.077664,0.001669,3.8755,0.088387,4.695,3,0.262809,3.0000
1,0.208868,0.056903,0.098543,0.003087,5.3413,0.088104,4.719,3,0.319319,3.0000
2,0.227213,0.052117,0.090208,0.006306,6.0027,0.086686,4.982,4,0.298089,3.0000
3,0.279556,0.061574,0.106175,0.007055,6.3505,0.087909,4.785,4,0.300863,3.0000
4,0.312847,0.059155,0.102062,0.008933,6.8593,0.087572,5.778,4,0.286855,3.0000
5,0.238069,0.058697,0.101464,0.008838,6.8879,0.087536,5.553,4,0.303563,3.0000
6,0.205733,0.052036,0.089884,0.007476,6.7273,0.087844,5.312,4,0.310018,3.0000
7,0.197977,0.064641,0.108728,0.008667,7.4718,0.092584,7.346,3,0.302357,3.0000
8,0.244661,0.061879,0.099538,0.009502,7.5891,0.099416,9.178,4,0.218852,4.3976
9,0.252906,0.073230,0.112312,0.012086,7.5760,0.107576,12.874,4,0.218700,3.0000
10,0.186296,0.067989,0.102775,0.029613,8.5024,0.117518,18.567,3,0.186418,3.1319
11,0.334466,0.115950,0.191508,0.054637,12.3242,0.132330,26.673,4,0.173685,3.0000
12,0.404834,0.098829,0.148407,0.084285,13.8999,0.153220,35.760,3,0.300937,3.0000
13,0.257449,0.082541,0.116726,0.082948,11.0208,0.163326,40.631,1,0.334255,3.0000
14,0.378094,0.082150,0.111438,0.081364,9.8145,0.160488,43.321,2,0.426872,3.0000
15,0.590587,0.105129,0.157683,0.082251,7.8562,0.153673,40.495,2,0.578145,3.0000
16,0.547539,0.117291,0.167959,0.086249,7.9472,0.153162,40.347,3,0.434048,3.0000
17,0.521037,0.096600,0.132409,0.088169,7.9752,0.155739,40.816,2,0.520454,3.0000
18,0.443095,0.085939,0.124117,0.092923,6.9044,0.158759,40.556,3,0.360115,3.0000
19,0.368217,0.084276,0.128770,0.097105,6.1512,0.161975,40.710,2,0.365070,3.0000
20,0.353827,0.093049,0.143630,0.102455,5.2000,0.162072,40.323,2,0.353409,3.0000
21,0.380635,0.093336,0.147416,0.106350,4.8976,0.158918,38.851,3,0.374427,2.4307
22,0.446991,0.089345,0.145204,0.106209,4.4484,0.161413,38.960,2,0.448443,1.6393
23,0.741797,0.142284,0.233525,0.108324,4.5451,0.154885,38.857,1,0.412810,3.0000
24,0.569783,0.118322,0.187601,0.103693,2.8589,0.144450,32.922,3,0.312513,5.4423
25,0.555777,0.142935,0.224177,0.099180,4.8723,0.141965,25.024,3,0.356820,3.0000
26,0.469980,0.107591,0.150024,0.087627,6.4021,0.157015,21.020,3,0.369618,3.0000
27,0.321790,0.106914,0.134092,0.070307,4.0350,0.165448,16.409,1,0.381127,3.0000
28,0.430623,0.137437,0.200036,0.062673,5.2069,0.164101,13.815,2,0.462727,3.0000
29,0.394771,0.119256,0.182653,0.073606,9.3948,0.170333,10.351,2,0.365977,3.0000
30,0.337123,0.089835,0.143517,0.102136,10.4757,0.178571,8.287,2,0.296618,3.0000
31,0.325375,0.103595,0.167522,0.145813,11.1851,0.179891,11.766,1,0.277324,3.0000
32,0.388530,0.112792,0.187539,0.206961,17.9898,0.168440,17.572,3,0.389347,3.0000
33,0.530236,0.132860,0.219614,0.263959,20.2911,0.155732,17.936,2,0.470291,3.0000
34,0.485808,0.123517,0.198746,0.302022,23.8206,0.155560,17.268,4,0.438019,3.0000
35,0.361791,0.098135,0.152112,0.320445,26.4723,0.161326,13.483,2,0.441452,3.0000
36,0.343269,0.081365,0.128474,0.328794,28.8536,0.162898,12.118,2,0.360566,3.0000
37,0.294182,0.065440,0.103666,0.330514,27.5418,0.157498,8.326,1,0.301881,3.0000
38,0.317057,0.081200,0.136210,0.328746,27.2503,0.155142,8.484,2,0.320570,3.0000
39,0.287210,0.081393,0.128532,0.330332,26.5672,0.152240,6.377,3,0.273035,3.0000
