frame,qerr21_max,qerr21_mean,qerr_leg_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,resid_max,max_torque
0,0.008454,0.001887,0.002898,0.001254,0.3357,0.088786,2.008,4,0.000000,1.1221
1,0.033346,0.004113,0.006221,0.001261,0.2853,0.088718,1.938,4,0.000000,0.8017
2,0.017227,0.003076,0.004280,0.001597,0.2624,0.088700,1.916,4,0.000000,0.4844
3,0.043053,0.005526,0.008623,0.002032,0.2934,0.088649,1.967,4,0.000000,0.5563
4,0.060220,0.005797,0.009126,0.001227,0.3539,0.088845,2.082,4,0.000000,0.6858
5,0.010038,0.002892,0.004042,0.001239,0.4846,0.088995,2.123,4,0.000000,0.8734
6,0.081022,0.008941,0.014634,0.001846,0.6818,0.088934,2.008,4,0.000000,1.3065
7,0.116892,0.036259,0.059141,0.005441,1.5024,0.094648,3.361,4,0.000000,3.0000
8,0.099704,0.031227,0.045372,0.005764,2.9228,0.103447,5.800,4,0.000000,4.4287
9,0.313095,0.054676,0.080310,0.011549,5.0004,0.110800,11.245,4,0.000000,3.0000
10,0.358635,0.067976,0.102803,0.029392,5.7757,0.112220,16.740,4,0.000000,3.0641
11,0.335386,0.089563,0.145789,0.056646,7.4280,0.133670,22.932,4,0.000000,3.0000
12,0.316881,0.070418,0.098712,0.093119,9.7125,0.157661,31.743,1,0.000000,3.0000
13,0.146453,0.051338,0.062177,0.110016,9.7127,0.171342,39.857,1,0.000000,3.0000
14,0.102587,0.034637,0.028424,0.124624,9.2521,0.172471,44.703,2,0.000000,3.0000
15,0.093798,0.022890,0.014013,0.136839,4.6272,0.169665,42.273,2,0.000000,0.7894
16,0.122161,0.024611,0.006701,0.151012,2.0494,0.165983,38.543,4,0.000000,2.4661
17,0.120374,0.025011,0.006360,0.160313,3.5903,0.170457,36.443,3,0.000000,1.1298
18,0.089421,0.028608,0.022034,0.167928,4.6982,0.173361,35.734,3,0.000000,1.3003
19,0.076680,0.015245,0.007130,0.171366,5.7413,0.174151,35.319,3,0.000000,1.6516
20,0.070650,0.015445,0.007712,0.173081,7.2464,0.174937,34.904,3,0.000000,0.6833
21,0.061578,0.014053,0.008365,0.172993,7.8441,0.174544,35.816,3,0.000000,0.6044
22,0.046979,0.014733,0.015165,0.169442,8.3389,0.173828,37.222,3,0.000000,2.8966
23,0.292234,0.082033,0.128758,0.161989,7.6864,0.164891,38.587,3,0.000000,3.0000
24,0.368841,0.088489,0.135717,0.152004,8.0439,0.156921,34.618,1,0.000000,5.4508
25,0.307696,0.076066,0.106973,0.152140,5.2117,0.147885,30.630,3,0.000000,3.0000
26,0.232797,0.041369,0.033916,0.145976,6.3845,0.161271,29.136,3,0.000000,3.0000
27,0.277493,0.083121,0.091033,0.127943,8.0457,0.164948,22.772,0,0.000000,3.0000
28,0.371021,0.074529,0.089754,0.116812,11.9997,0.157237,17.527,2,0.000000,3.0000
29,0.162503,0.043797,0.050099,0.124683,15.1039,0.157811,14.959,2,0.000000,3.0000
30,0.216967,0.042372,0.060203,0.145556,13.9648,0.164151,12.777,2,0.000000,3.0000
31,0.209234,0.037482,0.051761,0.190587,11.5168,0.168589,12.547,2,0.000000,3.0000
32,0.198777,0.031319,0.045435,0.263002,11.3200,0.171488,13.817,2,0.000000,3.0000
33,0.067780,0.019785,0.021251,0.334534,14.3517,0.180352,15.759,1,0.000000,3.0000
34,0.109765,0.033708,0.042237,0.382357,18.0143,0.193682,16.761,1,0.000000,0.7559
35,0.172472,0.042845,0.056947,0.414580,19.3261,0.197180,15.319,1,0.000000,1.1251
36,0.123595,0.036149,0.049582,0.432155,18.7048,0.192401,13.502,1,0.000000,2.0430
37,0.130295,0.024964,0.033393,0.440330,16.3377,0.179953,12.107,1,0.000000,1.1251
38,0.080317,0.013903,0.018228,0.441853,13.1705,0.166074,11.127,2,0.000000,1.1122
39,0.068357,0.019018,0.018596,0.437141,11.0992,0.157436,11.024,2,0.000000,3.0000
40,0.055214,0.016122,0.014623,0.430329,11.4784,0.154124,11.175,2,0.000000,1.5979
