frame,qerr21_max,qerr21_mean,qerr_leg_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,resid_max,max_torque
0,0.264720,0.067469,0.116945,0.008412,5.2332,0.095750,7.285,3,0.365011,3.0000
1,0.396413,0.066025,0.114159,0.018300,6.8434,0.107464,8.547,2,0.214611,3.0000
2,0.274407,0.072365,0.125907,0.020239,9.0376,0.108837,10.796,2,0.276374,3.0000
3,0.321078,0.073573,0.126773,0.016678,8.1594,0.104310,9.130,1,0.319040,3.0000
4,0.286487,0.065630,0.113763,0.011722,7.6649,0.099514,7.626,3,0.279396,3.0000
5,0.258833,0.063238,0.108828,0.014000,7.8562,0.103433,8.657,2,0.298829,3.0000
6,0.265607,0.066070,0.114002,0.018469,11.2925,0.108687,12.083,2,0.253241,2.3911
7,0.248408,0.084895,0.144453,0.018371,13.6482,0.108837,14.154,3,0.297845,2.3652
8,0.312032,0.075893,0.123262,0.018470,14.3802,0.113428,15.291,3,0.368690,4.4585
9,0.428507,0.110180,0.176105,0.024066,13.0018,0.123370,16.438,2,0.394731,3.0000
10,0.343032,0.102492,0.162618,0.027906,11.2299,0.124990,19.553,3,0.378449,3.0937
11,0.558298,0.127682,0.212970,0.045550,11.4741,0.134354,23.851,4,0.426481,3.0000
12,0.456445,0.108193,0.164764,0.068113,10.8701,0.153998,34.376,3,0.474060,3.0000
13,0.481220,0.123299,0.188370,0.077995,13.9351,0.165951,43.997,1,0.386919,3.0000
14,0.543304,0.119305,0.176244,0.079394,17.2499,0.170489,47.459,1,0.706344,3.0000
15,0.648823,0.104798,0.157047,0.087120,21.7357,0.172612,48.860,1,0.593278,3.0000
16,0.477508,0.114402,0.164584,0.105219,25.1162,0.171244,49.420,1,0.672512,3.0000
17,0.511216,0.122999,0.179931,0.119938,24.2615,0.163089,46.531,1,0.644677,3.0000
18,0.348373,0.116304,0.176672,0.133540,22.6293,0.159073,43.402,3,0.502899,3.0000
19,0.423089,0.125290,0.199782,0.146857,21.8361,0.165130,40.639,2,0.440865,3.0000
20,0.368267,0.115246,0.182651,0.161767,20.9645,0.167890,36.104,3,0.541333,3.0000
21,0.484532,0.132227,0.215193,0.176295,20.9081,0.169115,31.808,3,0.524118,3.0000
22,0.449471,0.127191,0.212196,0.186988,21.8970,0.175753,29.090,1,0.509208,3.0000
23,0.731530,0.189452,0.316946,0.196792,24.4203,0.166653,26.395,1,0.551134,3.0000
24,0.605838,0.158180,0.257833,0.195886,25.4683,0.142877,21.389,2,0.542870,6.0000
25,0.437380,0.137840,0.215608,0.193954,27.7341,0.139334,13.713,3,0.374858,3.0000
26,0.436300,0.112539,0.159429,0.186183,28.2338,0.159671,9.962,2,0.357870,3.0000
27,0.481047,0.128854,0.171587,0.174323,25.8874,0.171752,8.458,0,0.370205,3.0000
28,0.603532,0.161986,0.242282,0.168064,22.8248,0.167518,5.667,0,0.445042,3.0000
29,0.487935,0.151505,0.239311,0.169443,22.4441,0.155356,9.422,2,0.524927,3.0000
30,0.574130,0.150791,0.249550,0.177765,25.0169,0.141736,12.292,3,0.511501,4.0179
31,0.643475,0.149683,0.246685,0.196111,27.0725,0.146485,15.768,3,0.614535,4.5018
32,0.432477,0.133285,0.225110,0.227379,29.4953,0.156609,15.926,1,0.414323,3.0000
33,0.414799,0.130452,0.213772,0.263910,32.6260,0.160152,15.952,2,0.424759,3.0000
34,0.521475,0.134115,0.216606,0.284057,32.4889,0.166400,15.294,2,0.486680,3.0000
35,0.559034,0.112675,0.179101,0.288532,31.1336,0.166015,13.821,2,0.603371,3.0000
36,0.579486,0.113234,0.183847,0.283786,29.0679,0.156730,11.880,2,0.646293,3.0000
37,0.576331,0.095800,0.156093,0.279717,25.1017,0.145562,7.281,4,0.569722,3.0000
38,0.467396,0.082078,0.137721,0.274507,24.2526,0.144042,8.415,3,0.437612,3.0000
39,0.377421,0.090417,0.143661,0.274736,24.2944,0.149139,9.958,4,0.382199,3.0000
40,0.266286,0.092061,0.149159,0.278090,24.8508,0.157427,7.753,3,0.289935,3.0000
41,0.279414,0.099572,0.166207,0.280999,24.4383,0.165669,6.092,2,0.287405,3.0000
42,0.373904,0.094699,0.155443,0.280365,26.3465,0.164609,5.844,3,0.325589,3.0000
43,0.390415,0.105490,0.173399,0.281134,27.0289,0.166848,7.305,3,0.357297,1.4494
44,0.379211,0.107652,0.181400,0.281349,25.7583,0.162429,7.872,3,0.390873,3.0000
45,0.386958,0.113006,0.195129,0.280607,23.7349,0.165269,9.208,4,0.388729,3.0000
46,0.399832,0.110578,0.189775,0.281402,22.1073,0.167856,10.485,4,0.380776,3.0000
47,0.383935,0.109753,0.185906,0.283023,21.5646,0.167316,10.366,4,0.378112,3.0000
48,0.386586,0.102843,0.174184,0.284228,21.6490,0.169066,10.820,3,0.385289,3.0000
49,0.366402,0.096533,0.164705,0.285078,22.4745,0.168613,11.099,3,0.364478,3.0000
50,0.364655,0.095877,0.163900,0.285138,22.5971,0.168444,10.786,3,0.370387,2.7973
51,0.355308,0.092566,0.157720,0.283970,23.1001,0.167640,10.601,3,0.356885,3.0000
52,0.338104,0.089979,0.153206,0.285693,23.4570,0.166910,9.310,4,0.338946,2.7004
53,0.323631,0.090330,0.151350,0.293159,23.7505,0.167845,7.662,4,0.334069,3.0000
54,0.328440,0.091960,0.151813,0.302588,24.4624,0.169844,5.779,3,0.338136,2.8635
55,0.340342,0.090067,0.150808,0.309711,27.2946,0.168900,8.332,4,0.324506,3.0000
56,0.383706,0.108252,0.183399,0.307913,27.4662,0.172754,7.377,2,0.380727,2.4847
