frame,qerr21_max,qerr21_mean,qerr_leg_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,resid_max,max_torque
0,0.208219,0.045170,0.077664,0.001670,3.8761,0.088386,4.694,3,0.262809,3.0000
1,0.208868,0.056911,0.098555,0.003084,5.3467,0.088107,4.728,3,0.319400,3.0000
2,0.227105,0.052096,0.090166,0.006301,6.0062,0.086681,4.988,4,0.298093,3.0000
3,0.279512,0.061567,0.106163,0.007056,6.3520,0.087911,4.790,4,0.300840,3.0000
4,0.312728,0.059151,0.102055,0.008929,6.8634,0.087571,5.775,4,0.286912,3.0000
5,0.237949,0.058629,0.101349,0.008854,6.8835,0.087508,5.549,4,0.303813,3.0000
6,0.205686,0.052194,0.090168,0.007554,6.7431,0.087887,5.350,4,0.309905,3.0000
7,0.197982,0.064617,0.108650,0.008539,7.4794,0.092539,7.364,3,0.302384,3.0000
8,0.243537,0.061859,0.099487,0.009185,7.5390,0.099494,9.212,4,0.217408,4.3974
9,0.254845,0.073094,0.112127,0.011978,7.5962,0.107533,12.970,4,0.217074,3.0000
10,0.184968,0.068545,0.103686,0.028781,8.3596,0.117718,18.405,3,0.188324,3.1324
11,0.338742,0.116221,0.191987,0.053871,12.2546,0.132533,26.755,4,0.169271,3.0000
12,0.392970,0.096698,0.144762,0.083626,13.7553,0.152027,35.969,3,0.313364,3.0000
13,0.253500,0.079391,0.111250,0.081985,10.9902,0.161505,40.867,2,0.331543,3.0000
14,0.412848,0.086637,0.119246,0.080096,9.9650,0.160331,42.952,1,0.456398,3.0000
15,0.580592,0.105729,0.158679,0.080275,8.4689,0.153455,40.277,2,0.566748,3.0000
16,0.508316,0.112818,0.160611,0.085946,8.6985,0.154491,39.966,3,0.421182,3.0000
17,0.557276,0.100818,0.139992,0.090626,8.3287,0.156506,40.015,1,0.560380,3.0000
18,0.420005,0.087619,0.126874,0.098495,7.0595,0.158016,39.285,3,0.411369,3.0000
19,0.373342,0.086393,0.132051,0.102940,6.1570,0.163565,38.437,2,0.371912,3.0000
20,0.365952,0.091221,0.140236,0.109194,6.1274,0.163769,37.309,3,0.366165,3.0000
21,0.381212,0.094498,0.148624,0.112718,6.8299,0.165794,36.288,2,0.380847,1.1077
22,0.434501,0.087486,0.142104,0.114181,6.4262,0.166854,37.044,2,0.436278,2.2904
23,0.720672,0.139898,0.229940,0.114930,7.9948,0.155228,38.619,2,0.403495,3.0000
24,0.573251,0.122460,0.194522,0.110503,5.5310,0.144748,32.040,3,0.324954,5.1478
25,0.428658,0.127272,0.196983,0.107219,5.1792,0.142669,25.406,3,0.371999,3.0000
26,0.517122,0.110583,0.155424,0.090724,6.3497,0.158353,21.816,2,0.354067,3.0000
27,0.438548,0.125694,0.166300,0.067123,3.9378,0.165189,16.621,2,0.381705,3.0000
28,0.425623,0.135584,0.196837,0.055135,2.9756,0.160809,13.227,2,0.447028,3.0000
29,0.406361,0.126126,0.194903,0.058626,5.1044,0.160352,12.255,2,0.442761,3.0000
30,0.378838,0.114879,0.187629,0.075766,5.5810,0.164378,11.509,2,0.354726,3.0000
31,0.344424,0.102950,0.166761,0.111620,11.0752,0.167418,15.649,3,0.321864,3.0000
32,0.436714,0.128192,0.216090,0.165314,15.6471,0.166245,18.091,2,0.404858,3.0000
33,0.446334,0.127027,0.209719,0.218050,17.9076,0.168687,16.915,2,0.399947,3.0000
34,0.402683,0.107192,0.171164,0.253823,20.5476,0.169477,13.946,2,0.391387,3.0000
35,0.369522,0.113402,0.180756,0.272339,24.8033,0.166626,11.787,3,0.387631,3.0000
36,0.362314,0.095764,0.153164,0.277327,27.8015,0.165375,8.719,1,0.401575,3.0000
37,0.251549,0.071454,0.115001,0.277983,30.2333,0.155879,6.277,3,0.258332,3.0000
38,0.306226,0.067509,0.112636,0.271452,32.2207,0.148642,7.965,3,0.312431,3.0000
39,0.315020,0.084771,0.134159,0.263929,31.3582,0.152633,5.787,3,0.317842,3.0000
40,0.334786,0.097146,0.158760,0.262044,29.9173,0.157515,3.033,2,0.344754,3.0000
41,0.394732,0.105332,0.176185,0.258010,28.3299,0.164318,2.903,2,0.394202,3.0000
42,0.387099,0.108114,0.179409,0.256247,27.0705,0.164399,5.284,2,0.381471,3.0000
43,0.372695,0.092173,0.150767,0.255652,25.0546,0.168704,4.750,2,0.366600,3.0000
44,0.358718,0.104469,0.176530,0.259059,23.3197,0.168337,6.570,2,0.351094,3.0000
45,0.362323,0.089426,0.154616,0.267779,23.7248,0.165487,7.850,4,0.344726,3.0000
46,0.360677,0.105998,0.180101,0.274178,23.0338,0.169541,7.729,3,0.363396,3.0000
